feature_set,grouped_oof_roc_auc,smooth_plume_roc_auc,wrinkled_density_interface_roc_auc,cluster_bootstrap_lower,cluster_bootstrap_median,cluster_bootstrap_upper
source_observable_control,0.9626373626373627,0.9595959595959596,0.9765625,0.8914141414141414,0.96484375,1.0
view_influence_only,0.7296703296703296,0.6666666666666666,0.7890625,0.631578947368421,0.7246376811594203,0.8169014084507042
source_plus_view_influence,0.9098901098901099,0.9191919191919192,0.875,0.820111195993549,0.9065656565656566,1.0
