replicate,split,sample_index,reaction_family,stage,baseline_field_relative_l2,baseline_gradient_relative_l2,baseline_front_top10_f1,relative_whitened_residual_objective,residual_objective_reduction_from_previous_stage,pcgls_alpha,previous_pcgls_beta,relative_volume_update,volume_gradient_to_field_norm,graph_field_relative_l2,graph_gradient_relative_l2,graph_front_top10_f1,field_gain_vs_component_s3_k4_percent,gradient_gain_vs_component_s3_k4_percent,front_gain_vs_component_s3_k4
0,selection,0,plume,2,0.5352761149406433,0.6938858032226562,0.8097560405731201,0.13385692238807678,0.8661431074142456,2.6792708922585007e-06,0.14921925961971283,1.0,40.904640197753906,0.6423282027244568,0.8107079863548279,0.8048780560493469,-19.999414282792063,-16.83593792949895,-0.004877984523773193
0,selection,1,wavy_front,2,0.4705358147621155,0.6476908922195435,0.5609756112098694,0.14197847247123718,0.8580214977264404,7.785708476149011e-06,0.12833727896213531,1.0,42.820953369140625,0.6247228384017944,0.753788948059082,0.4219512343406677,-32.76839271366195,-16.380970786227333,-0.13902437686920166
0,selection,2,thin_front,2,0.5734180212020874,0.7918901443481445,0.6048780679702759,0.16366872191429138,0.8363312482833862,3.0112912554614013e-06,0.09477808326482773,1.0,38.41225814819336,0.6596412658691406,0.8393505215644836,0.5463414788246155,-15.036716928829467,-5.993303181643558,-0.0585365891456604
0,selection,3,double_front,2,0.677993893623352,0.8029798865318298,0.5975610017776489,0.36705297231674194,0.6329470276832581,9.401438546774443e-06,0.6375965476036072,1.0,46.2830810546875,0.6641584634780884,0.8146098852157593,0.5585365891456604,2.040642294184099,-1.4483549188462064,-0.039024412631988525
0,selection,4,annular_kernel,2,0.9720371961593628,0.9975928068161011,0.2536585330963135,0.4415718615055084,0.558428168296814,1.2007832310700906e-06,0.2914066016674042,1.0,55.83502197265625,0.9356001615524292,0.9825178384780884,0.2219512164592743,3.7485226646573557,1.511134426292195,-0.031707316637039185
0,selection,5,oblique_shock,2,0.7463249564170837,0.9180944561958313,0.35853657126426697,0.25546836853027344,0.7445316314697266,2.145246753570973e-06,0.09805616736412048,1.0,39.67033767700195,0.8633116483688354,0.9562991857528687,0.2658536732196808,-15.675034171894112,-4.161307074583643,-0.09268289804458618
0,selection,6,vortex_pair,2,0.6562643051147461,0.7695128321647644,0.6536585092544556,0.18054363131523132,0.8194563388824463,3.883447334374068e-06,0.28612080216407776,1.0,46.54515838623047,0.7547544836997986,0.8448266386985779,0.5219511985778809,-15.007700071060812,-9.787206058922179,-0.1317073106765747
0,selection,7,multi_plume,2,0.6895167231559753,0.8204280138015747,0.6000000238418579,0.1984807699918747,0.8015192151069641,1.0097630365635268e-05,0.13000163435935974,1.0,42.662384033203125,0.7574015259742737,0.8757683038711548,0.5390244126319885,-9.845272861198197,-6.7452950336437985,-0.060975611209869385
0,selection,0,plume,3,0.5352761149406433,0.6938858032226562,0.8097560405731201,0.0901927724480629,0.043664149940013885,4.2758497329487e-06,0.11647792160511017,0.22811341285705566,41.7449951171875,0.5759673118591309,0.7374364733695984,0.8268292546272278,-7.601907834613504,-6.276345465590606,0.017073214054107666
0,selection,1,wavy_front,3,0.4705358147621155,0.6476908922195435,0.5609756112098694,0.06515469402074814,0.07682377845048904,1.0658617611625232e-05,0.42576417326927185,0.3078855574131012,44.173274993896484,0.5096291303634644,0.6939529776573181,0.5146341323852539,-8.308255051980035,-7.142617874282769,-0.04634147882461548
