scenario,method,rig_id,z,true_scale,frame_count,hard_quartile,coverage,radius_proxy,calibration_threshold,predicted_scale
observable_scale,frame_pooled,observable_scale:evaluation:0000,0.8601480217097666,2.3905246703336838,92,True,0.6847826086956522,3.908624103990517,15.277342386295672,1.0
observable_scale,frame_pooled,observable_scale:evaluation:0001,0.5160700651167767,1.5138929850583769,114,False,0.9210526315789473,3.908624103990517,15.277342386295672,1.0
observable_scale,frame_pooled,observable_scale:evaluation:0002,0.9140295506523317,2.7178509197426917,86,True,0.5697674418604651,3.908624103990517,15.277342386295672,1.0
observable_scale,frame_pooled,observable_scale:evaluation:0003,0.8491449096405992,2.1894754868569652,96,True,0.7708333333333334,3.908624103990517,15.277342386295672,1.0
observable_scale,frame_pooled,observable_scale:evaluation:0004,-0.8625293753001524,0.6350530783470202,158,False,1.0,3.908624103990517,15.277342386295672,1.0
observable_scale,frame_pooled,observable_scale:evaluation:0005,0.2125921310115791,1.2473669563869738,123,False,0.991869918699187,3.908624103990517,15.277342386295672,1.0
observable_scale,frame_pooled,observable_scale:evaluation:0006,-0.8539355724670427,0.4449049658790417,175,False,1.0,3.908624103990517,15.277342386295672,1.0
observable_scale,frame_pooled,observable_scale:evaluation:0007,-0.7120822772001162,0.4839002119332789,172,False,1.0,3.908624103990517,15.277342386295672,1.0
observable_scale,frame_pooled,observable_scale:evaluation:0008,0.4375388995472587,2.2618498883407043,94,True,0.7127659574468085,3.908624103990517,15.277342386295672,1.0
observable_scale,frame_pooled,observable_scale:evaluation:0009,-0.6319435210107152,0.8156478998219028,146,False,1.0,3.908624103990517,15.277342386295672,1.0
observable_scale,frame_pooled,observable_scale:evaluation:0010,1.435051945808586,3.8322910108120083,73,True,0.4931506849315068,3.908624103990517,15.277342386295672,1.0
observable_scale,frame_pooled,observable_scale:evaluation:0011,-0.8729734308163483,0.4569377213703558,174,False,1.0,3.908624103990517,15.277342386295672,1.0
observable_scale,frame_pooled,observable_scale:evaluation:0012,0.7715528569158073,1.9436720244187027,101,False,0.7326732673267327,3.908624103990517,15.277342386295672,1.0
