seed,split,baseline,candidate_mean_relative_l2,baseline_mean_relative_l2,mean_gain_percent,p10_gain_percent,harm_rate_over_1_percent,candidate_mean_gradient_relative_l2,baseline_mean_gradient_relative_l2,candidate_mean_front_f1,baseline_mean_front_f1,acceptance_rate,descent_gate_rate,saturation_gate_rate,certificate_violation_rate,forward_calls,adjoint_calls
101,validation,fixed_pg,0.35027313232421875,0.4371204972267151,22.903654098510742,13.304336547851562,0.0,0.4839143753051758,0.5625341534614563,0.7150000333786011,0.6650000214576721,1.0,1.0,0.10000000149011612,0.0,4,4
101,validation,projected_bb,0.35027313232421875,0.35899990797042847,2.491560697555542,1.6384987831115723,0.0,0.4839143753051758,0.4977647364139557,0.7150000333786011,0.6975000500679016,1.0,1.0,0.10000000149011612,0.0,4,4
101,validation,fista,0.35027313232421875,0.399059534072876,14.156275749206543,8.220586776733398,0.0,0.4839143753051758,0.5337177515029907,0.7150000333786011,0.6800000071525574,1.0,1.0,0.10000000149011612,0.0,4,4
101,independent_select,fixed_pg,0.4384932219982147,0.49971798062324524,12.908148765563965,6.797946929931641,0.0,0.5631512999534607,0.6229480504989624,0.7855402231216431,0.7516986131668091,1.0,1.0,0.4642857015132904,0.0,4,4
101,independent_select,projected_bb,0.4384932219982147,0.439846932888031,0.1331484317779541,-1.7483505010604858,0.21428571428571427,0.5631512999534607,0.5641728043556213,0.7855402231216431,0.7748258709907532,1.0,1.0,0.4642857015132904,0.0,4,4
101,independent_select,fista,0.4384932219982147,0.47061246633529663,7.190573692321777,3.2140207290649414,0.0,0.5631512999534607,0.5959473848342896,0.7855402231216431,0.7659407258033752,1.0,1.0,0.4642857015132904,0.0,4,4
102,validation,fixed_pg,0.35083916783332825,0.4371204972267151,22.754833221435547,12.547741889953613,0.0,0.48490938544273376,0.5625341534614563,0.7124999761581421,0.6650000214576721,1.0,1.0,0.20000000298023224,0.0,4,4
102,validation,projected_bb,0.35083916783332825,0.35899990797042847,2.2856357097625732,1.26731276512146,0.0,0.48490938544273376,0.4977647364139557,0.7124999761581421,0.6975000500679016,1.0,1.0,0.20000000298023224,0.0,4,4
102,validation,fista,0.35083916783332825,0.399059534072876,13.98277473449707,7.418826103210449,0.0,0.48490938544273376,0.5337177515029907,0.7124999761581421,0.6800000071525574,1.0,1.0,0.20000000298023224,0.0,4,4
102,independent_select,fixed_pg,0.43869566917419434,0.49971798062324524,12.863792419433594,6.680891513824463,0.0,0.563174307346344,0.6229480504989624,0.7837544083595276,0.7516986131668091,1.0,1.0,0.4285714328289032,0.0,4,4
102,independent_select,projected_bb,0.43869566917419434,0.439846932888031,0.08009406179189682,-1.6700685024261475,0.25,0.563174307346344,0.5641728043556213,0.7837544083595276,0.7748258709907532,1.0,1.0,0.4285714328289032,0.0,4,4
102,independent_select,fista,0.43869566917419434,0.47061246633529663,7.142630577087402,3.2049429416656494,0.0,0.563174307346344,0.5959473848342896,0.7837544083595276,0.7659407258033752,1.0,1.0,0.4285714328289032,0.0,4,4
103,validation,fixed_pg,0.3508818447589874,0.4371204972267151,22.76690101623535,12.562596321105957,0.0,0.4847117066383362,0.5625341534614563,0.7099999785423279,0.6650000214576721,1.0,1.0,0.15000000596046448,0.0,4,4
103,validation,projected_bb,0.3508818447589874,0.35899990797042847,2.327256679534912,1.4681382179260254,0.0,0.4847117066383362,0.4977647364139557,0.7099999785423279,0.6975000500679016,1.0,1.0,0.15000000596046448,0.0,4,4
103,validation,fista,0.3508818447589874,0.399059534072876,14.006237983703613,7.438137531280518,0.0,0.4847117066383362,0.5337177515029907,0.7099999785423279,0.6800000071525574,1.0,1.0,0.15000000596046448,0.0,4,4
103,independent_select,fixed_pg,0.4378463923931122,0.49971798062324524,13.088861465454102,6.666359901428223,0.0,0.5622448921203613,0.6229480504989624,0.7837544679641724,0.7516986131668091,1.0,1.0,0.3928571343421936,0.0,4,4
103,independent_select,projected_bb,0.4378463923931122,0.439846932888031,0.34787675738334656,-1.0567690134048462,0.10714285714285714,0.5622448921203613,0.5641728043556213,0.7837544679641724,0.7748258709907532,1.0,1.0,0.3928571343421936,0.0,4,4
103,independent_select,fista,0.4378463923931122,0.47061246633529663,7.386831760406494,3.3951265811920166,0.0,0.5622448921203613,0.5959473848342896,0.7837544679641724,0.7659407258033752,1.0,1.0,0.3928571343421936,0.0,4,4
101,independent_lock,fixed_pg,0.4184337854385376,0.48293113708496094,13.943879127502441,8.164548873901367,0.0,0.5374034643173218,0.5984521508216858,0.7843157052993774,0.7676829099655151,1.0,1.0,0.5,0.0,4,4
101,independent_lock,projected_bb,0.4184337854385376,0.41797927021980286,-0.22778773307800293,-2.818837881088257,0.19444444444444445,0.5374034643173218,0.5370397567749023,0.7843157052993774,0.7843157052993774,1.0,1.0,0.5,0.0,4,4
101,independent_lock,fista,0.4184337854385376,0.45048269629478455,7.4186553955078125,4.252283096313477,0.0,0.5374034643173218,0.5694228410720825,0.7843157052993774,0.773238480091095,1.0,1.0,0.5,0.0,4,4
102,independent_lock,fixed_pg,0.4180588722229004,0.48293113708496094,14.039287567138672,8.26839828491211,0.0,0.5366951823234558,0.5984521508216858,0.7857046127319336,0.7676829099655151,1.0,1.0,0.5833333134651184,0.0,4,4
102,independent_lock,projected_bb,0.4180588722229004,0.41797927021980286,-0.1114816963672638,-2.761579990386963,0.16666666666666666,0.5366951823234558,0.5370397567749023,0.7857046127319336,0.7843157052993774,1.0,1.0,0.5833333134651184,0.0,4,4
102,independent_lock,fista,0.4180588722229004,0.45048269629478455,7.523857116699219,4.162909507751465,0.0,0.5366951823234558,0.5694228410720825,0.7857046127319336,0.773238480091095,1.0,1.0,0.5833333134651184,0.0,4,4
103,independent_lock,fixed_pg,0.41749751567840576,0.48293113708496094,14.163765907287598,8.244961738586426,0.0,0.5362361073493958,0.5984521508216858,0.7884485125541687,0.7676829099655151,1.0,1.0,0.3888888955116272,0.0,4,4
103,independent_lock,projected_bb,0.41749751567840576,0.41797927021980286,0.03225100040435791,-2.1439123153686523,0.16666666666666666,0.5362361073493958,0.5370397567749023,0.7884485125541687,0.7843157052993774,1.0,1.0,0.3888888955116272,0.0,4,4
103,independent_lock,fista,0.41749751567840576,0.45048269629478455,7.656460285186768,4.385430335998535,0.0,0.5362361073493958,0.5694228410720825,0.7884485125541687,0.773238480091095,1.0,1.0,0.3888888955116272,0.0,4,4
