seed,split,sample_index,geometry_id,active_views,acceptance_gate,descent_gate,saturation_gate,candidate_alpha,correction_ratio,candidate_bound,fallback_bound,certificate_violation,candidate_relative_l2,candidate_gradient_relative_l2,candidate_front_f1,candidate_whitened_residual_rms,fixed_pg_relative_l2,fixed_pg_gradient_relative_l2,fixed_pg_front_f1,fixed_pg_whitened_residual_rms,projected_bb_relative_l2,projected_bb_gradient_relative_l2,projected_bb_front_f1,projected_bb_whitened_residual_rms,fista_relative_l2,fista_gradient_relative_l2,fista_front_f1,fista_whitened_residual_rms,gain_vs_fixed_pg_percent,gain_vs_projected_bb_percent,gain_vs_fista_percent
101,validation,0,analytic_1011010,4,1.0,1.0,0.0,0.7750867605209351,0.8310286998748779,-72.29638671875,-151.51708984375,False,0.11210383474826813,0.18971925973892212,0.8500000238418579,2.793825626373291,0.20112226903438568,0.2755028009414673,0.8500000238418579,6.4539875984191895,0.11286526173353195,0.19026842713356018,0.8500000238418579,2.896604537963867,0.15279839932918549,0.23454003036022186,0.8500000238418579,4.352290630340576,44.2608528137207,0.6746336221694946,26.632848739624023
101,validation,1,analytic_1101011,5,1.0,1.0,0.0,0.8480507731437683,0.9260954260826111,-65.8895263671875,-146.3897705078125,False,0.46650388836860657,0.5944457650184631,0.75,4.633175849914551,0.5662053227424622,0.6914808750152588,0.699999988079071,6.462923526763916,0.47953131794929504,0.6138280630111694,0.699999988079071,4.640674114227295,0.5291047096252441,0.6598231792449951,0.699999988079071,5.62788200378418,17.608705520629883,2.716700553894043,11.831461906433105
101,validation,2,analytic_1010011,4,1.0,1.0,1.0,0.7905550003051758,0.55829918384552,-80.9278564453125,-196.3221435546875,False,0.21768903732299805,0.34698542952537537,0.8500000238418579,3.735163927078247,0.2818952202796936,0.39581331610679626,0.8000000715255737,6.716393947601318,0.2253388613462448,0.35584160685539246,0.8500000238418579,3.909832239151001,0.24950693547725677,0.3756535053253174,0.8500000238418579,4.924375534057617,22.776611328125,3.3948090076446533,12.752310752868652
101,validation,3,analytic_0111101,5,1.0,1.0,0.0,0.7194361686706543,0.8662732839584351,-29.86639404296875,-66.0399169921875,False,0.4051879346370697,0.5595697164535522,0.75,2.9138119220733643,0.49746233224868774,0.6525630354881287,0.6499999761581421,4.3594279289245605,0.4141480624675751,0.572597086429596,0.75,2.895782709121704,0.4596189558506012,0.6187149286270142,0.6499999761581421,3.629175901412964,18.549022674560547,2.163508415222168,11.842639923095703
101,validation,4,analytic_1011010,4,1.0,1.0,0.0,0.7541307210922241,0.8496396541595459,-61.886474609375,-130.5914306640625,False,0.09655164927244186,0.18178081512451172,0.8000000715255737,2.2752315998077393,0.17053066194057465,0.250686377286911,0.699999988079071,5.660065174102783,0.10054422169923782,0.1887151449918747,0.699999988079071,2.487166166305542,0.12872324883937836,0.22059206664562225,0.75,3.5978686809539795,43.381649017333984,3.970961570739746,24.992843627929688
101,validation,5,analytic_1101011,5,1.0,1.0,0.0,0.828831136226654,0.6869134306907654,-79.0963134765625,-179.6917724609375,False,0.44466516375541687,0.6290151476860046,0.550000011920929,4.674734115600586,0.5507883429527283,0.7188615202903748,0.5,6.884768486022949,0.4521861672401428,0.6417415142059326,0.550000011920929,4.666144371032715,0.5083166360855103,0.6874357461929321,0.5,5.875757217407227,19.267507553100586,1.6632537841796875,12.522011756896973
101,validation,6,analytic_0101101,4,1.0,1.0,0.0,0.882032573223114,0.8199926018714905,-58.4984130859375,-133.8447265625,False,0.16246840357780457,0.264418363571167,0.8500000238418579,2.722729444503784,0.26567766070365906,0.3458942174911499,0.8500000238418579,6.170253753662109,0.16595765948295593,0.2701844573020935,0.8999999761581421,2.71640682220459,0.21197481453418732,0.30796822905540466,0.8999999761581421,4.295086860656738,38.84754943847656,2.1024975776672363,23.354854583740234
101,validation,7,analytic_0111101,5,1.0,1.0,0.0,0.677566409111023,1.0539551973342896,-18.248382568359375,-45.67529296875,False,0.35544052720069885,0.5262879729270935,0.6499999761581421,2.4191105365753174,0.43201908469200134,0.607354462146759,0.6000000238418579,3.6913557052612305,0.36054477095603943,0.5350794196128845,0.6499999761581421,2.3811235427856445,0.3974115252494812,0.5763362050056458,0.6000000238418579,2.9705467224121094,17.72573471069336,1.4157031774520874,10.561092376708984
101,validation,8,analytic_1101001,4,1.0,1.0,1.0,0.8573818206787109,0.5949869751930237,-228.75048828125,-473.142578125,False,0.3282320201396942,0.4492114782333374,0.6499999761581421,7.070400714874268,0.44368454813957214,0.5550075173377991,0.6499999761581421,11.805900573730469,0.3419734835624695,0.47253769636154175,0.6499999761581421,7.260106563568115,0.39684006571769714,0.5193190574645996,0.6499999761581421,9.603445053100586,26.02130889892578,4.018283367156982,17.28858757019043
101,validation,9,analytic_0110111,5,1.0,1.0,0.0,0.6919272541999817,0.7249515652656555,-26.82757568359375,-70.826171875,False,0.4661707878112793,0.6150106191635132,0.75,3.4826059341430664,0.5419986248016357,0.6952862739562988,0.699999988079071,4.720318794250488,0.47726935148239136,0.6318391561508179,0.75,3.449836015701294,0.5138962864875793,0.6698943972587585,0.699999988079071,4.046456813812256,13.990411758422852,2.325429677963257,9.28699016571045
101,validation,10,analytic_1110001,4,1.0,1.0,0.0,0.9740983247756958,0.7054094076156616,-126.4638671875,-344.9951171875,False,0.4079116880893707,0.5119390487670898,0.699999988079071,5.5245795249938965,0.4717840850353241,0.55794757604599,0.6499999761581421,9.280472755432129,0.42068058252334595,0.5292591452598572,0.6499999761581421,5.455177307128906,0.445117712020874,0.5434053540229797,0.6499999761581421,7.147397994995117,13.538479804992676,3.035294532775879,8.35869312286377
101,validation,11,analytic_1110101,5,1.0,1.0,0.0,0.7882046103477478,0.7233098149299622,-57.844970703125,-124.6541748046875,False,0.48381307721138,0.6189067959785461,0.699999988079071,4.780092716217041,0.5882743000984192,0.7165465354919434,0.6499999761581421,6.551342487335205,0.4953540563583374,0.6388663053512573,0.699999988079071,4.790001392364502,0.5488768219947815,0.6854705810546875,0.699999988079071,5.699623107910156,17.757230758666992,2.3298444747924805,11.853979110717773
