seed,epoch,train_relative_l2,validation_relative_l2,validation_acceptance_rate
101,1,0.33069151639938354,0.36181551218032837,1.0
101,5,0.3283003270626068,0.3568510115146637,1.0
101,10,0.32813072204589844,0.35562863945961,1.0
101,15,0.32812902331352234,0.3553389608860016,1.0
101,20,0.3273525834083557,0.3550191819667816,1.0
101,25,0.32712340354919434,0.3548247218132019,1.0
101,30,0.3269887864589691,0.35468238592147827,1.0
101,35,0.32662972807884216,0.3544479012489319,1.0
101,40,0.3262837827205658,0.35422617197036743,1.0
101,45,0.32591599225997925,0.3539685904979706,1.0
101,50,0.32549768686294556,0.3537592887878418,1.0
101,55,0.32515352964401245,0.35342398285865784,1.0
101,60,0.32480287551879883,0.35319679975509644,1.0
101,65,0.3247394561767578,0.3526807725429535,1.0
101,70,0.32418593764305115,0.3527219593524933,1.0
101,75,0.32406994700431824,0.35196006298065186,1.0
101,80,0.3236162066459656,0.35157886147499084,1.0
101,85,0.3232083320617676,0.3512769341468811,1.0
101,90,0.322876513004303,0.3510648310184479,1.0
101,95,0.3226013779640198,0.35094577074050903,1.0
101,100,0.32239171862602234,0.35087496042251587,1.0
101,105,0.3222002387046814,0.3507196307182312,1.0
101,110,0.3220202624797821,0.3505394756793976,1.0
101,115,0.32188162207603455,0.35037878155708313,1.0
101,120,0.3217460513114929,0.35027313232421875,1.0
102,1,0.33069151639938354,0.36258789896965027,1.0
102,5,0.32851356267929077,0.35697054862976074,1.0
102,10,0.3290932774543762,0.3551771640777588,1.0
102,15,0.32781392335891724,0.3551480770111084,1.0
102,20,0.32746443152427673,0.35510188341140747,1.0
102,25,0.32723814249038696,0.3550744652748108,1.0
102,30,0.3269837498664856,0.35480913519859314,1.0
102,35,0.3268042504787445,0.35468342900276184,1.0
102,40,0.3263859748840332,0.35450416803359985,1.0
102,45,0.32600659132003784,0.3542667627334595,1.0
102,50,0.32560840249061584,0.3539799153804779,1.0
102,55,0.3252243101596832,0.3537200093269348,1.0
102,60,0.32488757371902466,0.35347622632980347,1.0
102,65,0.32460394501686096,0.3530398905277252,1.0
102,70,0.3243442177772522,0.3527294099330902,1.0
102,75,0.3239404857158661,0.3523164391517639,1.0
102,80,0.32349729537963867,0.351926326751709,1.0
102,85,0.3230428695678711,0.3515062630176544,1.0
102,90,0.32275304198265076,0.3514518141746521,1.0
102,95,0.3224423825740814,0.35129010677337646,1.0
102,100,0.3222636580467224,0.3512258529663086,1.0
102,105,0.32212018966674805,0.3511281907558441,1.0
102,110,0.3220584988594055,0.35094964504241943,1.0
102,115,0.3218211531639099,0.35083919763565063,1.0
102,120,0.32190951704978943,0.35092893242836,1.0
103,1,0.33069151639938354,0.3645704984664917,1.0
103,5,0.3284042775630951,0.3559766411781311,1.0
103,10,0.3283657133579254,0.3550610840320587,1.0
103,15,0.32800525426864624,0.3549767732620239,1.0
103,20,0.32739248871803284,0.3549758791923523,1.0
103,25,0.3271663784980774,0.3548676073551178,1.0
103,30,0.32685813307762146,0.3547491729259491,1.0
103,35,0.32654088735580444,0.35458245873451233,1.0
103,40,0.32620421051979065,0.354436993598938,1.0
103,45,0.3259030878543854,0.3541361689567566,1.0
103,50,0.3254821300506592,0.35402584075927734,1.0
103,55,0.32531076669692993,0.3535264730453491,1.0
103,60,0.3252045512199402,0.3532901406288147,1.0
103,65,0.3247995972633362,0.3529740869998932,1.0
103,70,0.3248913288116455,0.3525937795639038,1.0
103,75,0.32414335012435913,0.35245877504348755,1.0
103,80,0.32381343841552734,0.35223492980003357,1.0
103,85,0.3236202597618103,0.3518274426460266,1.0
103,90,0.3231372535228729,0.35162729024887085,1.0
103,95,0.32281890511512756,0.3513254225254059,1.0
103,100,0.3229757845401764,0.35100772976875305,1.0
103,105,0.32257500290870667,0.35117438435554504,1.0
103,110,0.32239702343940735,0.35097581148147583,1.0
103,115,0.3222169280052185,0.3509645462036133,1.0
103,120,0.32210180163383484,0.3508818745613098,1.0
