candidate_id,partition,feature_set,basis_rank,target_l2,ridge_alpha,residual_shrinkage,geometry_cluster_count,case_count,mean_field_gain_over_low_cgls24,mean_h1_gain_over_low_cgls24,mean_field_gain_over_component_damping,mean_field_gain_over_high_order_teacher_b0p75,worst_case_field_gain_over_low_cgls24,worst_geometry_field_gain_over_low_cgls24,worst_case_field_gain_over_component_damping,case_harm_over_one_percent_rate_vs_low,case_harm_over_one_percent_rate_vs_component_damping,takeover_rate,fallback_rate,evaluator_mean_adjoint_residual_gain_over_component_damping,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,evaluator_only
adjlr_camera_r1_tl21em08_a1e00_s0p5,calibration,camera,1,1e-08,1.0,0.5,4,8,0.02687594099082756,0.10200788764259439,0.004366861390721219,,0.009178233101293953,0.021125584225944183,0.0,0.0,0.0,0.875,0.125,0.18055023526216016,25,24,0,0,False
adjlr_camera_r1_tl21em08_a1e00_s0p75,calibration,camera,1,1e-08,1.0,0.75,4,8,0.027916215087082738,0.09532944747181062,0.005434772125460632,,0.009667518408955411,0.022251534291550024,0.0,0.0,0.0,0.875,0.125,0.24168143408994536,25,24,0,0,False
adjlr_camera_r1_tl21em08_a1e00_s1p0,calibration,camera,1,1e-08,1.0,1.0,4,8,0.028217002595288934,0.08805749156977355,0.005742322418059803,,0.01001598044627583,0.022524910785212626,0.0,0.0,0.0,0.875,0.125,0.2709546298407326,25,24,0,0,False
adjlr_camera_r1_tl21em08_a1e02_s0p25,calibration,camera,1,1e-08,100.0,0.25,4,8,0.024742102006472214,0.10885496940537245,0.0021752684491483515,,0.008605817559324103,0.018494190935134824,0.0,0.0,0.0,0.875,0.125,0.08463611235751381,25,24,0,0,False
adjlr_camera_r1_tl21em08_a1e02_s0p5,calibration,camera,1,1e-08,100.0,0.5,4,8,0.02637805423340807,0.10380428821762622,0.0038564409700480307,,0.009294298585319716,0.020142727423630213,0.0,0.0,0.0,0.875,0.125,0.1611021724757456,25,24,0,0,False
adjlr_camera_r1_tl21em08_a1e02_s0p75,calibration,camera,1,1e-08,100.0,0.75,4,8,0.027527643485411687,0.09832205423827252,0.00503707152613557,,0.009846840570265303,0.02132409687775144,0.0,0.0,0.0,0.875,0.125,0.2257985253616069,25,24,0,0,False
adjlr_camera_r1_tl21em08_a1e02_s1p0,calibration,camera,1,1e-08,100.0,1.0,4,8,0.028184498540203898,0.0924219716185817,0.005710637975858607,,0.010263122071128339,0.02204449885365628,0.0,0.0,0.0,0.875,0.125,0.2726609836491817,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em08_a1em02_s0p25,calibration,camera_geometry,1,1e-08,0.01,0.25,4,8,0.025045623990008953,0.10840545830855979,0.002488353939156848,,0.008602004836616994,0.01879038791290677,0.0,0.0,0.0,0.875,0.125,0.0944004883197879,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em08_a1em02_s0p5,calibration,camera_geometry,1,1e-08,0.01,0.5,4,8,0.02678188625184967,0.10272445659741998,0.004272574835431475,,0.009288335231021794,0.020610914083921628,0.0,0.0,0.0,0.875,0.125,0.1757825376216537,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em08_a1em02_s0p75,calibration,camera_geometry,1,1e-08,0.01,0.75,4,8,0.027821104205275032,0.09642850183564562,0.005338445422254645,,0.009840335173776471,0.021839649108324755,0.0,0.0,0.0,0.875,0.125,0.23730922680933986,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em08_a1em02_s1p0,calibration,camera_geometry,1,1e-08,0.01,1.0,4,8,0.028155641535799733,0.08956041504106647,0.005678182305608348,,0.010257594987363672,0.022474994777436696,0.0,0.0,0.0,0.875,0.125,0.2701380838984051,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em08_a1e00_s0p25,calibration,camera_geometry,1,1e-08,1.0,0.25,4,8,0.0250750323131234,0.10825415826258827,0.002517909479630681,,0.008542825549292199,0.018928112604017888,0.0,0.0,0.0,0.875,0.125,0.09622556563855361,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em08_a1e00_s0p5,calibration,camera_geometry,1,1e-08,1.0,0.5,4,8,0.026821620514962563,0.10240379517058126,0.004312669925777307,,0.009162839100382847,0.020790387822604672,0.0,0.0,0.0,0.875,0.125,0.1782168010630712,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em08_a1e00_s0p75,calibration,camera_geometry,1,1e-08,1.0,0.75,4,8,0.02785243951608772,0.0959291399858723,0.0053704404785265974,,0.00964027008374524,0.02196507190187852,0.0,0.0,0.0,0.875,0.125,0.2389184091974691,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em08_a1e00_s1p0,calibration,camera_geometry,1,1e-08,1.0,1.0,4,8,0.028156852644103572,0.08887241360591787,0.005680409351922766,,0.009974046769661071,0.022439681494776154,0.0,0.0,0.0,0.875,0.125,0.269079383284328,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em08_a1e02_s0p25,calibration,camera_geometry,1,1e-08,100.0,0.25,4,8,0.02477637995173905,0.1087887641073227,0.0022107492310083077,,0.00857859049227172,0.018500616768943656,0.0,0.0,0.0,0.875,0.125,0.08672626152385263,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em08_a1e02_s0p5,calibration,camera_geometry,1,1e-08,100.0,0.5,4,8,0.026427736080694403,0.1036610098862174,0.003907954870496194,,0.009244504057757341,0.02013866277668014,0.0,0.0,0.0,0.875,0.125,0.1645886314253417,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em08_a1e02_s0p75,calibration,camera_geometry,1,1e-08,100.0,0.75,4,8,0.02756857326933014,0.0980715911204511,0.0050797050042349495,,0.009778652651234898,0.02129468192718298,0.0,0.0,0.0,0.875,0.125,0.22952934933781827,25,24,0,0,False
adjlr_camera_geometry_r1_tl21em08_a1e02_s1p0,calibration,camera_geometry,1,1e-08,100.0,1.0,4,8,0.028196050491482855,0.09204879034441867,0.0057231360799955,,0.010180224282813066,0.02197456129871095,0.0,0.0,0.0,0.875,0.125,0.2747729284421736,25,24,0,0,False
adjlr_summary_r1_tl21em04_a1em02_s0p25,calibration,summary,1,0.0001,0.01,0.25,4,8,0.025026169622336808,0.1083699880930417,0.002467675437751282,,0.008580774774392452,0.018509431051318637,0.0,0.0,0.0,0.875,0.125,0.09649201527173534,25,24,0,0,False
adjlr_summary_r1_tl21em04_a1em02_s0p5,calibration,summary,1,0.0001,0.01,0.5,4,8,0.026746695474105922,0.1026463642969479,0.004235522722766685,,0.009249007141600818,0.02010529749189327,0.0,0.0,0.0,0.875,0.125,0.18082917010951827,25,24,0,0,False
adjlr_summary_r1_tl21em04_a1em02_s0p75,calibration,summary,1,0.0001,0.01,0.75,4,8,0.02777570220062958,0.09631716665133024,0.005291215327014279,,0.00978565304278567,0.021174857402096292,0.0,0.0,0.0,0.875,0.125,0.24616598875992013,25,24,0,0,False
adjlr_summary_r1_tl21em04_a1em02_s1p0,calibration,summary,1,0.0001,0.01,1.0,4,8,0.028102705211060355,0.08942033396565317,0.005624065486984894,,0.010189928556401107,0.021704620582380485,0.0,0.0,0.0,0.875,0.125,0.28136056703151396,25,24,0,0,False
adjlr_summary_r1_tl21em04_a1e00_s0p25,calibration,summary,1,0.0001,1.0,0.25,4,8,0.024973289396101717,0.10837392431007399,0.002413165893469224,,0.008585554455002864,0.018596840530153036,0.0,0.0,0.0,0.875,0.125,0.09434376170035942,25,24,0,0,False
adjlr_summary_r1_tl21em04_a1e00_s0p5,calibration,summary,1,0.0001,1.0,0.5,4,8,0.026710862352672837,0.10271914035542969,0.004198550301880835,,0.009258604301012885,0.020317297928531708,0.0,0.0,0.0,0.875,0.125,0.17817214350193628,25,24,0,0,False
adjlr_summary_r1_tl21em04_a1e00_s0p75,calibration,summary,1,0.0001,1.0,0.75,4,8,0.027825401430413205,0.09651354255611803,0.005342375604825575,,0.009800200569549333,0.02153804164462897,0.0,0.0,0.0,0.875,0.125,0.2456175654401193,25,24,0,0,False
adjlr_summary_r1_tl21em04_a1e00_s1p0,calibration,summary,1,0.0001,1.0,1.0,4,8,0.02831196679278504,0.08979069458438246,0.005839608416595782,,0.010209626977562669,0.02226251585641753,0.0,0.0,0.0,0.875,0.125,0.2863329930058489,25,24,0,0,False
adjlr_summary_r1_tl21em04_a1e02_s0p25,calibration,summary,1,0.0001,100.0,0.25,4,8,0.02450392872113623,0.1093359565947288,0.001931378127891764,,0.008638844394886602,0.018078575258805185,0.0,0.0,0.0,0.875,0.125,0.07436738293305044,25,24,0,0,False
adjlr_summary_r1_tl21em04_a1e02_s0p5,calibration,summary,1,0.0001,100.0,0.5,4,8,0.02597094914133312,0.10483432888823448,0.003439802576319803,,0.009310818808130006,0.019424093918271934,0.0,0.0,0.0,0.875,0.125,0.14161364617446903,25,24,0,0,False
adjlr_summary_r1_tl21em04_a1e02_s0p75,calibration,summary,1,0.0001,100.0,0.75,4,8,0.027026276369220795,0.09997268718949673,0.004524441965400194,,0.009797267579206514,0.020413372870706936,-8.494262194291835e-05,0.0,0.0,0.875,0.125,0.19909620083176793,25,24,0,0,False
