partition,base_seed,family,case_id,geometry_digest,candidate_id,adjoint_residual_ratio_to_component_damping,adjoint_residual_gain_over_component_damping,fresh_exact_mismatch_access,evaluator_only,evaluator_forward_calls,evaluator_adjoint_calls
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1em02_s0p25,0.8226451930320834,0.1773548069679166,True,True,0,2
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1em02_s0p25,0.9362151430623659,0.06378485693763414,True,True,0,2
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1em02_s0p25,0.8085535804321935,0.1914464195678065,True,True,0,2
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1em02_s0p25,0.9861733583299611,0.013826641670038886,True,True,0,2
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1em02_s0p25,0.9345611915363405,0.06543880846365946,True,True,0,2
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1em02_s0p25,0.9253560527241639,0.07464394727583612,True,True,0,2
calibration,1319,smooth_no_interface,7b87be214410317a6167,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1em02_s0p25,0.8145521433211582,0.18544785667884178,True,True,0,2
calibration,1319,single_interface,8fde45e2cd31f25d2999,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1em02_s0p25,1.0,0.0,True,True,0,2
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1em02_s0p5,0.6733660849868619,0.3266339150131381,True,True,0,2
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1em02_s0p5,0.8817262530960907,0.11827374690390935,True,True,0,2
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1em02_s0p5,0.6230557083407655,0.3769442916592345,True,True,0,2
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1em02_s0p5,0.9792098870360919,0.02079011296390809,True,True,0,2
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1em02_s0p5,0.8806705216566263,0.11932947834337371,True,True,0,2
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1em02_s0p5,0.8691527390913042,0.1308472609086958,True,True,0,2
calibration,1319,smooth_no_interface,7b87be214410317a6167,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1em02_s0p5,0.6461742298948581,0.35382577010514193,True,True,0,2
calibration,1319,single_interface,8fde45e2cd31f25d2999,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1em02_s0p5,1.0,0.0,True,True,0,2
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.5744826475840847,0.42551735241591526,True,True,0,2
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.8383478835774301,0.16165211642256994,True,True,0,2
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.45090860470707567,0.5490913952929244,True,True,0,2
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.9792560086965655,0.020743991303434517,True,True,0,2
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.8405521048497785,0.1594478951502215,True,True,0,2
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.8351215352689764,0.16487846473102363,True,True,0,2
calibration,1319,smooth_no_interface,7b87be214410317a6167,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.5119939682978346,0.4880060317021654,True,True,0,2
calibration,1319,single_interface,8fde45e2cd31f25d2999,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1em02_s0p75,1.0,0.0,True,True,0,2
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.553687996540337,0.44631200345966304,True,True,0,2
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.8078717469988294,0.19212825300117065,True,True,0,2
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.31483226444938117,0.6851677355506188,True,True,0,2
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.9863107399684289,0.013689260031571115,True,True,0,2
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.8162392054313123,0.18376079456868766,True,True,0,2
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.8260074507615129,0.17399254923848706,True,True,0,2
calibration,1319,smooth_no_interface,7b87be214410317a6167,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1em02_s1p0,0.44416805239519946,0.5558319476048006,True,True,0,2
calibration,1319,single_interface,8fde45e2cd31f25d2999,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1em02_s1p0,1.0,0.0,True,True,0,2
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.832491271715446,0.167508728284554,True,True,0,2
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.9367311809423787,0.06326881905762127,True,True,0,2
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.8049032558012089,0.19509674419879108,True,True,0,2
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.9946310392187454,0.005368960781254595,True,True,0,2
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.9191758032258203,0.08082419677417974,True,True,0,2
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.9354214660186067,0.06457853398139335,True,True,0,2
calibration,1319,smooth_no_interface,7b87be214410317a6167,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1e00_s0p25,0.8218888784254933,0.1781111215745067,True,True,0,2
calibration,1319,single_interface,8fde45e2cd31f25d2999,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1e00_s0p25,1.0,0.0,True,True,0,2
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1e00_s0p5,0.6879158663634815,0.31208413363651855,True,True,0,2
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1e00_s0p5,0.8825040959996735,0.1174959040003265,True,True,0,2
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1e00_s0p5,0.6159848803203972,0.3840151196796028,True,True,0,2
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1e00_s0p5,0.9929697748802319,0.007030225119768141,True,True,0,2
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1e00_s0p5,0.8561983926779111,0.1438016073220889,True,True,0,2
