partition,base_seed,family,geometry_digest,rank,target_l2,adjoint_oracle_residual_ratio,target_adjoint_norm,offline_evaluator_adjoint_calls
fit,1101,smooth_no_interface,da6b2e0a6e4b84cedd4444d9dcd71503cd2c20378df2414960e3353b537c407a,1,1e-08,0.9785541176306508,2.434799638379242,2
fit,1101,single_interface,da6b2e0a6e4b84cedd4444d9dcd71503cd2c20378df2414960e3353b537c407a,1,1e-08,0.6788596018224213,3.4087653021742708,2
fit,1117,smooth_no_interface,6e9580a3129907266672d77d7e0a5862c0c64f705f419909025d6c60da893585,1,1e-08,0.8890726576836465,1.6989723276221387,2
fit,1117,single_interface,6e9580a3129907266672d77d7e0a5862c0c64f705f419909025d6c60da893585,1,1e-08,0.9854296373313747,5.410447145692945,2
fit,1129,smooth_no_interface,eba4bb1a5f22d2276c9c091d92683cb17b958383e8a8f0ff49cbbb861995abdd,1,1e-08,0.5891327050819035,1.897990903823605,2
fit,1129,single_interface,eba4bb1a5f22d2276c9c091d92683cb17b958383e8a8f0ff49cbbb861995abdd,1,1e-08,0.6926368204087063,2.9229295157427386,2
fit,1151,smooth_no_interface,836c10eaba5383c8c7ec047f057ad9629f75aed88d72e7905084987515e4203d,1,1e-08,0.7210771645345323,2.4693254842563683,2
fit,1151,single_interface,836c10eaba5383c8c7ec047f057ad9629f75aed88d72e7905084987515e4203d,1,1e-08,0.9993962118001363,1.5499354723165524,2
fit,1163,smooth_no_interface,98e90ad43352dadcde3efe6826ae1511651c36520679a8b72030cbeda59dda3c,1,1e-08,0.7747036087270149,3.5187923719782144,2
fit,1163,single_interface,98e90ad43352dadcde3efe6826ae1511651c36520679a8b72030cbeda59dda3c,1,1e-08,0.9308920635116651,3.9594963000290115,2
fit,1181,smooth_no_interface,cab5e54627605eb0e89ba28cf4ddb3d9ecfae4af54b4e6f0c4f64ea7713405e7,1,1e-08,0.8717129265795361,1.819094723360128,2
fit,1181,single_interface,cab5e54627605eb0e89ba28cf4ddb3d9ecfae4af54b4e6f0c4f64ea7713405e7,1,1e-08,0.9994937619253381,3.5733618108838723,2
fit,1193,smooth_no_interface,3084924562523ce943ba2943cb3b13827f3424bcc313af78bb31ff80e74bd1c8,1,1e-08,0.6641460126304899,1.4464108930263555,2
fit,1193,single_interface,3084924562523ce943ba2943cb3b13827f3424bcc313af78bb31ff80e74bd1c8,1,1e-08,0.7569771933798863,3.0642070996151065,2
fit,1201,smooth_no_interface,86f90bc98da3d4a2c72b47d55177a63c0c8b4d75b34583ef2c8294683179c008,1,1e-08,0.5400008071250357,1.1784986282193195,2
fit,1201,single_interface,86f90bc98da3d4a2c72b47d55177a63c0c8b4d75b34583ef2c8294683179c008,1,1e-08,0.7125683839361372,2.652879156438578,2
fit,1213,smooth_no_interface,75c35c11b41b23c353252dcc1d8b1f2855a07423640a2a113b5900aa47ddcc61,1,1e-08,0.8967486325479087,1.58001299077424,2
fit,1213,single_interface,75c35c11b41b23c353252dcc1d8b1f2855a07423640a2a113b5900aa47ddcc61,1,1e-08,0.5354218270052712,2.1717870485155553,2
fit,1229,smooth_no_interface,9f134cc3f709bd86732f24ba0a846a40bbfc8fc07190ab0826ad0f2cf36cd974,1,1e-08,0.44447885537506854,1.771755801795182,2
fit,1229,single_interface,9f134cc3f709bd86732f24ba0a846a40bbfc8fc07190ab0826ad0f2cf36cd974,1,1e-08,0.8525435367784978,3.692858233680339,2
fit,1237,smooth_no_interface,5912c6c9b0a9cba3a9ae4bbf3f5e867bdde92487ebe687a941aca09dfd1aa488,1,1e-08,0.7438945286921083,2.061056339283124,2
fit,1237,single_interface,5912c6c9b0a9cba3a9ae4bbf3f5e867bdde92487ebe687a941aca09dfd1aa488,1,1e-08,0.9831761331683578,1.6099793389795578,2
fit,1259,smooth_no_interface,1770135a525625675ff72b7c0b1ab109b505b0161bc74dc871b3913ce93e991d,1,1e-08,0.876866654051812,2.416020500214247,2
