partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,h1_seminorm_relative_l2,field_mean_bias,data_residual_relative_l2,fallback,fallback_reason,takeover,evaluator_only,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,shared_warm_seconds,deployment_setup_seconds,evaluator_setup_seconds,candidate_refine_seconds,end_to_end_seconds,total_with_evaluator_seconds,route,feature_set,basis_rank,target_l2,ridge_alpha,residual_shrinkage,feature_max_abs_z,predicted_residual_rms,model_inference_seconds,coefficient_target_evaluator_adjoint_calls
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,low_cgls24_matched,0.705114037565221,1.215689402087825,0.0051031347209812405,0.00037155239051815285,False,,True,False,25,24,0,0,0.0,0.0,0.0,0.007894542010035366,0.007894542010035366,0.007894542010035366,,,,,,,,,,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,component_damping,0.6996273230981306,1.1036247023611336,0.005491861202608472,0.0008641251304949372,False,,True,False,25,24,0,0,0.00394850003067404,0.0,0.0,0.0038685830077156425,0.007817083038389683,0.007817083038389683,,,,,,,,,,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,selected_fail_closed,0.6977782503863056,1.1162130613900025,0.005480734979376085,0.00184322061643232,False,,True,False,25,24,0,0,0.00394850003067404,0.0004776249988935888,0.0,0.003442416957113892,0.007868541986681521,0.007868541986681521,fail_closed,camera,4,0.01,1.0,1.0,2.895673950541273,0.05810432939341554,8.870800957083702e-05,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,selected_raw_unbounded_diagnostic,0.6977782503863056,1.1162130613900025,0.005480734979376085,0.00184322061643232,False,,True,True,25,24,0,0,0.00394850003067404,0.0004656669916585088,0.0,0.0039243330247700214,0.00833850004710257,0.00833850004710257,raw_unbounded_diagnostic,camera,4,0.01,1.0,1.0,2.895673950541273,0.05810432939341554,7.675000233575702e-05,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,damping_plus_train_basis_mean,0.6981765490916205,1.1158351942375788,0.005202453717710196,0.0014802905852843746,False,,True,False,25,24,0,0,0.00394850003067404,0.0,0.0,0.003451499971561134,0.007400000002235174,0.007400000002235174,,,,,,,,,,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,high_order_teacher_b0p25,0.6994207350291749,1.0960262459377097,0.005481779719177192,0.0008228039924111826,False,,True,True,25,24,1,0,0.00394850003067404,0.0,0.00015587499365210533,0.0035491249873302877,0.007497625018004328,0.007653500011656433,,,,,,,,,,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,high_order_teacher_b0p5,0.6994740470758768,1.088968338214221,0.00547180110806481,0.0008615649681856056,False,,True,True,25,24,1,0,0.00394850003067404,0.0,0.00015587499365210533,0.0034637919743545353,0.007412292005028576,0.007568166998680681,,,,,,,,,,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,high_order_teacher_b0p75,0.6997856521548332,1.082454147686154,0.005461917364502911,0.0009787238520650027,False,,True,True,25,24,1,0,0.00394850003067404,0.0,0.00015587499365210533,0.003859582997392863,0.007808083028066903,0.007963958021719009,,,,,,,,,,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,high_order_teacher_b1p0,0.7003528713969775,1.076477242104317,0.005452102438730507,0.0011498755042121576,False,,True,True,25,24,1,0,0.00394850003067404,0.0,0.00015587499365210533,0.0034272909979335964,0.007375791028607637,0.007531666022259742,,,,,,,,,,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,measurement_l2_low_rank_oracle,0.697633179397117,1.1153699428370079,0.005439797216274606,0.0015928952104066678,False,,True,True,25,24,0,0,0.00394850003067404,0.0,0.00011075002839788795,0.0036260830238461494,0.00757458305452019,0.007685333082918078,,,,,,,,,,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjoint_low_rank_oracle,0.6979383370077955,1.1154374451583002,0.005396722532134397,0.001513517018153101,False,,True,True,25,24,0,0,0.00394850003067404,0.0,0.0007920420030131936,0.003938582958653569,0.00788708298932761,0.008679124992340803,,,,,,,,,,5
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,exact_mismatch_oracle,0.6962397454789389,1.1237718457144008,0.005273699929575783,0.0010477096386643258,False,,True,True,25,24,0,0,0.00394850003067404,0.0,0.0,0.0033715000026859343,0.007320000033359975,0.007320000033359975,,,,,,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,low_cgls24_matched,0.5604475660738483,1.2220526739412427,0.018417952099600985,0.0019754115477754342,False,,True,False,25,24,0,0,0.0,0.0,0.0,0.007820041035301983,0.007820041035301983,0.007820041035301983,,,,,,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,component_damping,0.5511086248828708,1.061648956492642,0.019509269203770156,0.0038119070986515143,False,,True,False,25,24,0,0,0.004373792035039514,0.0,0.0,0.004009208001662046,0.00838300003670156,0.00838300003670156,,,,,,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,selected_fail_closed,0.5463728272975829,1.108178849954395,0.018937990422207916,0.003864557314317766,False,,True,False,25,24,0,0,0.004373792035039514,0.0005093750078231096,0.0,0.0037593329907394946,0.008642500033602118,0.008642500033602118,fail_closed,camera,4,0.01,1.0,1.0,1.4566497071030695,0.06608284652799282,9.74169815890491e-05,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,selected_raw_unbounded_diagnostic,0.5463728272975829,1.108178849954395,0.018937990422207916,0.003864557314317766,False,,True,True,25,24,0,0,0.004373792035039514,0.00047870806884020567,0.0,0.0040510420221835375,0.008903542126063257,0.008903542126063257,raw_unbounded_diagnostic,camera,4,0.01,1.0,1.0,1.4566497071030695,0.06608284652799282,6.675004260614514e-05,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,damping_plus_train_basis_mean,0.5482699495773119,1.0863172732858628,0.019228090766458504,0.004205625238781063,False,,True,False,25,24,0,0,0.004373792035039514,0.0,0.0,0.0034269579919055104,0.007800750026945025,0.007800750026945025,,,,,,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,high_order_teacher_b0p25,0.5499372734337451,1.0687283781918837,0.019450369148552287,0.00416410519458086,False,,True,True,25,24,1,0,0.004373792035039514,0.0,0.00016529200365766883,0.0038277499843388796,0.008201542019378394,0.008366834023036063,,,,,,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,high_order_teacher_b0p5,0.5492110287303201,1.0768521107271845,0.019391782923083634,0.004420522600188047,False,,True,True,25,24,1,0,0.004373792035039514,0.0,0.00016529200365766883,0.0033825409482233226,0.007756332983262837,0.007921624986920506,,,,,,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,high_order_teacher_b0p75,0.5489634393002006,1.0860134244032198,0.019333335376497923,0.004584031554768553,False,,True,True,25,24,1,0,0.004373792035039514,0.0,0.00016529200365766883,0.003952374972868711,0.008326167007908225,0.008491459011565894,,,,,,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,high_order_teacher_b1p0,0.5492199721745318,1.096148688510779,0.019274719905823537,0.00468488540285443,False,,True,True,25,24,1,0,0.004373792035039514,0.0,0.00016529200365766883,0.003435124992392957,0.0078089170274324715,0.00797420903109014,,,,,,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,measurement_l2_low_rank_oracle,0.5460783568872852,1.1171974011688381,0.018816742293862224,0.004141069221376279,False,,True,True,25,24,0,0,0.004373792035039514,0.0,5.0458009354770184e-05,0.0039112920057959855,0.0082850840408355,0.00833554205019027,,,,,,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjoint_low_rank_oracle,0.5461153522594692,1.1156344468131454,0.01883645154678532,0.004149638608530762,False,,True,True,25,24,0,0,0.004373792035039514,0.0,0.0008300839690491557,0.0038304170011542737,0.008204209036193788,0.009034293005242944,,,,,,,,,,5
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,exact_mismatch_oracle,0.5454539298225526,1.1209284134190152,0.018751498213616345,0.004018038865869919,False,,True,True,25,24,0,0,0.004373792035039514,0.0,0.0,0.003444499976467341,0.007818292011506855,0.007818292011506855,,,,,,,,,,
