partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,h1_seminorm_relative_l2,field_mean_bias,data_residual_relative_l2,fallback,fallback_reason,takeover,evaluator_only,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,shared_warm_seconds,deployment_setup_seconds,evaluator_setup_seconds,candidate_refine_seconds,end_to_end_seconds,total_with_evaluator_seconds,route,feature_set,basis_rank,target_l2,ridge_alpha,residual_shrinkage,feature_max_abs_z,predicted_residual_rms,model_inference_seconds
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1em02_s0p5,0.5479278523784329,1.083813392259368,0.019209805513439003,0.004039858375765517,False,,True,False,25,24,0,0,0.004373792035039514,0.0007122500101104379,0.0,0.0035557079827412963,0.008641750027891248,0.008641750027891248,fail_closed,summary,1,1e-08,0.01,0.5,1.255060231210565,0.06586037242335671,0.00030029198387637734
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1em02_s0p5,0.7035885091126749,1.0995723246830067,0.0017019611638094242,0.0017924644938354488,False,,True,False,25,24,0,0,0.0039884159923531115,0.0004747910425066948,0.0,0.003368917037732899,0.007832124072592705,0.007832124072592705,fail_closed,summary,1,1e-08,0.01,0.5,1.9372561200038878,0.05688869995231629,8.879101369529963e-05
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1em02_s0p5,0.5219840258292948,0.9992565341465431,0.017662799375612638,0.0025600966766837945,False,,True,False,25,24,0,0,0.003809707995969802,0.00048354099271818995,0.0,0.003485584049485624,0.007778833038173616,0.007778833038173616,fail_closed,summary,1,1e-08,0.01,0.5,1.3502097239570328,0.04504963600345428,0.00010299996938556433
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjlr_summary_r1_tl21em08_a1em02_s0p5,0.6865572070377582,1.1266636667556043,-0.015082498040959043,0.0032102115229917186,False,,True,False,25,24,0,0,0.003693792037665844,0.00043937499867752194,0.0,0.0035421670181676745,0.0076753340545110404,0.0076753340545110404,fail_closed,summary,1,1e-08,0.01,0.5,1.424389174542249,0.07246996637683646,6.29170099273324e-05
calibration,1319,smooth_no_interface,7b87be214410317a6167,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1em02_s0p5,0.5056678324327588,0.9497183474746239,0.02194718089715606,0.0047424712231382195,False,,True,False,25,24,0,0,0.004227333003655076,0.0004556259955279529,0.0,0.0035265000187791884,0.008209459017962217,0.008209459017962217,fail_closed,summary,1,1e-08,0.01,0.5,1.3236228203307023,0.08481788466097101,7.620902033522725e-05
calibration,1319,single_interface,8fde45e2cd31f25d2999,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,adjlr_summary_r1_tl21em08_a1em02_s0p5,0.7252226314812246,1.1810189989327338,0.007860697243035576,0.004400561737050972,True,feature_envelope,False,False,25,24,0,0,0.0041174580110237,0.0006430000066757202,0.0,0.0038208329933695495,0.00858129101106897,0.00858129101106897,fail_closed,summary,1,1e-08,0.01,0.5,4.844476821301209,0.07552074708483275,7.324997568503022e-05
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.5247631846236924,0.9825561147178091,0.014389129926967467,0.005344345482869311,False,,True,False,25,24,0,0,0.004321124986745417,0.0006919990410096943,0.0,0.0035799579927697778,0.00859308202052489,0.00859308202052489,fail_closed,summary,1,1e-08,0.01,0.75,1.5956458132281044,0.09413193401746178,8.991599315777421e-05
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.6982140339047018,1.1123696111367536,0.005376968097668948,0.001091650409980897,False,,True,False,25,24,0,0,0.00394850003067404,0.0004621670232154429,0.0,0.003726749971974641,0.008137417025864124,0.008137417025864124,fail_closed,summary,1,1e-08,0.01,0.75,2.130779587476059,0.0347079471000389,7.325003389269114e-05
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.5469232338646791,1.096183905673772,0.01906062727571454,0.004139809653997712,False,,True,False,25,24,0,0,0.004373792035039514,0.0005022500408813357,0.0,0.003409500000998378,0.008285542076919228,0.008285542076919228,fail_closed,summary,1,1e-08,0.01,0.75,1.255060231210565,0.06586037242335671,9.029201464727521e-05
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjlr_summary_r1_tl21em08_a1em02_s0p75,0.7035384435585356,1.1010927282492189,0.0014548057356967134,0.002166620776690758,False,,True,False,25,24,0,0,0.0039884159923531115,0.00045233400305733085,0.0,0.003703167021740228,0.00814391701715067,0.00814391701715067,fail_closed,summary,1,1e-08,0.01,0.75,1.9372561200038878,0.05688869995231629,6.633397424593568e-05
