candidate_id,partition,feature_set,basis_rank,target_l2,ridge_alpha,residual_shrinkage,geometry_cluster_count,case_count,mean_field_gain_over_low_cgls24,mean_h1_gain_over_low_cgls24,mean_field_gain_over_component_damping,mean_field_gain_over_high_order_teacher_b0p75,worst_case_field_gain_over_low_cgls24,worst_geometry_field_gain_over_low_cgls24,worst_case_field_gain_over_component_damping,case_harm_over_one_percent_rate_vs_low,case_harm_over_one_percent_rate_vs_component_damping,takeover_rate,fallback_rate,evaluator_mean_adjoint_residual_gain_over_component_damping,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,evaluator_only
adjoint_low_rank_oracle,calibration,,,,,,4,8,0.029209658891607773,0.08285423989194063,0.006788560421159939,0.0037261511115314755,0.006280426374223214,0.023958696662758405,-0.009391376865986567,0.0,0.0,1.0,0.0,0.5448722404736788,25,24,0,0,True
component_damping,calibration,,,,,,4,8,0.022626092113877214,0.11346760582109977,0.0,-0.00309611618123512,0.00778131504236701,0.016393248764962454,0.0,0.0,0.0,1.0,0.0,0.0,25,24,0,0,False
damping_plus_train_basis_mean,calibration,,,,,,4,8,0.02587829459301033,0.10111304407010732,0.0033477876683859487,0.00026587826426735517,0.008085052044179863,0.01835605013221997,-0.0005525408951678745,0.0,0.0,1.0,0.0,0.1624521256681524,25,24,0,0,False
exact_mismatch_oracle,calibration,,,,,,4,8,0.03862055975477682,0.09184257388587848,0.016381938875630594,0.01333344044191459,0.012585612558395964,0.02900789400111342,0.0048419744446095425,0.0,0.0,1.0,0.0,1.0,25,24,0,0,True
high_order_teacher_b0p25,calibration,,,,,,4,8,0.02447773941707891,0.11332148540566522,0.0019047967436465751,-0.0011832036402472657,0.008074300372327259,0.01834392020475195,0.0002952830201669032,0.0,0.0,1.0,0.0,0.03838626408192472,25,24,1,0,True
high_order_teacher_b0p5,calibration,,,,,,4,8,0.025460002647699223,0.11225893963601843,0.002916171721775454,-0.00016724012666545496,0.007998692677881114,0.01939604874729811,0.0002190823845688028,0.0,0.0,1.0,0.0,0.06008719130629532,25,24,1,0,True
high_order_teacher_b0p75,calibration,,,,,,4,8,0.025618929428826917,0.11038831831723775,0.0030820481742865197,0.0,0.007556771141284835,0.01953937485728957,-0.00022630485041874593,0.0,0.0,1.0,0.0,0.06446460184093611,25,24,1,0,True
high_order_teacher_b1p0,calibration,,,,,,4,8,0.024872666506286098,0.1076656342008627,0.002317552528456529,-0.0007668501850485454,0.00675233496227623,0.018744462441620036,-0.0010370496904466009,0.0,0.0,1.0,0.0,0.0514066111563547,25,24,1,0,True
low_cgls24_matched,calibration,,,,,,4,8,0.0,0.0,-0.02329031390756056,-0.02647903039914576,0.0,0.0,-0.037726869754584946,0.0,0.75,1.0,0.0,,25,24,0,0,False
measurement_l2_low_rank_oracle,calibration,,,,,,4,8,0.030405764947217917,0.08532615575459267,0.00800658369939855,0.004945439750958902,0.010609430204985837,0.02457773602163421,-0.002404716606254409,0.0,0.0,1.0,0.0,0.533978824621114,25,24,0,0,True
selected_fail_closed,calibration,camera,4,0.01,1.0,1.0,4,8,0.029973445526674913,0.08706853750268383,0.007561415004350647,0.004497817162730816,0.010403689031984187,0.023366030456664633,0.0,0.0,0.0,0.875,0.125,0.3796180016011297,25,24,0,0,False
selected_raw_unbounded_diagnostic,calibration,camera,4,0.01,1.0,1.0,4,8,0.031095943141671592,0.08680416146186822,0.008701615361878245,0.005638125103159197,0.010403689031984187,0.023366030456664633,0.002642939534775235,0.0,0.0,1.0,0.0,0.238489948988386,25,24,0,0,True
