method,split,scored_rows_including_seeds,mean_whitened_target_residual_rmse,median_whitened_target_residual_rmse
zero_correction,train,160,3.1245801356078777,2.579140425637747
zero_correction,validation,80,3.512011024228136,2.956501668981148
analytic_dc,train,160,3.2065175294124786,2.6424228624192168
analytic_dc,validation,80,3.6854916990294084,3.1133988284143856
gc_rio_no_target_geometry,train,480,3.166568895524514,2.6351028128394063
gc_rio_no_target_geometry,validation,240,3.6575452060136273,3.10633933247684
gc_rio_correct_target_geometry,train,480,3.1687111141026247,2.632542909818932
gc_rio_correct_target_geometry,validation,240,3.656980388487462,3.091760983676029
gc_rio_shuffled_target_geometry,train,480,3.176013615922294,2.636156759753459
gc_rio_shuffled_target_geometry,validation,240,3.662042667267621,3.0904516509983067
