cell_id,family,dynamics,noise_level,view_count,seed,rank,is_full_rank,field_rel_l2,paper_l2_squared,temporal_gradient_rel_l2,mass_trace_rmse,clean_heldout_reprojection_rel_l2,support_residual,heldout_residual,rank_fraction,rank_fraction_squared,log_rank,spectral_energy,spectral_tail,spectral_gap,log_support_residual,temporal_gradient_ratio,temporal_curvature_ratio,mass_curvature,negative_fraction,observation_temporal_noise_proxy,view_fraction,rank_x_noise_proxy,rank_x_spectral_tail,log_heldout_residual,log_heldout_support_ratio,full_rank_field_rel_l2,field_error_ratio_to_full,target_log_error_ratio,oracle_rank,oracle_field_rel_l2,oracle_regret_pct
f-blobs_sheet_d-smooth_v-3_n-0.07_s-20260720,blobs_sheet,smooth,0.07,3,20260720,1,0,0.5247890102098931,0.2754035052370793,0.9377758377305226,0.19332968283501256,0.4905382390867619,0.5385618834354927,0.4871867985139546,0.05555555555555555,0.0030864197530864196,0.6931471805599453,0.5402301464263795,0.6780633108889011,0.13617544152110772,-0.6188528708146643,0.5666225013679221,0.2194886907053511,0.5270642012528792,0.484789737654321,0.9046349440312496,0.3333333333333333,0.050257496890624975,0.03767018393827228,-0.7191076595977525,-0.10025478878308804,0.5142514090579373,1.0204911468696591,0.020284027945079094,2,0.5082492166834296,3.2542683753378054
f-blobs_sheet_d-smooth_v-3_n-0.07_s-20260720,blobs_sheet,smooth,0.07,3,20260720,2,0,0.5082492166834296,0.2583172662593198,0.8888141797955942,0.1978578720165313,0.47936241956838743,0.5061167818485409,0.47410440105289087,0.1111111111111111,0.012345679012345678,1.0986122886681098,0.8287847001663053,0.4137817055328722,0.2446245933430596,-0.6809878421544955,0.6681462654763854,0.2621662655542307,0.6102019092349072,0.49074074074074076,0.9046349440312496,0.3333333333333333,0.10051499378124995,0.04597574505920802,-0.746327726151762,-0.06533988399726656,0.5142514090579373,0.9883282918242431,-0.011740357250465582,2,0.5082492166834296,0.0
f-blobs_sheet_d-smooth_v-3_n-0.07_s-20260720,blobs_sheet,smooth,0.07,3,20260720,3,0,0.5096594602745071,0.25975276544730186,0.9020911136608935,0.19779335631955977,0.48501779300207043,0.5029479050556706,0.4785447856842728,0.16666666666666666,0.027777777777777776,1.3862943611198906,0.922320689834257,0.2787100826409783,0.21174387721428226,-0.6872686827217869,0.7821070411958293,0.38395073709246197,0.5763101721772462,0.49657600308641975,0.9046349440312496,0.3333333333333333,0.15077249067187493,0.04645168044016305,-0.7370054764704801,-0.049736793748693255,0.5142514090579373,0.9910706150658231,-0.00896949081562006,2,0.5082492166834296,0.2774708833350096
f-blobs_sheet_d-smooth_v-3_n-0.07_s-20260720,blobs_sheet,smooth,0.07,3,20260720,5,0,0.5105002866942443,0.2606105427149056,0.9191179593136974,0.19286560435904393,0.48513531949521643,0.5079555936485257,0.47792023544752177,0.2777777777777778,0.0771604938271605,1.791759469228055,0.9684791463598484,0.17754113224869741,0.06548063727435054,-0.677361249300225,0.8493982990711423,0.4816825209220142,0.6599193560876797,0.5001157407407407,0.9046349440312496,0.3333333333333333,0.2512874844531249,0.04931698118019373,-0.7383114318618772,-0.0609501825616523,0.5142514090579373,0.9927056643917468,-0.007321069354899731,2,0.5082492166834296,0.4429067349084351
f-blobs_sheet_d-smooth_v-3_n-0.07_s-20260720,blobs_sheet,smooth,0.07,3,20260720,8,0,0.5120933366664724,0.262239585458201,0.9784572270739456,0.19250945710489747,0.48749378327324294,0.5114416341425686,0.4804824316935097,0.4444444444444444,0.19753086419753085,2.1972245773362196,0.9833386845039036,0.1290787182152596,0.010732149273096413,-0.6705218073473832,0.9043172197612218,0.6568418257830603,0.7155203904816512,0.4983796296296296,0.9046349440312496,0.3333333333333333,0.4020599751249998,0.05736831920678204,-0.7329646137906644,-0.062442806443281165,0.5142514090579373,0.9958034681977554,-0.004205361952543909,2,0.5082492166834296,0.7563454810850394
f-blobs_sheet_d-smooth_v-3_n-0.07_s-20260720,blobs_sheet,smooth,0.07,3,20260720,12,0,0.5133552569742064,0.2635336198630534,1.049872805766837,0.19256485252921793,0.48957866881008005,0.5132083313589535,0.4827256986386173,0.6666666666666666,0.4444444444444444,2.5649493574615367,0.9930608085376245,0.08330180947838728,0.04857290168633461,-0.6670734122337812,0.963064423696465,0.8800560019585073,0.8360505738496968,0.4960744598765432,0.9046349440312496,0.3333333333333333,0.6030899626874997,0.055534539652258186,-0.7283066983717247,-0.06123328613794347,0.5142514090579373,0.9982573658157381,-0.001744154335568087,2,0.5082492166834296,1.004633184500724
f-blobs_sheet_d-smooth_v-3_n-0.07_s-20260720,blobs_sheet,smooth,0.07,3,20260720,18,1,0.5142514090579373,0.264454511718074,1.0943274319780185,0.19251378695133864,0.4903876045631431,0.514060280356421,0.48335854162687186,1.0,1.0,2.9444389791664403,0.999999999999998,0.0,0.0,-0.6654147434434139,0.9999999999959365,0.9999999999959545,0.8934429404253971,0.4946855709876543,0.9046349440312496,0.3333333333333333,0.9046349440312496,0.0,-0.7269965785035075,-0.06158183506009368,0.5142514090579373,0.9999999999980554,0.0,2,0.5082492166834296,1.1809545745418164
f-blobs_sheet_d-smooth_v-3_n-0.07_s-20260721,blobs_sheet,smooth,0.07,3,20260721,1,0,0.5245876654801579,0.275192218773922,0.9382845331001696,0.19323146764257187,0.4919763243678997,0.538828079131318,0.4881948922273495,0.05555555555555555,0.0030864197530864196,0.6931471805599453,0.5359579013052539,0.681206355442126,0.13361695107467988,-0.6183587216013056,0.5595335134158282,0.21409942996664047,0.531890830536554,0.4859664351851852,0.9145957703344575,0.3333333333333333,0.05081087612969208,0.03784479752456255,-0.7170405835353024,-0.09868186193399672,0.5142893926245183,1.0200242762193976,0.019826427229960846,2,0.5078679105361447,3.292146362689
f-blobs_sheet_d-smooth_v-3_n-0.07_s-20260721,blobs_sheet,smooth,0.07,3,20260721,2,0,0.5078679105361447,0.25792981455234937,0.8893506351399776,0.19804283142222,0.48165726430800815,0.5058054966553043,0.47656302731654976,0.1111111111111111,0.012345679012345678,1.0986122886681098,0.82562340340308,0.41758423892302005,0.24551229314020803,-0.6816030775528407,0.6613442293817838,0.25742734624592095,0.6289309980965578,0.48954475308641976,0.9145957703344575,0.3333333333333333,0.10162175225938416,0.046398248769224444,-0.7411552932445187,-0.05955221569167795,0.5142893926245183,0.987513874131078,-0.012564732550597623,2,0.5078679105361447,0.0
f-blobs_sheet_d-smooth_v-3_n-0.07_s-20260721,blobs_sheet,smooth,0.07,3,20260721,3,0,0.5092299448178231,0.25931513669916323,0.9027431337944825,0.19796448657733368,0.48721580206183224,0.5030065039472039,0.4810234136223063,0.16666666666666666,0.027777777777777776,1.3862943611198906,0.9191364463711434,0.2843651765404028,0.19995572844600076,-0.6871521786514729,0.7739173624969242,0.3753807891146919,0.544586041531368,0.49518711419753086,0.9145957703344575,0.3333333333333333,0.15243262838907623,0.04739419609006713,-0.7318393330895305,-0.04468715443805754,0.5142893926245183,0.9901622551811423,-0.0098864551583462,2,0.5078679105361447,0.2681867181247816
