selector,family,cell_count,mean_regret_pct,p95_regret_pct,within_one_pct_oracle_rate,mean_field_improvement_vs_rank3_pct
fixed_rank3,blobs_sheet,216,0.6336145348710617,2.2315539888224496,0.7083333333333334,0.0
fixed_rank3,vortex_ring,216,2.8553035329492356,7.113227430627591,0.3055555555555556,0.0
fixed_rank3,expanding_shell,216,1.4476175235308462,5.199234783321257,0.5833333333333334,0.0
fixed_rank3,jet_filaments,216,1.3058766072225727,5.086935081287066,0.5555555555555556,0.0
train_fixed_rank,blobs_sheet,216,2.200846892286814,7.183369332324169,0.5,-1.567318118639614
train_fixed_rank,vortex_ring,216,0.6377370804638466,2.7449770295671216,0.75,2.127158775924422
train_fixed_rank,expanding_shell,216,0.3177561429271127,1.800498480454103,0.9166666666666666,1.0963459546445509
train_fixed_rank,jet_filaments,216,0.30259434268834984,1.812926796043693,0.9166666666666666,0.976167867394625
energy95,blobs_sheet,216,4.160009676348991,15.386734819841472,0.3611111111111111,-3.51890686565068
energy95,vortex_ring,216,0.4706909389656977,2.291346293614669,0.7962962962962963,2.275054396120316
energy95,expanding_shell,216,0.5166046884861069,2.096892451393493,0.75,0.8913226910697849
energy95,jet_filaments,216,0.7904042490606102,4.366841293645505,0.7546296296296297,0.4853666662211104
support_min,blobs_sheet,216,0.0990118049637226,0.42775049008187865,0.9861111111111112,0.5268090851019852
support_min,vortex_ring,216,0.7745796162664887,4.098264174984733,0.75,1.9785741952875013
support_min,expanding_shell,216,0.9075871407776175,3.4027978072301903,0.75,0.5047532258663757
support_min,jet_filaments,216,1.298520239817555,6.756720267753675,0.6481481481481481,-0.01899683129561578
heldout_min,blobs_sheet,216,0.27905132444179764,2.0977543392069147,0.8796296296296297,0.34733986628652
heldout_min,vortex_ring,216,4.011264828339471,9.717221692051748,0.3333333333333333,-1.1972154140547526
heldout_min,expanding_shell,216,3.0756802529009404,6.227883684024052,0.004629629629629629,-1.6316416304528818
heldout_min,jet_filaments,216,2.3247764306199876,9.997129709532063,0.6759259259259259,-1.0391938478929783
lofo_ridge_no_holdout,blobs_sheet,216,0.5120490959159179,2.1140645171733143,0.7129629629629629,0.11667956399626885
lofo_ridge_no_holdout,vortex_ring,216,0.17585299923842587,0.6081544318166554,1.0,2.565320719952143
lofo_ridge_no_holdout,expanding_shell,216,0.12309057509846022,0.5614688840985601,1.0,1.2813358994468589
lofo_ridge_no_holdout,jet_filaments,216,0.19748516952098202,0.8272556619023475,0.9814814814814815,1.0739331911390038
lofo_ridge_with_holdout,blobs_sheet,216,0.3606864176126522,1.8214957442974038,0.8009259259259259,0.2669796101892189
lofo_ridge_with_holdout,vortex_ring,216,0.15350270225745724,0.5866887965601254,1.0,2.586145339087796
lofo_ridge_with_holdout,expanding_shell,216,0.11407504134370049,0.45732404613744704,1.0,1.2902944693448575
lofo_ridge_with_holdout,jet_filaments,216,0.21174822034689586,0.8379151189641327,0.9768518518518519,1.0599414640205236
