cell_id,family,dynamics,noise_level,view_count,seed,selector,selected_rank,oracle_rank,selected_field_rel_l2,oracle_field_rel_l2,rank3_field_rel_l2,full_rank_field_rel_l2,regret_pct,field_improvement_vs_rank3_pct,field_improvement_vs_full_pct,exact_oracle_rank,within_one_pct_oracle,requires_heldout_view
f-blobs_sheet_d-chirp_v-3_n-0.00_s-20260725,blobs_sheet,chirp,0.0,3,20260725,train_fixed_rank,8,2,0.49442415620309904,0.4921502298783265,0.4934601675106041,0.4944712901664635,0.4620390658620809,-0.19535288883722363,0.009532194143873012,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.00_s-20260725,blobs_sheet,chirp,0.0,3,20260725,energy95,3,2,0.4934601675106041,0.4921502298783265,0.4934601675106041,0.4944712901664635,0.26616621363740794,0.0,0.20448561442605878,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.00_s-20260725,blobs_sheet,chirp,0.0,3,20260725,support_min,3,2,0.4934601675106041,0.4921502298783265,0.4934601675106041,0.4944712901664635,0.26616621363740794,0.0,0.20448561442605878,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.00_s-20260725,blobs_sheet,chirp,0.0,3,20260725,heldout_min,2,2,0.4921502298783265,0.4921502298783265,0.4934601675106041,0.4944712901664635,0.0,0.26545964973896263,0.4694024373691994,1,1,1
f-blobs_sheet_d-chirp_v-3_n-0.00_s-20260725,blobs_sheet,chirp,0.0,3,20260725,lofo_ridge_no_holdout,2,2,0.4921502298783265,0.4921502298783265,0.4934601675106041,0.4944712901664635,0.0,0.26545964973896263,0.4694024373691994,1,1,0
f-blobs_sheet_d-chirp_v-3_n-0.00_s-20260725,blobs_sheet,chirp,0.0,3,20260725,lofo_ridge_with_holdout,2,2,0.4921502298783265,0.4921502298783265,0.4934601675106041,0.4944712901664635,0.0,0.26545964973896263,0.4694024373691994,1,1,1
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260720,blobs_sheet,chirp,0.07,3,20260720,fixed_rank3,3,2,0.49512420665766044,0.49355934251836436,0.49512420665766044,0.5000506108344569,0.3170569381400531,0.0,0.9851811136808128,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260720,blobs_sheet,chirp,0.07,3,20260720,train_fixed_rank,8,2,0.49780434698063697,0.49355934251836436,0.49512420665766044,0.5000506108344569,0.8600798519189325,-0.54130666344581,0.44920730125036673,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260720,blobs_sheet,chirp,0.07,3,20260720,energy95,5,2,0.49616060799931594,0.49355934251836436,0.49512420665766044,0.5000506108344569,0.5270420913670614,-0.2093214849360009,0.7779218244812777,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260720,blobs_sheet,chirp,0.07,3,20260720,support_min,3,2,0.49512420665766044,0.49355934251836436,0.49512420665766044,0.5000506108344569,0.3170569381400531,0.0,0.9851811136808128,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260720,blobs_sheet,chirp,0.07,3,20260720,heldout_min,2,2,0.49355934251836436,0.49355934251836436,0.49512420665766044,0.5000506108344569,0.0,0.31605486426457313,1.298122265113782,1,1,1
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260720,blobs_sheet,chirp,0.07,3,20260720,lofo_ridge_no_holdout,2,2,0.49355934251836436,0.49355934251836436,0.49512420665766044,0.5000506108344569,0.0,0.31605486426457313,1.298122265113782,1,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260720,blobs_sheet,chirp,0.07,3,20260720,lofo_ridge_with_holdout,2,2,0.49355934251836436,0.49355934251836436,0.49512420665766044,0.5000506108344569,0.0,0.31605486426457313,1.298122265113782,1,1,1
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260721,blobs_sheet,chirp,0.07,3,20260721,fixed_rank3,3,2,0.4944101491461264,0.49296266661534105,0.4944101491461264,0.4999288773969216,0.2936292398612601,0.0,1.1039026750204157,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260721,blobs_sheet,chirp,0.07,3,20260721,train_fixed_rank,8,2,0.49745554628105715,0.49296266661534105,0.4944101491461264,0.4999288773969216,0.9114036356048805,-0.6159657402227984,0.4947365970811461,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260721,blobs_sheet,chirp,0.07,3,20260721,energy95,5,2,0.4955652228064138,0.49296266661534105,0.4944101491461264,0.4999288773969216,0.5279418437376807,-0.23362660784369546,0.8728550775502663,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260721,blobs_sheet,chirp,0.07,3,20260721,support_min,3,2,0.4944101491461264,0.49296266661534105,0.4944101491461264,0.4999288773969216,0.2936292398612601,0.0,1.1039026750204157,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260721,blobs_sheet,chirp,0.07,3,20260721,heldout_min,2,2,0.49296266661534105,0.49296266661534105,0.4944101491461264,0.4999288773969216,0.0,0.29276958276085446,1.393440366525527,1,1,1
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260721,blobs_sheet,chirp,0.07,3,20260721,lofo_ridge_no_holdout,2,2,0.49296266661534105,0.49296266661534105,0.4944101491461264,0.4999288773969216,0.0,0.29276958276085446,1.393440366525527,1,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260721,blobs_sheet,chirp,0.07,3,20260721,lofo_ridge_with_holdout,2,2,0.49296266661534105,0.49296266661534105,0.4944101491461264,0.4999288773969216,0.0,0.29276958276085446,1.393440366525527,1,1,1
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260722,blobs_sheet,chirp,0.07,3,20260722,fixed_rank3,3,2,0.4945801766531576,0.49300688432912554,0.4945801766531576,0.4996105622737725,0.319121775788141,0.0,1.006861343705597,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260722,blobs_sheet,chirp,0.07,3,20260722,train_fixed_rank,8,2,0.497332655701934,0.49300688432912554,0.4945801766531576,0.4996105622737725,0.8774261598164371,-0.5565283807767962,0.4559364320615932,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260722,blobs_sheet,chirp,0.07,3,20260722,energy95,5,2,0.49576975436546483,0.49300688432912554,0.4945801766531576,0.4996105622737725,0.5604120599843856,-0.24052272380885173,0.7687603502256045,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260722,blobs_sheet,chirp,0.07,3,20260722,support_min,3,2,0.4945801766531576,0.49300688432912554,0.4945801766531576,0.4996105622737725,0.319121775788141,0.0,1.006861343705597,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260722,blobs_sheet,chirp,0.07,3,20260722,heldout_min,2,2,0.49300688432912554,0.49300688432912554,0.4945801766531576,0.4996105622737725,0.0,0.3181066282671152,1.3217650793009255,1,1,1
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260722,blobs_sheet,chirp,0.07,3,20260722,lofo_ridge_no_holdout,2,2,0.49300688432912554,0.49300688432912554,0.4945801766531576,0.4996105622737725,0.0,0.3181066282671152,1.3217650793009255,1,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260722,blobs_sheet,chirp,0.07,3,20260722,lofo_ridge_with_holdout,2,2,0.49300688432912554,0.49300688432912554,0.4945801766531576,0.4996105622737725,0.0,0.3181066282671152,1.3217650793009255,1,1,1
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260723,blobs_sheet,chirp,0.07,3,20260723,fixed_rank3,3,2,0.4943189252472595,0.4927239903420541,0.4943189252472595,0.4993249530907092,0.32369743232817744,0.0,1.0025591175553026,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260723,blobs_sheet,chirp,0.07,3,20260723,train_fixed_rank,8,2,0.49689916623134006,0.4927239903420541,0.4943189252472595,0.4993249530907092,0.8473660652039755,-0.5219790002546814,0.48581326535939845,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260723,blobs_sheet,chirp,0.07,3,20260723,energy95,5,2,0.4953079833840888,0.4927239903420541,0.4943189252472595,0.4993249530907092,0.5244301257252842,-0.20008502331416558,0.8044800648852357,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260723,blobs_sheet,chirp,0.07,3,20260723,support_min,3,2,0.4943189252472595,0.4927239903420541,0.4943189252472595,0.4993249530907092,0.32369743232817744,0.0,1.0025591175553026,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260723,blobs_sheet,chirp,0.07,3,20260723,heldout_min,2,2,0.4927239903420541,0.4927239903420541,0.4943189252472595,0.4993249530907092,0.0,0.3226530128103807,1.3219773431676858,1,1,1
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260723,blobs_sheet,chirp,0.07,3,20260723,lofo_ridge_no_holdout,2,2,0.4927239903420541,0.4927239903420541,0.4943189252472595,0.4993249530907092,0.0,0.3226530128103807,1.3219773431676858,1,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260723,blobs_sheet,chirp,0.07,3,20260723,lofo_ridge_with_holdout,2,2,0.4927239903420541,0.4927239903420541,0.4943189252472595,0.4993249530907092,0.0,0.3226530128103807,1.3219773431676858,1,1,1
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260724,blobs_sheet,chirp,0.07,3,20260724,fixed_rank3,3,2,0.49469833015238657,0.49314412897901116,0.49469833015238657,0.49946924137023935,0.3151616499196728,0.0,0.9551962008220475,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260724,blobs_sheet,chirp,0.07,3,20260724,train_fixed_rank,8,2,0.4971459530626414,0.49314412897901116,0.49469833015238657,0.49946924137023935,0.8114917827182455,-0.49477080496632003,0.46515142778754237,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260724,blobs_sheet,chirp,0.07,3,20260724,energy95,5,2,0.4956203135170897,0.49314412897901116,0.49469833015238657,0.49946924137023935,0.5021218732138423,-0.18637284755281977,0.7706035796284161,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260724,blobs_sheet,chirp,0.07,3,20260724,support_min,3,2,0.49469833015238657,0.49314412897901116,0.49469833015238657,0.49946924137023935,0.3151616499196728,0.0,0.9551962008220475,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260724,blobs_sheet,chirp,0.07,3,20260724,heldout_min,2,2,0.49314412897901116,0.49314412897901116,0.49469833015238657,0.49946924137023935,0.0,0.314171501830925,1.266366748403418,1,1,1
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260724,blobs_sheet,chirp,0.07,3,20260724,lofo_ridge_no_holdout,2,2,0.49314412897901116,0.49314412897901116,0.49469833015238657,0.49946924137023935,0.0,0.314171501830925,1.266366748403418,1,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260724,blobs_sheet,chirp,0.07,3,20260724,lofo_ridge_with_holdout,2,2,0.49314412897901116,0.49314412897901116,0.49469833015238657,0.49946924137023935,0.0,0.314171501830925,1.266366748403418,1,1,1
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260725,blobs_sheet,chirp,0.07,3,20260725,fixed_rank3,3,2,0.49441228575948126,0.492860039519272,0.49441228575948126,0.49936879584366123,0.3149466614741507,0.0,0.9925550265503151,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260725,blobs_sheet,chirp,0.07,3,20260725,train_fixed_rank,8,2,0.4971108290546395,0.492860039519272,0.49441228575948126,0.49936879584366123,0.8624739671540493,-0.5458083006589246,0.4521641736149095,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260725,blobs_sheet,chirp,0.07,3,20260725,energy95,5,2,0.49559818879910855,0.492860039519272,0.49441228575948126,0.49936879584366123,0.5555632553415689,-0.23986115915448794,0.7550746213877569,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260725,blobs_sheet,chirp,0.07,3,20260725,support_min,3,2,0.49441228575948126,0.492860039519272,0.49441228575948126,0.49936879584366123,0.3149466614741507,0.0,0.9925550265503151,0,1,0
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260725,blobs_sheet,chirp,0.07,3,20260725,heldout_min,2,2,0.492860039519272,0.492860039519272,0.49441228575948126,0.49936879584366123,0.0,0.3139578616703842,1.30339668368344,1,1,1
f-blobs_sheet_d-chirp_v-3_n-0.07_s-20260725,blobs_sheet,chirp,0.07,3,20260725,lofo_ridge_no_holdout,2,2,0.492860039519272,0.492860039519272,0.49441228575948126,0.49936879584366123,0.0,0.3139578616703842,1.30339668368344,1,1,0
