replicate,sample_index,reaction_family,row_ratio_p05,row_ratio_median,column_ratio_p05,column_ratio_median,global_exact_to_factor_mass_ratio,global_slack_mass
0,0,plume,0.027167979759654612,0.05188026474620352,0.07907306416853983,0.14759806430865785,0.1142198490587121,0.8857801509412879
0,1,wavy_front,0.027167979759654612,0.05188026474620352,0.07822380257686959,0.14832888424845403,0.11361239971856572,0.8863876002814343
0,2,thin_front,0.027167979759654612,0.05188026474620351,0.07802118873874862,0.14861030547010715,0.11352998775740471,0.8864700122425953
0,3,double_front,0.027167979759654605,0.05188026474620352,0.07836742401839317,0.1486620621452035,0.11383969516862279,0.8861603048313772
0,4,annular_kernel,0.02716797975965462,0.05188026474620349,0.07933534638438021,0.14721432705006537,0.11412421710995314,0.8858757828900469
0,5,oblique_shock,0.02716797975965461,0.05188026474620352,0.0789199503266184,0.14928469462295166,0.11422358864997383,0.8857764113500262
0,6,vortex_pair,0.02716797975965461,0.05188026474620352,0.07759194861555375,0.1490674609323643,0.11332193292214325,0.8866780670778568
0,7,multi_plume,0.027167979759654615,0.05188026474620351,0.07910841808698164,0.14792032843797462,0.1141175815481966,0.8858824184518034
8,0,plume,0.027167980504782193,0.05188026479833726,0.0785834980369997,0.14867977216992911,0.11380705510915094,0.8861929448908491
8,1,wavy_front,0.027167980504782193,0.05188026479833727,0.078251371309109,0.14855357932783958,0.11362274047451258,0.8863772595254874
8,2,thin_front,0.027167980504782197,0.051880264798337274,0.07860737023738464,0.14841478193980728,0.11361359226937454,0.8863864077306255
8,3,double_front,0.027167980504782193,0.05188026479833726,0.07860713634914578,0.14858949049665138,0.11374677098165836,0.8862532290183416
8,4,annular_kernel,0.027167980504782203,0.05188026479833725,0.07909505976372598,0.1477054625029375,0.11412645283971921,0.8858735471602808
8,5,oblique_shock,0.0271679805047822,0.05188026479833723,0.08036401020076855,0.14720222316264991,0.11480631421212732,0.8851936857878727
8,6,vortex_pair,0.027167980504782193,0.05188026479833725,0.0777903335101268,0.1490093480531569,0.1133794131306114,0.8866205868693886
8,7,multi_plume,0.02716798050478219,0.05188026479833726,0.07856736424719196,0.14800604908043585,0.11428094704439473,0.8857190529556053
