replicate,sample_index,reaction_family,variant,variant_label,baseline_normalized_data_residual_l2,variant_normalized_data_residual_l2,residual_gain_percent,baseline_field_relative_l2,variant_field_relative_l2,field_gain_percent
0,0,plume,factor_row_hybrid,Factor row,0.6036112904548645,0.5862966179847717,2.868513684865789,0.9309802055358887,0.929696798324585,0.1378554778793561
0,0,plume,exact_abs_view,Exact |A| view,0.6036112904548645,0.17467567324638367,71.06156296136326,0.9309802055358887,0.9123345613479614,2.0027970602440988
0,0,plume,exact_abs_row,Exact |A| row,0.6036112904548645,0.1741594821214676,71.14708010345103,0.9309802055358887,0.9099302291870117,2.2610552000684283
0,1,wavy_front,factor_row_hybrid,Factor row,0.7140464782714844,0.7071296572685242,0.9686793806061448,0.9689673781394958,0.967150866985321,0.1874687626391168
0,1,wavy_front,exact_abs_view,Exact |A| view,0.7140464782714844,0.2941082715988159,58.811046542688175,0.9689673781394958,0.8619487881660461,11.044601953363486
0,1,wavy_front,exact_abs_row,Exact |A| row,0.7140464782714844,0.2937732934951782,58.857959189670005,0.9689673781394958,0.8610008955001831,11.142426987234396
0,2,thin_front,factor_row_hybrid,Factor row,0.5543009042739868,0.5360506176948547,3.292487246261301,0.9239659309387207,0.9143381118774414,1.0420101801262014
0,2,thin_front,exact_abs_view,Exact |A| view,0.5543009042739868,0.16127701103687286,70.90442938242893,0.9239659309387207,0.8879435062408447,3.898674560573712
0,2,thin_front,exact_abs_row,Exact |A| row,0.5543009042739868,0.1613120585680008,70.89810654751062,0.9239659309387207,0.8861206769943237,4.095957727136906
0,3,double_front,factor_row_hybrid,Factor row,0.5846500396728516,0.5779612064361572,1.1440747084250877,0.8766573667526245,0.8742542266845703,0.27412534921779974
0,3,double_front,exact_abs_view,Exact |A| view,0.5846500396728516,0.21900618076324463,62.54063697903923,0.8766573667526245,0.7952529191970825,9.285776934389547
0,3,double_front,exact_abs_row,Exact |A| row,0.5846500396728516,0.219136580824852,62.518333027485525,0.8766573667526245,0.7942394614219666,9.401381709248177
0,4,annular_kernel,factor_row_hybrid,Factor row,0.5390176177024841,0.5128494501113892,4.854788921860202,1.0268880128860474,1.0163146257400513,1.029653381217277
0,4,annular_kernel,exact_abs_view,Exact |A| view,0.5390176177024841,0.1643180251121521,69.51527747598614,1.0268880128860474,0.9889635443687439,3.693145507728495
0,4,annular_kernel,exact_abs_row,Exact |A| row,0.5390176177024841,0.16260653734207153,69.83279729609437,1.0268880128860474,0.9865801334381104,3.9252458829130314
0,5,oblique_shock,factor_row_hybrid,Factor row,0.6714695692062378,0.657081663608551,2.14274871975138,1.013266682624817,1.0141148567199707,-0.08370689668357158
0,5,oblique_shock,exact_abs_view,Exact |A| view,0.6714695692062378,0.28025615215301514,58.26227054722473,1.013266682624817,1.0757240056991577,-6.163957045597141
0,5,oblique_shock,exact_abs_row,Exact |A| row,0.6714695692062378,0.27954480051994324,58.36821006640693,1.013266682624817,1.0754075050354004,-6.132721372976637
0,6,vortex_pair,factor_row_hybrid,Factor row,0.4834441542625427,0.47411733865737915,1.9292436412621272,0.9490175247192383,0.9414012432098389,0.8025438214802882
