method,iterations,opened_row_count,comparison_binding,comparison_role,support_contract,prior_contract,mean_normalized_data_residual_l2,mean_field_relative_l2,mean_gradient_relative_l2,mean_front_top10_f1
exact_abs_row_a_only_pdhg,8,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.8674184791743755,0.9722494147717953,0.9736993052065372,0.20457316818647087
exact_abs_row_a_only_pdhg,16,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.6919263564050198,0.9420653209090233,0.9615122005343437,0.20975609333254397
exact_abs_row_a_only_pdhg,32,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.4874353241175413,0.9180355966091156,0.9980098120868206,0.21920731733553112
exact_abs_row_a_only_pdhg,64,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.327635807916522,0.9114229008555412,1.0744925402104855,0.23353658337146044
exact_abs_row_a_only_pdhg,128,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.22103700507432222,0.9135935492813587,1.1548487767577171,0.2507464103400707
graph_pcgls,4,16,False,nonbinding headroom only,full support,Sobolev graph prior,,0.6287072580307722,0.7737062647938728,0.5827743764966726
graph_pcgls,8,16,False,nonbinding headroom only,full support,Sobolev graph prior,,0.5491067469120026,0.6885586865246296,0.6535061039030552
graph_pcgls,16,16,False,nonbinding headroom only,full support,Sobolev graph prior,,0.46409670263528824,0.5970168206840754,0.7137195058166981
graph_pcgls,32,16,False,nonbinding headroom only,full support,Sobolev graph prior,,0.4212831221520901,0.5457897279411554,0.7447866108268499
graph_pcgls,64,16,False,nonbinding headroom only,full support,Sobolev graph prior,,0.3910712655633688,0.5190386902540922,0.7678353656083345
graph_pcgls,128,16,False,nonbinding headroom only,full support,Sobolev graph prior,,0.42192127741873264,0.5863461513072252,0.7626923527568579
