epoch,learning_rate,val_rel_l2,train_total,train_field,train_gradient,train_projection,train_boundary
1,0.002,0.4965703785419464,0.02882830469752662,0.016627240722300485,0.013013407631660812,0.6996580502018332,0.007229242859466467
2,0.0019945218953682734,0.44593480229377747,0.007597851334139705,0.004616230522515252,0.003440714441239834,0.16971177468076348,0.0011529264229466207
3,0.0019781476007338056,0.42762618511915207,0.006681009923340753,0.004075290460605174,0.0030642772908322513,0.1478482484817505,0.0010141279199160635
4,0.0019510565162951536,0.41505903005599976,0.005956635810434818,0.003723514688317664,0.0028999079222558066,0.12440470699220896,0.0009530810857540928
5,0.0019135454576426007,0.4120994061231613,0.005630216299323365,0.0035923789691878483,0.0027867778298968915,0.11230237316340208,0.0009444147181056906
6,0.001866025403784439,0.3859955817461014,0.005019041680498049,0.003272357367677614,0.0026506048379815184,0.09404966980218887,0.000893336400622502
7,0.0018090169943749477,0.37816333770751953,0.004670164606068283,0.00307471321139019,0.0025459332682657987,0.08486060239374638,0.0008515248337062076
8,0.0017431448254773944,0.37352899461984634,0.004459647389012389,0.0029779230972053483,0.0024558513032388873,0.07804535492323339,0.0008170927867467981
9,0.0016691306063588583,0.3755699321627617,0.004395440351800062,0.002946168569906149,0.0023959452591952868,0.0764014651067555,0.0007868170541769359
10,0.0015877852522924731,0.3610408157110214,0.004310646007070318,0.0029303173068910837,0.002326734691450838,0.07237545819953084,0.000774430747696897
11,0.0015,0.35265694558620453,0.003948216763092205,0.00268708988733124,0.002263319616758963,0.06499309255741537,0.0007316074188565835
12,0.0014067366430758005,0.3575114980340004,0.003794392687268555,0.002581648739578668,0.0021970510751998518,0.06232698727399111,0.0007096530171111226
13,0.0013090169943749477,0.3449678122997284,0.003681659698486328,0.0025174249094561674,0.002153890010959003,0.059462490025907755,0.0006915322301210836
14,0.0012079116908177594,0.3388323113322258,0.0035775055293925107,0.0024573727787355892,0.0020998360669182148,0.0569872569758445,0.0006671788560197456
15,0.0011045284632676539,0.3412250727415085,0.0034779461566358805,0.002403985505225137,0.002056350527709583,0.054291456239297986,0.0006413374121621018
16,0.0010000000000000005,0.3297424800693989,0.003412663849303499,0.0023498015725635923,0.0020139921907684766,0.05390908964909613,0.0006273449071159121
17,0.0008954715367323468,0.326083030551672,0.0031874247433734126,0.002204429496487137,0.001972766618564492,0.048953420598991215,0.000598099493799964
18,0.0007920883091822407,0.3220493122935295,0.003134711121674627,0.002175898051063996,0.0019449886713118758,0.04759223572909832,0.0005765452388004633
19,0.0006909830056250528,0.3196529969573021,0.0030450504564214498,0.002109120672685094,0.001917491103085922,0.046319196466356516,0.0005521478378796019
20,0.0005932633569242001,0.31617575138807297,0.002943494291685056,0.0020324409852037206,0.001882329201180255,0.04496906732674688,0.0005318913172231987
21,0.0005000000000000003,0.31034720316529274,0.0028555339231388643,0.0019854413403663784,0.001860368633060716,0.04243183042854071,0.0005185458103369456
22,0.00041221474770752707,0.3111835941672325,0.002812900158460252,0.0019538314882083796,0.0018456685793353245,0.04183106427080929,0.0005061245119577507
23,0.00033086939364114216,0.30627263337373734,0.002829762095643673,0.0019661662372527644,0.0018314239459868986,0.04226036090403795,0.0004959779089404037
24,0.00025685517452260606,0.3050810620188713,0.002759328875981737,0.00190536912123207,0.0018172251693613362,0.041741311899386346,0.000488654810396838
25,0.00019098300562505274,0.30609843879938126,0.0027046529212384485,0.001880246498330962,0.0018025071767624468,0.03989951149560511,0.00048064674047054723
26,0.00013397459621556135,0.30200057849287987,0.0026805865491041914,0.0018570034080767073,0.001796677472157171,0.03989889437798411,0.00047491993245785125
27,8.645454235739906e-05,0.30265988409519196,0.002650159687618725,0.0018349628153373487,0.0017908273039211053,0.03939198248554021,0.0004708943743025884
28,4.894348370484648e-05,0.30126286670565605,0.002657901815837249,0.0018356306391069666,0.0017873383803816978,0.03989447106141597,0.0004686735755967675
29,2.185239926619432e-05,0.3012210763990879,0.0026362826538388617,0.0018244794082420412,0.0017839961656136438,0.039224548963829875,0.00046777382885920815
30,5.478104631726601e-06,0.3011794723570347,0.0026349784311605617,0.0018234694944112562,0.0017836525839811657,0.03920923254918307,0.0004666058357543079
