epoch,learning_rate,val_rel_l2,train_total,train_field,train_gradient,train_projection,train_boundary
1,0.002,0.49736086279153824,0.012670769152464345,0.009566906577674672,0.003147141200315673,0.17718429304659367,0.0034220591696794145
2,0.0019945218953682734,0.4735954627394676,0.008285787422209978,0.005223383632255718,0.003132989746518433,0.17761640576645732,0.0011099488838226534
3,0.0019781476007338056,0.46347422897815704,0.007827823894331232,0.004809034944628365,0.003109261939243879,0.17474703444167972,0.0012236095026310068
4,0.0019510565162951536,0.44916464388370514,0.007411661819787696,0.004544830837403424,0.0030648377796751447,0.16526054497808218,0.001007113627565559
5,0.0019135454576426007,0.4318883866071701,0.006959407182876021,0.004194315450149588,0.002985203856951557,0.15916669042780995,0.000968351261690259
6,0.001866025403784439,0.42371228337287903,0.0064946869679261,0.003927182347979397,0.0029200768694863655,0.1466841665096581,0.0008416443415626418
7,0.0018090169943749477,0.4143935814499855,0.006312419849564321,0.003828090921160765,0.00286750487430254,0.14160534809343517,0.0008074022189248353
8,0.0017431448254773944,0.40419770032167435,0.005934749628067948,0.0036738772032549605,0.002790516293316614,0.12734159687533975,0.0007943316122691613
9,0.0016691306063588583,0.3865490108728409,0.005273123999359086,0.0033551244414411485,0.002656649550772272,0.10561779839918017,0.0007467402465408668
10,0.0015877852522924731,0.37326665222644806,0.004680581740103662,0.003122360161796678,0.002515991192922229,0.08277352433651686,0.0007349904080911074
11,0.0015,0.3664989545941353,0.004301739885704592,0.002893416902224999,0.00242008953136974,0.0736067877151072,0.000690521326760063
12,0.0014067366430758005,0.35857991501688957,0.004127305262954906,0.0027916491599171422,0.0023432723282894585,0.06941878003999591,0.0006590859047719277
13,0.0013090169943749477,0.3526202291250229,0.003941701565054245,0.002679874647583347,0.0022753378143534064,0.06508876220323145,0.0006227494668564759
14,0.0012079116908177594,0.34566666930913925,0.0037739618637715466,0.0025637373328208923,0.002198298923758557,0.06231190636754036,0.0005875045299035264
15,0.0011045284632676539,0.3410253934562206,0.003622020623879507,0.002453148379572667,0.002126059502188582,0.060175985330715775,0.0005552689035539515
16,0.0010000000000000005,0.331345871090889,0.0034732542117126286,0.0023535365689895116,0.0020445520131033845,0.05760883633047342,0.000511944144818699
17,0.0008954715367323468,0.3238649442791939,0.003278852549556177,0.002199227656092262,0.0019605954130383907,0.05568568012677133,0.00045340958604356274
18,0.0007920883091822407,0.3141012489795685,0.0031173871029750444,0.0020743596178363077,0.0018773181182041299,0.05398621503263712,0.000397806717955973
19,0.0006909830056250528,0.30590083822607994,0.0029324301140150055,0.0019345716864336282,0.0017975995979213621,0.05168905993923545,0.00034052893170155585
20,0.0005932633569242001,0.2956846207380295,0.0027802106487797573,0.0018250964822073001,0.0017266442555410322,0.04946206207387149,0.0002992981908391812
21,0.0005000000000000003,0.2873879186809063,0.00260717543278588,0.0017047349829226732,0.0016627191907900851,0.04652801947668195,0.00024969213063741336
22,0.00041221474770752707,0.2820836380124092,0.002506424192688428,0.0016183684674615506,0.0016108867239381652,0.046025956398807466,0.00021799887144879904
23,0.00033086939364114216,0.2781861796975136,0.0024236697572632693,0.0015743775220471434,0.001578422488819342,0.04373069561552256,0.00019605705711001065
24,0.00025685517452260606,0.2751639001071453,0.0023751701301080175,0.0015314825141103938,0.0015537791296083014,0.043572639231570065,0.00018222735798190115
25,0.00019098300562505274,0.27306367456912994,0.0023135230512707494,0.0014971336822782177,0.0015386714330816176,0.04189144528936595,0.0001688557285888237
26,0.00013397459621556135,0.27224087715148926,0.002303556197148282,0.0014770632442377973,0.0015201033511402784,0.042721944279037416,0.0001625708364372258
27,8.645454235739906e-05,0.27124234288930893,0.0022819253281340934,0.0014671050812467001,0.0015159368394961348,0.041980566224083304,0.00015996949787222547
28,4.894348370484648e-05,0.27087827771902084,0.002290928332513431,0.001458552203985164,0.0015094130149009288,0.04320909536909312,0.0001555086741973355
29,2.185239926619432e-05,0.2707466706633568,0.0022652084298897535,0.0014540693882736377,0.0015075205046741758,0.04181014304049313,0.00015422136129927821
30,5.478104631726601e-06,0.27068792283535004,0.002261103451019153,0.0014525627011607867,0.001506837044871645,0.041642862488515675,0.00015386774157377658
