method,method_label,iterations,sample_count,mean_field_relative_l2,p90_field_relative_l2,mean_gradient_relative_l2,mean_front_top10_f1
graph_pcgls,Graph PCGLS,4,16,0.6287072766572237,0.8447291254997253,0.773706279695034,0.5827743764966726
graph_pcgls,Graph PCGLS,8,16,0.5491118617355824,0.8358580768108368,0.6885628998279572,0.6535061039030552
graph_pcgls,Graph PCGLS,16,16,0.4635407477617264,0.7443302869796753,0.5963113307952881,0.7141768224537373
graph_pcgls,Graph PCGLS,32,16,0.42104191705584526,0.7224100530147552,0.5455076135694981,0.7443296667188406
scalar_a_only_pdhg,Scalar PDHG,4,16,0.9998923651874065,0.9999610483646393,0.9998823367059231,0.3626162325963378
scalar_a_only_pdhg,Scalar PDHG,8,16,0.9996338486671448,0.9998635351657867,0.9996009320020676,0.3626162325963378
scalar_a_only_pdhg,Scalar PDHG,16,16,0.9987578205764294,0.9995122849941254,0.9986536167562008,0.36265243869274855
scalar_a_only_pdhg,Scalar PDHG,32,16,0.9960311129689217,0.9983055293560028,0.9957449547946453,0.3630729904398322
view_block_a_only_pdhg,View-block PDHG,4,16,0.9998566843569279,0.9999399185180664,0.9998437128961086,0.3721036594361067
view_block_a_only_pdhg,View-block PDHG,8,16,0.9995220191776752,0.9997945427894592,0.9994804486632347,0.37088413815945387
view_block_a_only_pdhg,View-block PDHG,16,16,0.9984325058758259,0.9992956519126892,0.9983067810535431,0.36935975309461355
view_block_a_only_pdhg,View-block PDHG,32,16,0.9952412359416485,0.9977101385593414,0.9949198104441166,0.3689024345949292
voxel_factor_a_only_pdhg,Voxel-factor PDHG,4,16,0.9993936419487,0.9998041093349457,0.9992519393563271,0.14039634191431105
voxel_factor_a_only_pdhg,Voxel-factor PDHG,8,16,0.9979980774223804,0.9993474185466766,0.9975534975528717,0.13948170957155526
voxel_factor_a_only_pdhg,Voxel-factor PDHG,16,16,0.9936642944812775,0.99796923995018,0.9925083518028259,0.13841463276185095
voxel_factor_a_only_pdhg,Voxel-factor PDHG,32,16,0.9828757829964161,0.9953049421310425,0.9820606224238873,0.1365640121512115
