replicate,sample_index,reaction_family,factor_gain_vs_scalar_percent,factor_gain_vs_view_block_percent,factor_error_gap_vs_graph_percent,graph_field_relative_l2,scalar_field_relative_l2,view_block_field_relative_l2,voxel_factor_field_relative_l2
0,0,plume,1.4316140862315982,1.3167435062712889,338.6344704310635,0.22374719381332397,0.9956867098808289,0.9945276975631714,0.981432318687439
0,1,wavy_front,0.5631582106849955,0.5170078536476709,300.2717356933711,0.24740245938301086,0.9958905577659607,0.9954285621643066,0.9902821183204651
0,2,thin_front,1.6810188820569716,1.6000746879691967,83.23770334484017,0.5341544151306152,0.9955069422721863,0.9946880340576172,0.9787722826004028
0,3,double_front,3.1500092567555753,3.109167477523434,87.92217863572122,0.5130413174629211,0.9954760074615479,0.9950563907623291,0.9641184210777283
0,4,annular_kernel,0.3942691284129676,0.32279032040404215,-4.414676749104225,1.0395500659942627,0.9975904822349548,0.9968751072883606,0.9936572909355164
0,5,oblique_shock,-0.0027437918726498827,-0.051805527979848776,108.92925126409351,0.47829896211624146,0.9992790222167969,0.9987890124320984,0.9993064403533936
0,6,vortex_pair,2.41651694604354,2.2382292106342296,244.10438449565189,0.28183937072753906,0.9938378930091858,0.9920254349708557,0.9698216319084167
0,7,multi_plume,0.9638989199905877,0.8982857926765656,80.38677449005795,0.5471013188362122,0.9965037107467651,0.9958439469337463,0.9868984222412109
8,0,plume,1.4107609405568318,1.317054383204373,356.297963679847,0.21490813791751862,0.9946536421775818,0.993709146976471,0.9806214570999146
8,1,wavy_front,1.439177447892605,1.3940720070863584,272.0384977876186,0.2635946273803711,0.9949932098388672,0.9945380687713623,0.9806734919548035
8,2,thin_front,2.154082548751158,2.1025254805648137,206.59664717984614,0.3180299699306488,0.9965354204177856,0.9960106015205383,0.9750692248344421
8,3,double_front,1.3804314746488557,1.3369295539101207,342.35199660706377,0.22212062776088715,0.9963083863258362,0.9958691000938416,0.9825550317764282
8,4,annular_kernel,0.6140659045269454,0.5374853392691468,10.370752120910241,0.8977187871932983,0.9969408512115479,0.9961732625961304,0.990818977355957
8,5,oblique_shock,0.2070010567524765,0.15948968077470954,209.58192225918455,0.3220319151878357,0.9990205764770508,0.9985451698303223,0.9969525933265686
8,6,vortex_pair,2.2694584963681104,2.101132482944487,197.2422907505063,0.32666486501693726,0.9935339689254761,0.9918256998062134,0.9709861278533936
8,7,multi_plume,1.0750270762584282,0.9968103460165905,221.0942309064957,0.30646663904190063,0.9947404265403748,0.9939545392990112,0.9840466976165771
