geometry_id,partition,reference_fixed_k6_geometry,field_count,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2,maximum_gap_degrees,gap_cv,first_angular_resultant,operator_condition_nonzero,operator_effective_rank
g_001011111,train,False,40,0.35792282670736314,0.3524133414030075,0.4148336797952652,0.4006575954462207,60.0,0.5091750772172986,0.32826925100406934,17.870129949113693,84.24238405069565
g_010011111,geometry_ood,False,40,0.3555983491241932,0.34446626901626587,0.41436857283115386,0.44233324729039786,60.0,0.5091750772172986,0.32826925100406934,18.67524730840355,84.10998082010771
g_011001111,train,False,40,0.44922651126980784,0.4320486783981323,0.574038690328598,0.5475842316272691,60.0,0.5091750772172986,0.21426253656217967,19.66841878814511,85.07207477508712
g_011010111,validation,False,40,0.3778311677277088,0.3644721210002899,0.4633332431316376,0.40872246348158203,40.0,0.33333333333332227,0.11400671444188944,18.760639334387648,85.56571710074725
g_011011011,train,False,40,0.3581927791237831,0.3488722890615463,0.42176713347435,0.39616795958408496,40.0,0.33333333333332227,1.1255371690773765e-16,18.27872991759168,84.94679546056237
g_011011101,geometry_ood,False,40,0.34328397959470747,0.33530502021312714,0.3956222772598267,0.38844058634932477,40.0,0.33333333333332227,0.11400671444188969,17.826768283778982,85.03881237406759
g_011011110,train,False,40,0.36582632586359976,0.3636431396007538,0.42779363989830016,0.4011353355483651,60.0,0.5091750772172986,0.2142625365621799,17.562367389432733,84.50351184060341
g_100011111,stress,False,40,0.37511063665151595,0.37279219925403595,0.43175858855247495,0.4845446907291473,80.0,0.7453559924999051,0.42201481437299265,34.99058148156499,81.69300038008409
g_101001111,train,False,40,0.43451221734285356,0.4052773118019104,0.5664949893951416,0.5303856378371643,60.0,0.5091750772172986,0.3282692510040693,36.78167975982175,83.39591086962443
g_101010111,train,False,40,0.36970858424901965,0.3476308435201645,0.4638383716344833,0.40241763576504697,40.0,0.33333333333332227,0.22454939255564335,36.22246897283205,83.94078914581281
g_101011011,train,False,40,0.34420974031090734,0.3278186768293381,0.41318441927433014,0.3849409021076542,40.0,0.33333333333332227,0.11400671444188956,34.3889946056109,83.31188511453831
g_101011101,train,True,40,0.3312374159693718,0.3239312916994095,0.3861419528722763,0.378341818741167,40.0,0.33333333333332227,0.1140067144418896,30.56910265494614,83.42225567296482
g_101011110,validation,False,40,0.33321630880236625,0.3282005935907364,0.39273340702056886,0.3822477146520367,40.0,0.33333333333332227,0.2245493925556435,22.516500401286173,83.20134550880974
g_110001111,stress,False,40,0.47785505279898643,0.44672195613384247,0.6407990396022797,0.6383866220049373,80.0,0.7453559924999051,0.42201481437299254,49.57622832913818,82.50863674506834
g_110010111,train,False,40,0.38225652649998665,0.37023934721946716,0.46206898987293243,0.45295619999709197,60.0,0.5091750772172986,0.32826925100406923,52.406394938107574,83.14711503051421
g_110011011,train,False,40,0.3629576824605465,0.35686857998371124,0.4233850985765457,0.44380025507712884,60.0,0.5091750772172986,0.2142625365621797,49.45201517318665,82.60939425298822
g_110011101,train,False,40,0.34958834275603295,0.3424052894115448,0.4060279339551926,0.436384171127213,60.0,0.5091750772172986,0.14656420692863606,45.37295589822684,82.80722283820938
g_110011110,train,False,40,0.35077510625123975,0.34482625126838684,0.4047364443540573,0.4373732842529961,60.0,0.5091750772172986,0.21426253656217978,27.826519328725542,82.76260212852345
g_111000111,stress,False,40,0.5820869535207749,0.5522948801517487,0.7425784945487977,0.6655156802328378,80.0,0.7453559924999051,0.4220148143729926,59.82195845400431,83.1114537618736
g_111001011,train,False,40,0.4492230735719204,0.4212038069963455,0.6047491729259491,0.5347050452828522,60.0,0.5091750772172986,0.3282692510040692,56.045332235622126,83.26277240041
g_111001101,geometry_ood,False,40,0.4332418702542782,0.40363940596580505,0.5634901344776154,0.5252205720541567,60.0,0.5091750772172986,0.2142625365621796,51.45518917185494,83.60567949585356
g_111001110,validation,False,40,0.43256151750683786,0.40490730106830597,0.5646174848079681,0.5245016895051886,60.0,0.5091750772172986,0.14656420692863598,33.728322695831565,83.73332194909771
g_111010011,stress,False,40,0.4108563430607319,0.37708908319473267,0.5518726527690888,0.42155132102363335,60.0,0.5091750772172986,0.32826925100406923,56.04533446858425,83.2627723731785
g_111010101,train,False,40,0.37047024071216583,0.3466874659061432,0.46815099716186526,0.40148198817512465,40.0,0.33333333333332227,0.22454939255564338,50.984423580126,83.927464678476
g_111010110,validation,False,40,0.37150698304176333,0.3517018109560013,0.4634865909814835,0.4029960429919117,40.0,0.33333333333332227,0.11400671444188945,33.331508623684364,84.16394881789103
g_111011001,train,False,40,0.3568777494132519,0.3378819078207016,0.43073882460594176,0.38514167642175473,60.0,0.5091750772172986,0.21426253656217972,49.45201955522627,82.60939431950777
g_111011010,geometry_ood,False,40,0.34472094997763636,0.3304431587457657,0.41509694159030913,0.3842609976046585,40.0,0.33333333333332227,0.11400671444188956,34.38900734817207,83.31188460880206
g_111011100,train,False,40,0.34355737790465357,0.33420418202877045,0.40382885932922363,0.3835496576695564,60.0,0.5091750772172986,0.14656420692863623,32.67780550147642,82.84502008422469
