geometry_schema_version,geometry_id,mask_bits,active_camera_indices,active_angles_degrees,audit_query_index,audit_query_angle_degrees,active_view_count,minimum_gap_degrees,maximum_gap_degrees,mean_gap_degrees,gap_cv,first_angular_resultant,second_angular_resultant,first_angular_mean_cos,first_angular_mean_sin,operator_row_count,operator_nonzero_rank,operator_effective_rank,operator_condition_nonzero,operator_smallest_nonzero_singular,operator_largest_singular,operator_row_coherence,partition,partition_seed,partition_selection_rule,reference_fixed_k6_geometry
1,g_001011111,001011111,"2,4,5,6,7,8","40,80,100,120,140,160",3,60.0,6,20.0,60.0,30.0,0.5091750772172986,0.32826925100406934,0.11400671444188956,-0.21100740718649647,-0.25146883557849625,96,96,84.24238405069565,17.870129949113693,0.2541761551025443,4.542160921648544,0.3520276472662182,train,20261201,seeded_sha256_partition; reference forced into train,False
1,g_010011111,010011111,"1,4,5,6,7,8","20,80,100,120,140,160",3,60.0,6,20.0,60.0,30.0,0.5091750772172986,0.32826925100406934,0.11400671444188967,-0.11227469627782191,-0.30847219279944105,96,96,84.10998082010771,18.67524730840355,0.24283709445986243,4.535042794692084,0.3520276472662182,geometry_ood,20261201,seeded_sha256_partition,False
1,g_011001111,011001111,"1,2,5,6,7,8","20,40,100,120,140,160",3,60.0,6,20.0,60.0,30.0,0.5091750772172986,0.21426253656217967,0.3282692510040695,0.07328210346431788,-0.2013409245183512,96,96,85.07207477508712,19.66841878814511,0.23143601097097138,4.551980386434812,0.29146753771380157,train,20261201,seeded_sha256_partition; reference forced into train,False
1,g_011010111,011010111,"1,2,4,6,7,8","20,40,80,120,140,160",3,60.0,6,20.0,40.0,30.0,0.33333333333332227,0.11400671444188944,0.21426253656217983,0.07328210346431788,-0.08733421007646164,96,96,85.56571710074725,18.760639334387648,0.24157977812065623,4.532191087803024,0.29146753771380157,validation,20261201,seeded_sha256_partition,False
1,g_011011011,011011011,"1,2,4,5,7,8","20,40,80,100,140,160",3,60.0,6,20.0,40.0,30.0,0.33333333333332227,1.1255371690773765e-16,1.864771704713254e-16,-1.1102230246251565e-16,-1.850371707708594e-17,96,96,84.94679546056237,18.27872991759168,0.24363208528791575,4.453285086237473,0.3520276472662182,train,20261201,seeded_sha256_partition; reference forced into train,False
1,g_011011101,011011101,"1,2,4,5,6,8","20,40,80,100,120,160",3,60.0,6,20.0,40.0,30.0,0.33333333333332227,0.11400671444188969,0.2142625365621798,-0.11227469627782184,0.019797058204628272,96,96,85.03881237406759,17.826768283778982,0.2473106017615967,4.408748791725927,0.35202769064333783,geometry_ood,20261201,seeded_sha256_partition,False
1,g_011011110,011011110,"1,2,4,5,6,7","20,40,80,100,120,140",3,60.0,6,20.0,60.0,30.0,0.5091750772172986,0.2142625365621799,0.3282692510040695,-0.21100740718649647,-0.03720629901631648,96,96,84.50351184060341,17.562367389432733,0.2546072031536792,4.47150524178085,0.3520276472662182,train,20261201,seeded_sha256_partition; reference forced into train,False
1,g_100011111,100011111,"0,4,5,6,7,8","0,80,100,120,140,160",3,60.0,6,20.0,80.0,30.0,0.7453559924999051,0.42201481437299265,0.22454939255564332,-0.07328210346431824,-0.4156034610805309,96,95,81.69300038008409,34.99058148156499,0.17308285746914576,6.056269827336244,0.24999999999999173,stress,20261201,largest max-gap then nonzero condition; field errors unused,False
1,g_101001111,101001111,"0,2,5,6,7,8","0,40,100,120,140,160",3,60.0,6,20.0,60.0,30.0,0.5091750772172986,0.3282692510040693,0.11400671444188973,0.11227469627782156,-0.30847219279944116,96,95,83.39591086962443,36.78167975982175,0.16552236280059976,6.088190541620692,0.24999999999999173,train,20261201,seeded_sha256_partition; reference forced into train,False
1,g_101010111,101010111,"0,2,4,6,7,8","0,40,80,120,140,160",3,60.0,6,20.0,40.0,30.0,0.33333333333332227,0.22454939255564335,0.146564206928636,0.11227469627782156,-0.1944654783575515,96,95,83.94078914581281,36.22246897283205,0.16806057522687007,6.087568971711607,0.24999999999999173,train,20261201,seeded_sha256_partition; reference forced into train,False
