protocol,unique_masks,geometry_entropy_bits,shuffle_changed_fraction,mean_ridge_error_range_pct,median_field_best_worst_spread_pct,operator_condition_cv,geometry_conditioning_identifiable,superiority_training_authorized,reason
current_fixed_k6,1,-0.0,0.0,0.0,0.0,0.0,False,False,all 328 development variants share one camera mask
v3h_variable_geometry_development,28,4.807354922057606,1.0,64.94839158755157,71.53332966872922,0.3798824397029112,True,False,functional pilot allowed after dataset builder; no superiority or blind claim
