source_index,sample_seed,family_id,noise_level,best_geometry_id,best_field_rel_l2,worst_geometry_id,worst_field_rel_l2,reference_geometry_id,reference_field_rel_l2,reference_geometry_rank_of_28,best_to_worst_spread_pct,reference_regret_vs_best_pct
190,30360851,1,0.02,g_101011110,0.32369694113731384,g_111000111,0.7316055297851562,g_101011101,0.32378530502319336,2,126.0155833457646,0.02729833824464817
191,30360852,1,0.05,g_101011110,0.40038272738456726,g_111000111,0.7076889276504517,g_101011101,0.4035092294216156,3,76.75311127244247,0.7808783504383117
192,30360853,1,0.02,g_101011110,0.29511600732803345,g_111010011,0.5934406518936157,g_101011101,0.31934642791748047,5,101.08724608522216,8.210473165703892
193,30360854,1,0.05,g_101011110,0.288236528635025,g_111000111,0.7544152736663818,g_101011101,0.2920316755771637,2,161.73479025624508,1.3166779936248298
194,30360855,1,0.02,g_101011110,0.33309999108314514,g_111000111,0.667847752571106,g_101011101,0.3359513282775879,4,100.49467740856211,0.8560003814957973
195,30360856,1,0.05,g_101011110,0.27852657437324524,g_111000111,0.706980288028717,g_101011101,0.2790859639644623,2,153.8286659425809,0.20083885800620632
196,30360857,0,0.02,g_101011101,0.37647581100463867,g_111000111,0.5014870166778564,g_101011101,0.37647581100463867,1,33.205640845633354,0.0
197,30360858,0,0.05,g_101011101,0.27344584465026855,g_111000111,0.5478969216346741,g_101011101,0.27344584465026855,1,100.36761660592026,0.0
198,30360859,0,0.02,g_101011101,0.3343678414821625,g_111000111,0.4397350549697876,g_101011101,0.3343678414821625,1,31.512364652128493,0.0
199,30360860,0,0.05,g_101011101,0.3252736032009125,g_111000111,0.5854392647743225,g_101011101,0.3252736032009125,1,79.98363808572351,0.0
