source_index,sample_seed,family_id,noise_level,best_geometry_id,best_field_rel_l2,worst_geometry_id,worst_field_rel_l2,reference_geometry_id,reference_field_rel_l2,reference_geometry_rank_of_28,best_to_worst_spread_pct,reference_regret_vs_best_pct
160,30360821,0,0.02,g_101011011,0.3600587546825409,g_111000111,0.4528200924396515,g_101011101,0.3609861135482788,2,25.76283357938052,0.2575576495988772
161,30360822,0,0.05,g_101011011,0.4124605357646942,g_111000111,0.5010495781898499,g_101011101,0.4129658043384552,2,21.478186333802437,0.1225010709989509
162,30360823,0,0.02,g_101011101,0.30202966928482056,g_111000111,0.5056652426719666,g_101011101,0.30202966928482056,1,67.42237405638417,0.0
163,30360824,0,0.05,g_101011101,0.31279489398002625,g_111000111,0.43127962946891785,g_101011101,0.31279489398002625,1,37.87937008207006,0.0
164,30360825,0,0.02,g_101011101,0.3234409987926483,g_111000111,0.4844329059123993,g_101011101,0.3234409987926483,1,49.77473719170092,0.0
165,30360826,0,0.05,g_101011011,0.35084056854248047,g_111000111,0.4690021872520447,g_101011101,0.3515441417694092,2,33.679576794700175,0.2005393018970426
166,30360827,1,0.02,g_101011110,0.2895112931728363,g_111000111,0.7471799850463867,g_101011101,0.28971731662750244,2,158.0831914555901,0.07116249332022825
167,30360828,1,0.05,g_101011110,0.36982545256614685,g_111000111,0.7051765322685242,g_101011101,0.37431642413139343,2,90.67820437304536,1.2143489676203898
168,30360829,1,0.02,g_101011110,0.3110152781009674,g_111000111,0.7803287506103516,g_101011101,0.3128379285335541,3,150.89724060292568,0.5860324430715291
169,30360830,1,0.05,g_101011110,0.3229960799217224,g_111000111,0.7609413266181946,g_101011101,0.32644879817962646,2,135.58840924671645,1.0689659944882688
170,30360831,1,0.02,g_101011101,0.3256046772003174,g_111000111,0.6777763962745667,g_101011101,0.3256046772003174,1,108.15929368745088,0.0
171,30360832,1,0.05,g_101011110,0.30271169543266296,g_111000111,0.6164001226425171,g_101011101,0.30522701144218445,2,103.6261340218342,0.8309279249743086
172,30360833,0,0.02,g_111011010,0.3744892477989197,g_111000111,0.4700164496898651,g_101011101,0.3775779604911804,3,25.50866345353212,0.8247800732348303
173,30360834,0,0.05,g_101011101,0.4189728796482086,g_111000111,0.5614622235298157,g_101011101,0.4189728796482086,1,34.00920460553638,0.0
174,30360835,0,0.02,g_101011101,0.3170299530029297,g_111000111,0.48236435651779175,g_101011101,0.3170299530029297,1,52.151035556193236,0.0
175,30360836,0,0.05,g_101011011,0.37675827741622925,g_111000111,0.4825199842453003,g_101011101,0.3788563311100006,4,28.071501853680186,0.5568699666412208
176,30360837,0,0.02,g_101011011,0.28262779116630554,g_111000111,0.41438379883766174,g_101011101,0.2830221951007843,2,46.61820662687816,0.13954888613387872
177,30360838,0,0.05,g_101011101,0.37012776732444763,g_111000111,0.5091751217842102,g_101011101,0.37012776732444763,1,37.56739340701785,0.0
178,30360839,1,0.02,g_101011110,0.2635073959827423,g_111000111,0.7209412455558777,g_101011101,0.268459290266037,2,173.5943114102793,1.8792240213250775
179,30360840,1,0.05,g_111011100,0.3243340253829956,g_111000111,0.720898449420929,g_101011101,0.32536447048187256,3,122.27037344244734,0.31771106890711104
180,30360841,1,0.02,g_101011110,0.39707252383232117,g_111000111,0.7420672178268433,g_101011101,0.3999338448047638,3,86.8845546561515,0.7206041215895668
181,30360842,1,0.05,g_101011110,0.380318284034729,g_111000111,0.6667720079421997,g_101011101,0.38460952043533325,4,75.31947211892653,1.1283276615228701
182,30360843,1,0.02,g_101011110,0.3205907642841339,g_111000111,0.729640543460846,g_101011101,0.32356032729148865,2,127.59250257530893,0.9262784016802189
183,30360844,1,0.05,g_111011100,0.28669649362564087,g_111000111,0.6637350916862488,g_101011101,0.28680309653282166,2,131.51140890882948,0.03718319182501513
184,30360845,0,0.02,g_101011101,0.3036910593509674,g_111000111,0.5094332098960876,g_101011101,0.3036910593509674,1,67.74718721853192,0.0
185,30360846,0,0.05,g_111011010,0.2793378531932831,g_111000111,0.39006921648979187,g_101011101,0.29744940996170044,11,39.64065808850249,6.483745958991293
186,30360847,0,0.02,g_101011011,0.2742922902107239,g_111000111,0.44847962260246277,g_101011101,0.2762676179409027,3,63.5042757699406,0.7201543027892233
187,30360848,0,0.05,g_101011101,0.3240772783756256,g_111000111,0.43475088477134705,g_101011101,0.3240772783756256,1,34.15037516672255,0.0
188,30360849,0,0.02,g_101011011,0.3285270631313324,g_111000111,0.5349853038787842,g_101011101,0.3288904130458832,2,62.84360222228917,0.11059969035318776
189,30360850,0,0.05,g_101011101,0.3236164152622223,g_111000111,0.46994179487228394,g_101011101,0.3236164152622223,1,45.21568520899778,0.0
