field,rmse,relative_rmse,p95_error,max_error
observed PIV,0.010114358358383544,0.12730425255215308,0.023975546455134104,0.07116442175738336
BOST compensated,0.0067126583117748445,0.08448879491304348,0.007199427298030845,0.07583259287665685
