source_split,candidate,comparator,independent_field_count,mean_field_gain_pct,field_cluster_ci95_low_pct,field_cluster_ci95_high_pct,median_field_gain_pct,p10_field_gain_pct,positive_field_fraction,harm_rate_gt_1pct,mean_audit_gain_pct,audit_cluster_ci95_low_pct,audit_cluster_ci95_high_pct
test_family_ood,fno_pbb_strict,fno_geometry,32,4.2877539410137495e-16,-1.5445809468731163e-15,2.420156803604152e-15,0.0,0.0,0.125,0.0,-2.3685549456194677e-15,-5.745719653461943e-15,7.708993661606185e-16
test_family_ood,fno_pbb_wide,fno_geometry,32,14.832149281571748,14.03297205295498,15.674852006270777,14.234458774928155,12.198531951576328,1.0,0.0,18.169485334184532,17.002882593662175,19.313689714091414
test_family_ood,fno_pbb_wide,fno_quadratic,32,11.907985959963025,11.106572267904987,12.748770793798732,11.550198118158796,8.847292225896007,1.0,0.0,14.579574632579707,13.490681744238673,15.668711923964658
test_family_ood,fno_pbb_wide,fno_pbb_strict,32,14.832149281571748,14.045971987775154,15.695417642862116,14.23445877492816,12.198531951576328,1.0,0.0,18.169485334184532,16.992765923740098,19.35735939670133
test_family_ood,ridge_pbb_strict,ridge_geometry,32,-3.013723372578807e-16,-3.047099682324405e-15,2.3916487444047192e-15,0.0,-1.231419056918234e-14,0.15625,0.0,2.283571795655768e-15,-2.0778872464904166e-15,6.671405692587739e-15
test_family_ood,ridge_pbb_wide,ridge_geometry,32,14.477647610208919,13.714340593406565,15.29859634172328,13.971304763842266,12.04875803486602,1.0,0.0,17.87509539834788,16.760698849732666,19.016001825265562
test_family_ood,ridge_pbb_wide,ridge_quadratic,32,11.310864377424515,10.548627280266714,12.095621241182432,10.887642186491767,8.507189410529422,1.0,0.0,13.961580984050734,12.941670432761422,14.990483215829158
test_family_ood,ridge_pbb_wide,ridge_pbb_strict,32,14.477647610208919,13.712355022984916,15.290247762933081,13.971304763842266,12.04875803486602,1.0,0.0,17.87509539834788,16.720013650767466,18.999897207067352
test_family_ood,fno_pbb_wide,ridge_pbb_wide,32,0.09290617048083918,0.01221430774279096,0.17400920989177274,0.02329355743639158,-0.1706324153899185,0.53125,0.0,0.34768456680719656,0.1988792631103391,0.49518974354751416
test_iid,fno_pbb_strict,fno_geometry,32,-3.9998719809109526e-15,-9.620683638879396e-15,1.5802591555177648e-15,0.0,-2.4406217237841645e-14,0.1875,0.0,-9.238633283839639e-15,-1.8357061363288997e-14,-2.1644916680392565e-16
test_iid,fno_pbb_wide,fno_geometry,32,1.7528794568027528,-1.7931629640967122,5.226088056869088,2.7497410425467104,-13.362676014541453,0.625,0.375,9.097832515419707,4.984698567944963,13.092722804694025
test_iid,fno_pbb_wide,fno_quadratic,32,0.7719271069125679,-2.231153186776201,3.7614545931018126,0.9645089737549248,-11.990467294111456,0.59375,0.375,6.9907066906502155,3.526427512520317,10.489735080314183
test_iid,fno_pbb_wide,fno_pbb_strict,32,1.7528794568027568,-1.860763170854734,5.259239230299542,2.7497410425467104,-13.362676014541456,0.625,0.375,9.097832515419716,5.115687078090924,13.102571335939858
test_iid,ridge_pbb_strict,ridge_geometry,32,2.562170323977899e-15,-3.622581660641012e-15,9.112373946092117e-15,0.0,-1.9143086171187462e-14,0.3125,0.0,5.9690687774059485e-15,-3.431086053622634e-15,1.5617078575045035e-14
test_iid,ridge_pbb_wide,ridge_geometry,32,1.5584810857267803,-1.7969909050207118,4.947620938337239,2.3682934625890883,-12.773596168705723,0.59375,0.375,9.127599477225653,5.204756915220431,12.93796684229274
test_iid,ridge_pbb_wide,ridge_quadratic,32,0.5048588704241561,-2.331206086765546,3.3030825203893133,1.0260679468853826,-11.540192563934685,0.5625,0.375,6.882351349871842,3.6528781375809865,10.21062762784
test_iid,ridge_pbb_wide,ridge_pbb_strict,32,1.5584810857267768,-1.8963576158228892,4.889523344990082,2.368293462589107,-12.773596168705737,0.59375,0.375,9.127599477225647,5.340897802836706,13.035359508961909
test_iid,fno_pbb_wide,ridge_pbb_wide,32,-0.20557980141668708,-0.8631840778767164,0.4255647180027808,-0.06092221295537551,-2.5979733382386856,0.5,0.28125,2.1130198446802693,0.5205285623718376,3.85157764872091
test_joint_ood,fno_pbb_strict,fno_geometry,32,1.2085163196716884e-15,-2.509620391946717e-15,5.142846988523436e-15,0.0,-1.2425781908817221e-14,0.1875,0.0,3.0062397127551036e-15,-1.2433142696189298e-15,7.381262185546701e-15
test_joint_ood,fno_pbb_wide,fno_geometry,32,12.285063966094143,11.44377125003976,13.109735244669848,12.517763718700191,8.601670093345074,1.0,0.0,16.37351119056985,15.071278956889572,17.685873405047346
test_joint_ood,fno_pbb_wide,fno_quadratic,32,9.265569455881689,8.537382789026475,10.006656540988542,9.403566759151726,6.228791313629198,1.0,0.0,12.505312146033893,11.421160006553558,13.564516309223475
test_joint_ood,fno_pbb_wide,fno_pbb_strict,32,12.285063966094143,11.427585798976663,13.133239042462467,12.517763718700191,8.601670093345087,1.0,0.0,16.37351119056985,15.090568777167345,17.68837861578954
test_joint_ood,ridge_pbb_strict,ridge_geometry,32,3.8145617464035105e-16,-2.1911802658803366e-15,3.0435932257934348e-15,0.0,-1.1529172873119478e-14,0.15625,0.0,-2.3056838184294305e-15,-5.2658021359166304e-15,2.98233682096525e-16
