source_split,method,method_label,start,bb_mode,bb_variant,iterations,layout_count,step_sample_count,initial_step_fraction,normalized_step_min_bound,normalized_step_max_bound,normalized_step_observed_min,normalized_step_observed_median,normalized_step_observed_max,bb1_step_fraction,bb2_step_fraction,initial_step_fraction_of_steps,fallback_step_fraction,clipped_low_fraction,clipped_high_fraction,objective_transition_count,objective_increase_fraction,maximum_objective_relative_increase,projection_change_median,projection_change_p95,final_objective_forward_is_diagnostic_only,convergence_claimed
test_noise_ood,ridge_pbb_strict,Ridge + projected BB (strict),ridge,strict,bb1,64,128,8192,1.9,0.05,1.9,1.9,1.9,1.9,0.984375,0.0,0.015625,0.0,0.0,0.984375,8192,0.0,-0.00035540785222312835,0.0014484709834246563,0.036378850117830694,True,False
test_noise_ood,ridge_pbb_wide,Ridge + projected BB (wide),ridge,wide,alternating,64,128,8192,1.9,0.05,10.0,1.1379973046086336,4.541094294675921,10.0,0.5,0.484375,0.015625,0.0,0.0,0.3720703125,8192,0.0,-0.00010112580762379918,0.0020431996684139027,0.030947504547657413,True,False
test_family_ood,fno_pbb_strict,FNO + projected BB (strict),fno,strict,bb1,64,128,8192,1.9,0.05,1.9,1.9,1.9000000000000001,1.9000000000000001,0.984375,0.0,0.015625,0.0,0.0,0.99609375,8192,0.0,-0.006105732616362997,0.003368059385130841,0.023214723085647544,True,False
test_family_ood,fno_pbb_wide,FNO + projected BB (wide),fno,wide,alternating,64,128,8192,1.9,0.05,10.0,1.9,4.806201024352921,10.000000000000002,0.5,0.484375,0.015625,0.0,0.0,0.4774169921875,8192,0.0,-0.0017571740302759359,0.0039080269209599856,0.04038696395106666,True,False
test_family_ood,ridge_pbb_strict,Ridge + projected BB (strict),ridge,strict,bb1,64,128,8192,1.9,0.05,1.9,1.9,1.9000000000000001,1.9000000000000001,0.984375,0.0,0.015625,0.0,0.0,0.99609375,8192,0.0,-0.005564995066882928,0.003203809206382178,0.043363512452779154,True,False
test_family_ood,ridge_pbb_wide,Ridge + projected BB (wide),ridge,wide,alternating,64,128,8192,1.9,0.05,10.0,1.9,5.1872161061457795,10.000000000000002,0.5,0.484375,0.015625,0.0,0.0,0.45654296875,8192,0.0,-0.0018400641190928452,0.003847935943888863,0.045964892529393495,True,False
test_joint_ood,fno_pbb_strict,FNO + projected BB (strict),fno,strict,bb1,64,128,8192,1.9,0.05,1.9,1.9,1.9000000000000001,1.9000000000000001,0.984375,0.0,0.015625,0.0,0.0,0.99609375,8192,0.0,-0.0016411578622851344,0.0034546798934560847,0.023762371202957742,True,False
test_joint_ood,fno_pbb_wide,FNO + projected BB (wide),fno,wide,alternating,64,128,8192,1.9,0.05,10.0,1.9,4.974736599341542,10.000000000000002,0.5,0.484375,0.015625,0.0,0.0,0.478759765625,8192,0.0,-0.0004832465240207905,0.004073681655676429,0.04042649869241013,True,False
test_joint_ood,ridge_pbb_strict,Ridge + projected BB (strict),ridge,strict,bb1,64,128,8192,1.9,0.05,1.9,1.9,1.9000000000000001,1.9000000000000001,0.984375,0.0,0.015625,0.0,0.0,0.99609375,8192,0.0,-0.00147355043234074,0.0032864455113639007,0.043223457653243605,True,False
test_joint_ood,ridge_pbb_wide,Ridge + projected BB (wide),ridge,wide,alternating,64,128,8192,1.9,0.05,10.0,1.9,5.368628818896404,10.000000000000002,0.5,0.484375,0.015625,0.0,0.0,0.458740234375,8192,0.0,-0.000426120430108429,0.0040327611390280635,0.046381265363132515,True,False
