experiment,metric,cell_count,mean_relative_regret,cell_std,normal_style_ci95,p95_relative_regret,max_relative_regret,oracle_or_better_fraction
absolute_reference,field_rel_l2,15,0.038301924899362766,0.048524334952417335,0.02687188101335967,0.12312735321701083,0.12312789170696647,0.4666666666666667
absolute_reference,heldout_reprojection_rel_l2,15,0.03746312236072182,0.04498646542096174,0.024912674170374818,0.10773665417336446,0.13067193999240162,0.4666666666666667
fixed_view_gate,field_rel_l2,15,0.06642486001916241,0.09387898518583013,0.051988449136754405,0.23156269901685664,0.2884166164158266,0.3333333333333333
fixed_view_gate,heldout_reprojection_rel_l2,15,0.08303015868646829,0.1013465149075127,0.05612382925770925,0.23307883428787454,0.2519429014856146,0.2
learned_metadata_gate,field_rel_l2,15,0.03076680752732622,0.030636067151814314,0.016965688494816545,0.07987967395187179,0.09975445069485638,0.13333333333333333
learned_metadata_gate,heldout_reprojection_rel_l2,15,0.019978266228618764,0.02035562968383408,0.011272571985837221,0.05483120070849254,0.056936037501652076,0.13333333333333333
learned_observable_gate,field_rel_l2,15,0.09020720842770594,0.12293664033658806,0.06808004220040147,0.3053569577639868,0.3625669720934868,0.2
learned_observable_gate,heldout_reprojection_rel_l2,15,0.08948770078443813,0.1440890754659731,0.07979387033420317,0.40417514366310536,0.4185149923276825,0.2
quality_channel_residual,field_rel_l2,15,0.13586486327878652,0.17154236191030084,0.09499699362236487,0.4257447773607238,0.4785872241882515,0.2
quality_channel_residual,heldout_reprojection_rel_l2,15,0.09690168380772891,0.15071499119849124,0.08346318016283598,0.4178036557964299,0.4417307800725261,0.26666666666666666
residual_reference,field_rel_l2,15,0.03096602601828287,0.03921937091102704,0.021718963682312895,0.09616841799616614,0.0966151614264299,0.5333333333333333
residual_reference,heldout_reprojection_rel_l2,15,0.016466671606730862,0.02071570884057514,0.011471977176342664,0.05385590960395626,0.05688503814066697,0.5333333333333333
