experiment,split,seed_count,parameters_mean,train_seconds_mean,field_rel_l2_mean,field_rel_l2_seed_std,field_rel_l2_seed_ci95_t,gradient_rel_l2_mean,gradient_rel_l2_seed_std,gradient_rel_l2_seed_ci95_t,observed_reprojection_rel_l2_mean,observed_reprojection_rel_l2_seed_std,observed_reprojection_rel_l2_seed_ci95_t,heldout_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_seed_std,heldout_reprojection_rel_l2_seed_ci95_t,mass_relative_error_mean,mass_relative_error_seed_std,mass_relative_error_seed_ci95_t,centroid_error_mean,centroid_error_seed_std,centroid_error_seed_ci95_t,gate_alpha_mean,gate_alpha_seed_std,gate_alpha_seed_ci95_t
absolute_reference,test_iid,3,43363.0,5.857437027657094,0.23668156117200853,0.0032283943763018823,0.008019776218574191,0.39677574137846633,0.005850478840599691,0.014533395119731039,0.20167216509580613,0.010702759693635782,0.026587128974762054,0.2676553502678871,0.0012822406824847868,0.00318526243490094,0.14069256914081052,0.004422404686094687,0.010985862257349193,0.03600929027549227,0.006995924088426335,0.01737883885660241,nan,nan,nan
absolute_reference,test_view_ood,3,43363.0,5.857437027657094,0.4573741902907689,0.0206411353194883,0.05127542266048258,0.666361665353179,0.010863092124936009,0.026985416813771566,0.4807226217041413,0.02183071963435975,0.05423051391836144,0.5066500883549452,0.009432209695513043,0.023430907809761047,0.2263446161232423,0.09116477813505756,0.22646586334864843,0.03704218407659568,0.003978101492734268,0.009882151939271477,nan,nan,nan
absolute_reference,test_noise_ood,3,43363.0,5.857437027657094,0.2767989756539464,0.005796734283458008,0.014399886238534066,0.451289111127456,0.00522463022332582,0.012978700967714219,0.23160555958747864,0.01246076719607622,0.03095426170911436,0.3205831839392583,0.009232817696647534,0.022935590625957958,0.09957467097168167,0.015555447133557207,0.03864187284760803,0.03323256226990047,0.006512149803925313,0.016177076912498388,nan,nan,nan
absolute_reference,test_joint_ood,3,43363.0,5.857437027657094,0.4544823660204808,0.01685304059325488,0.0418652736953636,0.6536684222519398,0.01822085300873333,0.04526310809925393,0.4483102218558391,0.04872106057699503,0.12102982393578565,0.5016691094885269,0.008398394892137714,0.020862769469730643,0.19071013332965472,0.07178110464284054,0.1783141490343769,0.06512892871120667,0.011485584359045165,0.028531773247793837,nan,nan,nan
absolute_reference,test_family_ood,3,43363.0,5.857437027657094,0.6696833709875744,0.0034539378021556403,0.008580057148374877,0.8798525581757227,0.002688721220499088,0.00667915378022516,0.5151478568712871,0.0027004596449262787,0.006708313643021275,0.6737709234158199,0.017945143243783754,0.04457820707464487,0.14832958257369075,0.022609556135507986,0.05616525104215144,0.028617637711893972,0.0048051423933765615,0.011936635429716956,nan,nan,nan
fixed_view_gate,test_iid,3,43363.0,5.913654833023126,0.21868021289507547,0.011431904222501689,0.02839842439623428,0.3731652143100898,0.011780700518683395,0.029264882429298093,0.18387655404706796,0.009502549346216258,0.02360564118870425,0.250716994702816,0.00830083970932643,0.020620428961132434,0.11169823378634951,0.020158258936560227,0.05007589122753736,0.032220335081986066,0.003315255710175398,0.00823555173374233,0.9999998807907104,0.0,0.0
fixed_view_gate,test_view_ood,3,43363.0,5.913654833023126,0.5184859031190475,0.01009367331080066,0.02507407452144773,0.6872929458816847,0.01546100997594122,0.038407277942983646,0.4915541857481003,0.01899463023090035,0.04718527727733243,0.6045817670722803,0.01286209614541948,0.03195121808699509,0.15511971161079904,0.05201032715799859,0.12920081509365666,0.06106981191591385,0.005244837178936319,0.013028897828185924,0.5999999642372131,0.0,0.0
fixed_view_gate,test_noise_ood,3,43363.0,5.913654833023126,0.25230175520603854,0.010905719479321369,0.027091309032352386,0.43322993411372107,0.009616299192439628,0.023888211471413526,0.20573672279715538,0.01094931378330574,0.02719960328689747,0.29156164173036814,0.010412153630950228,0.02586522349518159,0.09029709859169088,0.016110786155259234,0.04002141145422457,0.03916214951843227,0.014533511803385898,0.036103244754959456,0.9999998807907104,0.0,0.0
fixed_view_gate,test_joint_ood,3,43363.0,5.913654833023126,0.540462538599968,0.017760362931155176,0.0441191873316552,0.7040517721325159,0.007823320364341094,0.019434205148164043,0.515556542823712,0.047171552136440364,0.11718063158392836,0.6037756750981013,0.015187900257158356,0.037728835791109604,0.15520011083814703,0.06156767869734465,0.1529425924770013,0.08949475600774008,0.007466949951962979,0.018548931967423552,0.5999999642372131,0.0,0.0
fixed_view_gate,test_family_ood,3,43363.0,5.913654833023126,0.6665663013855617,0.011139531931750176,0.02767213136290762,0.8784648805856704,0.00974161000729812,0.024199500792293667,0.5100818862517675,0.01037756285633771,0.025779295247487982,0.672657835483551,0.021302408481307177,0.052918116259525236,0.18872466515749695,0.04168737480024881,0.10355717984516846,0.027524472654697537,0.0027588133013791588,0.006853272161634397,0.9999998807907104,0.0,0.0
