challenger,baseline,split,seed_count,field_rel_l2_delta_mean,field_rel_l2_delta_seed_std,field_rel_l2_delta_ci95_t,field_rel_l2_better_seed_fraction,gradient_rel_l2_delta_mean,gradient_rel_l2_delta_seed_std,gradient_rel_l2_delta_ci95_t,gradient_rel_l2_better_seed_fraction,observed_reprojection_rel_l2_delta_mean,observed_reprojection_rel_l2_delta_seed_std,observed_reprojection_rel_l2_delta_ci95_t,observed_reprojection_rel_l2_better_seed_fraction,heldout_reprojection_rel_l2_delta_mean,heldout_reprojection_rel_l2_delta_seed_std,heldout_reprojection_rel_l2_delta_ci95_t,heldout_reprojection_rel_l2_better_seed_fraction,mass_relative_error_delta_mean,mass_relative_error_delta_seed_std,mass_relative_error_delta_ci95_t,mass_relative_error_better_seed_fraction,centroid_error_delta_mean,centroid_error_delta_seed_std,centroid_error_delta_ci95_t,centroid_error_better_seed_fraction
absolute_reference,residual_reference,test_iid,3,0.018001355230808258,0.008298909233477484,0.020615633393274442,0.0,0.023610524584849673,0.006195798117570267,0.015391215758248006,0.0,0.01779561477402845,0.0048102314345154626,0.011949277308726748,0.0,0.01693836438159148,0.007423149487399719,0.018440125581609776,0.0,0.028994340600911522,0.01845412599097885,0.04584259031158249,0.0,0.0037889527851377794,0.006776507952199533,0.016833778958034864,0.3333333333333333
absolute_reference,residual_reference,test_view_ood,3,-0.03018335998058319,0.010545396877428294,0.026196218068593798,1.0,-0.045382183666030564,0.015210869829858396,0.03778589537287657,1.0,-0.042633327965935074,0.02553618415695884,0.06343539807850276,1.0,-0.013751522327462832,0.004710618134731093,0.011701824154140505,1.0,0.012336665657736981,0.12106062231126,0.30073125729136435,0.3333333333333333,-0.002262251510403481,0.012184596454296415,0.030268215554577083,0.3333333333333333
absolute_reference,residual_reference,test_noise_ood,3,0.024497222000112135,0.005175532268667273,0.012856734886977115,0.0,0.018059172046681244,0.00978683012322029,0.02431183378758565,0.0,0.025868842688699562,0.006410018023724766,0.015923367505734014,0.0,0.02902155478174488,0.008196473125276446,0.020361167993847306,0.0,0.009277572185965255,0.028972960662375622,0.0719728242024661,0.3333333333333333,-0.005929594690740431,0.010820457014736646,0.0268795053286807,0.6666666666666666
absolute_reference,residual_reference,test_joint_ood,3,-0.037689315155148506,0.005668374505387209,0.01408102287315649,1.0,-0.05475372448563576,0.017090077672629187,0.042454106443320476,1.0,-0.05753173865377903,0.058038534707778124,0.14417571280232205,1.0,-0.018856247266133625,0.009192636556237853,0.022835775139765136,1.0,-0.06791310786502436,0.13702804356200188,0.3403965305797359,0.6666666666666666,0.0016638462386496106,0.012706543267015454,0.031564803315580335,0.3333333333333333
absolute_reference,residual_reference,test_family_ood,3,0.0031170686086019104,0.011997051201515367,0.029802327319483932,0.3333333333333333,0.0013876746098200703,0.010721708966863667,0.026634201578997707,0.3333333333333333,0.005065961678822857,0.008216466020592391,0.02041083309906872,0.3333333333333333,0.0011131028334299502,0.03098383908860619,0.07696812313481062,0.3333333333333333,-0.04039510729489849,0.019396045658246326,0.04818244847848096,1.0,0.0010931747329480425,0.006986009775058505,0.017354210336879273,0.3333333333333333
fixed_view_gate,residual_reference,test_iid,3,6.953875216394086e-09,1.4762368650963539e-08,3.667175668061937e-08,0.3333333333333333,-2.483526865641276e-09,1.9773303755326783e-08,4.911960954450168e-08,0.6666666666666666,3.7252902892100557e-09,4.532011252043911e-09,1.1258140061279109e-08,0.0,8.816520374876902e-09,1.2863494481067392e-08,3.195469174531175e-08,0.3333333333333333,5.246450500891638e-09,2.980717258849562e-09,7.404512150773267e-09,0.0,-2.4083684213582757e-09,7.133006991394854e-09,1.7719371665502716e-08,0.6666666666666666
fixed_view_gate,residual_reference,test_view_ood,3,0.03092835284769535,0.019923334997153545,0.04949230781026428,0.0,-0.02445090313752492,0.01578308536704838,0.03920735756805968,1.0,-0.03180176392197609,0.05563941451183514,0.13821596784855825,0.6666666666666666,0.08418015638987224,0.011399229447996182,0.028317255756662215,0.0,-0.05888823885470629,0.1091985389646103,0.2712642087100263,0.6666666666666666,0.021765376328914694,0.009076583109032595,0.022547482394983925,0.0
fixed_view_gate,residual_reference,test_noise_ood,3,1.5522042910257976e-09,2.702975589911173e-08,6.71456359683894e-08,0.6666666666666666,-4.967053731282552e-09,1.7281827404743408e-08,4.293043918408343e-08,0.6666666666666666,5.89837630589803e-09,1.4438003244789298e-08,3.586598834275473e-08,0.3333333333333333,1.257285475730896e-08,2.3684725120718628e-08,5.883611886481753e-08,0.3333333333333333,-1.940255363782247e-10,4.642977166713164e-08,1.1533794674627871e-07,0.3333333333333333,-7.442208634078629e-09,1.3931391416560887e-08,3.4607494795033746e-08,0.6666666666666666
fixed_view_gate,residual_reference,test_joint_ood,3,0.04829085742433866,0.03710388636468816,0.09217116337102071,0.0,-0.004370374605059624,0.030765895826859766,0.07642672205928444,0.6666666666666666,0.009714582314093908,0.08929471559441114,0.22182037046809702,0.3333333333333333,0.0832503183434407,0.020571531620002532,0.05110251748571266,0.0,-0.10342313035653206,0.16497142085260613,0.4098117279009937,0.6666666666666666,0.026029673535183026,0.005801177376190845,0.01441092349274851,0.0
fixed_view_gate,residual_reference,test_family_ood,3,-9.93410761059484e-10,1.641383932516547e-08,4.0774237262254124e-08,0.3333333333333333,-2.9802322091635838e-09,2.9802322276673014e-09,7.403307266522039e-09,0.6666666666666666,-8.940696738513054e-09,1.043081288010228e-08,2.5911575639673148e-08,0.6666666666666666,1.4901161193847656e-08,3.024605388147896e-08,7.513536307861432e-08,0.3333333333333333,-2.4711092311280325e-08,2.738109487322324e-08,6.801841036358748e-08,0.6666666666666666,9.67575160733721e-09,5.132524704176177e-09,1.2749898174134248e-08,0.0
