replicate,sample_index,reaction_family,method,iterations,forward_calls,adjoint_calls,field_relative_l2,gradient_relative_l2,front_top10_f1,whitened_data_objective,objective_unit,objective_scale_to_physical,physical_equivalent_whitened_objective,trajectory_elapsed_seconds,source
8,0,plume,graph_pcgls,8,8,8,0.4307047724723816,0.5562418103218079,0.795121967792511,6010.30859375,graph_whitened_physical_field,1.0,6010.30859375,,single_sample_graph_replay
8,0,plume,graph_pcgls,16,16,16,0.29967865347862244,0.404021680355072,0.8414633870124817,2783.500244140625,graph_whitened_physical_field,1.0,2783.500244140625,,single_sample_graph_replay
8,0,plume,graph_pcgls,32,32,32,0.21490813791751862,0.3101334869861603,0.8682926893234253,2203.750732421875,graph_whitened_physical_field,1.0,2203.750732421875,,single_sample_graph_replay
8,1,wavy_front,graph_pcgls,4,4,4,0.41500577330589294,0.6222610473632812,0.6000000238418579,6197.666015625,graph_whitened_physical_field,1.0,6197.666015625,,single_sample_graph_replay
8,1,wavy_front,graph_pcgls,8,8,8,0.34445735812187195,0.5299416184425354,0.7146341800689697,2974.8818359375,graph_whitened_physical_field,1.0,2974.8818359375,,single_sample_graph_replay
8,1,wavy_front,graph_pcgls,16,16,16,0.3037880063056946,0.47636696696281433,0.7341463565826416,2360.51171875,graph_whitened_physical_field,1.0,2360.51171875,,single_sample_graph_replay
8,1,wavy_front,graph_pcgls,32,32,32,0.2635946273803711,0.42232757806777954,0.7634146213531494,2160.329833984375,graph_whitened_physical_field,1.0,2160.329833984375,,single_sample_graph_replay
8,2,thin_front,graph_pcgls,4,4,4,0.44160816073417664,0.7555962204933167,0.5682926774024963,25692.728515625,graph_whitened_physical_field,1.0,25692.728515625,,single_sample_graph_replay
8,2,thin_front,graph_pcgls,8,8,8,0.4675915837287903,0.8010571599006653,0.504878044128418,7724.23193359375,graph_whitened_physical_field,1.0,7724.23193359375,,single_sample_graph_replay
8,2,thin_front,graph_pcgls,16,16,16,0.3706776201725006,0.6488264799118042,0.704878032207489,4586.83447265625,graph_whitened_physical_field,1.0,4586.83447265625,,single_sample_graph_replay
8,2,thin_front,graph_pcgls,32,32,32,0.3180299699306488,0.5753494501113892,0.7634146213531494,2898.234375,graph_whitened_physical_field,1.0,2898.234375,,single_sample_graph_replay
8,3,double_front,graph_pcgls,4,4,4,0.49298742413520813,0.7059420943260193,0.6560975313186646,9507.673828125,graph_whitened_physical_field,1.0,9507.673828125,,single_sample_graph_replay
8,3,double_front,graph_pcgls,8,8,8,0.3113996684551239,0.5010057091712952,0.8097560405731201,3563.021484375,graph_whitened_physical_field,1.0,3563.021484375,,single_sample_graph_replay
8,3,double_front,graph_pcgls,16,16,16,0.2706659436225891,0.4469829201698303,0.8341463208198547,2660.16357421875,graph_whitened_physical_field,1.0,2660.16357421875,,single_sample_graph_replay
