base_seed,trial,amplitude_multiplier,noise_multiplier,replicate_count,numerical_success_count,numerical_failure_count,one_step_q_relative_l2_median,one_step_q_relative_l2_p90,one_step_q_relative_l2_max,iterative_q_relative_l2_median,iterative_q_relative_l2_p90,iterative_q_relative_l2_max,paired_q_improvement_fraction,median_q_reduction_fraction,one_step_field_relative_l2_median,iterative_field_relative_l2_median,one_step_sequence_relative_l2_median,iterative_sequence_relative_l2_median,objective_monotone_fraction_all,trust_hit_fraction_all,one_step_boundary_hit_fraction,iterative_local_boundary_hit_fraction,one_step_wall_seconds_median,iterative_wall_seconds_median
709,0,0.5,0.0078125,16,16,0,0.13904191843161764,0.22159167303282135,0.2721515761482422,0.1278354327915164,0.20903710320624352,0.27249557977622196,0.6875,0.08059789282620343,0.02013683025836922,0.019859115380342587,0.012913118061219194,0.012734946026555786,1.0,0.5,0.0,0.0,0.007184166461229324,0.028204604517668486
709,0,0.5,0.015625,16,16,0,0.2638702198029839,0.3554550128722358,0.41946404591989517,0.26416172481499156,0.34884169287824707,0.3971834636901512,0.75,-0.001104728726967718,0.0378603208161824,0.037289790086412825,0.02414236585777475,0.023779622991499102,1.0,0.5625,0.0,0.0,0.007082104042638093,0.03654262505006045
709,0,1.0,0.0078125,16,16,0,0.06978092331422273,0.11392280008254163,0.13705735794289348,0.07174879617984198,0.11240501663216668,0.13326721406804706,0.625,-0.028200728396182758,0.017838186492925658,0.017484775064491975,0.011818359100557538,0.011581835234373481,1.0,1.0,0.0,0.0,0.0070485209580510855,0.036471312516368926
709,0,1.0,0.015625,16,16,0,0.09607643615410287,0.24278453913002757,0.30916381526833286,0.09893595003803968,0.23750124646490034,0.3041340291100778,0.4375,-0.02976290543656571,0.036206371169883816,0.03583472563060526,0.02328260223287241,0.023046833600660902,1.0,1.0,0.0,0.0,0.006995271018240601,0.03682416654191911
709,0,2.0,0.0078125,16,16,0,0.02925057050411367,0.04230732889347208,0.05406932745207183,0.021080320589081054,0.034060760329266936,0.048108549125684644,0.8125,0.27931933545992166,0.022288704520177706,0.02210820343745032,0.01436365431165416,0.014269435066960354,1.0,1.0,0.0,0.0,0.007313854002859443,0.046720875485334545
709,0,2.0,0.015625,16,16,0,0.06086154555671185,0.10342303281173189,0.11879313733083216,0.06280382129093601,0.09903939481336145,0.11538130452645229,0.6875,-0.03191302022414642,0.03863117840138476,0.03832367784419862,0.024849305505228625,0.024651169416740504,1.0,1.0,0.0,0.0,0.0068701039417646825,0.04570141644217074
709,1,0.5,0.0078125,16,16,0,0.14707683150165432,0.17310113799876756,0.2526245448553507,0.14184628100946914,0.1641650665298082,0.24065257082716415,0.8125,0.03556338846017599,0.0199035435940237,0.019819743514647777,0.012766313979486512,0.012709437243260941,1.0,0.6875,0.0,0.0,0.007102187490090728,0.03604095842456445
709,1,0.5,0.015625,16,16,0,0.3016465286487656,0.38211584335087156,0.5764752101613929,0.3062504548542661,0.3741008568198317,0.5785543751258196,0.6875,-0.015262652701902147,0.0372247912383401,0.03671985011747843,0.023860372878050866,0.023470262968566878,1.0,0.4375,0.0,0.0,0.006862249982077628,0.036116520466748625
709,1,1.0,0.0078125,16,16,0,0.07095200434032994,0.11279292430277826,0.1590342376046559,0.06827742639402443,0.11109436770112127,0.14298186250561473,0.625,0.037695593960624114,0.01916534607456879,0.019114841403439192,0.012440711658634692,0.012363860892176401,1.0,1.0,0.0,0.0,0.006931813026312739,0.037122562527656555
709,1,1.0,0.015625,16,16,0,0.09903635303733907,0.16280132685850615,0.21737930488119145,0.0952529983107146,0.1625884154663147,0.20344488216221637,0.5,0.03820167656212115,0.03651901696658909,0.03594893633423543,0.023287642169459874,0.023124774000487874,1.0,1.0,0.0,0.0,0.007062521006446332,0.036646396038122475
709,1,2.0,0.0078125,16,16,0,0.048587064087533625,0.058842985591808894,0.059965710232391514,0.034073732314115264,0.05180003635814512,0.05786788090793198,0.9375,0.2987077331380095,0.023122918458205122,0.022123403606767213,0.014622543946164466,0.014272592118902583,1.0,1.0,0.0,0.0,0.007046749989967793,0.046080750005785376
709,1,2.0,0.015625,16,16,0,0.07486886698082118,0.10999222422330893,0.11377068046357985,0.0586614608539902,0.09285668669788719,0.09940276899154281,0.8125,0.2164772458889055,0.04007898651435676,0.03919896469807881,0.025484141340180795,0.025050713463760643,1.0,1.0,0.0,0.0,0.0070656040334142745,0.04640495800413191
