method,base_seed,trial,amplitude_multiplier,q_true_norm,noise_multiplier,replicate_count,valid_count,numerical_failure_count,coverage_count,coverage_fraction,coverage_cp95_lower,coverage_cp95_upper,coverage_cell_passed,qref_error_mean,qref_error_median,qref_error_p90,qref_error_p95,qref_error_max,relative_l2_median,relative_l2_p90,bias_norm_over_qref,nis_pass_fraction_diagnostic,authorization_fraction,false_accept_fraction_all,authorized_qref_error_p90,field_relative_l2_median,sequence_relative_l2_median,bias_yaw,bias_pitch,bias_roll,bias_shift_u,bias_shift_v
teacher_linear,709,0,0.0,0.0,0.0078125,500,500,0,474,0.948,0.9247336289693778,0.9657543019172321,True,0.06453851577591793,0.05782223516961975,0.1042119337083198,0.13067197858219903,0.17302893977382283,,,0.0016554391819225789,0.988,0.008,0.0,0.15236832099249908,,,5.0355016470523115e-05,-1.027903866655842e-05,-3.168746522887762e-05,-2.673136093490307e-05,4.981845677311525e-06
one_step_plugin,709,0,0.0,0.0,0.0078125,500,500,0,474,0.948,0.9247336289693778,0.9657543019172321,True,0.06453679947129422,0.05795088969678616,0.10409759408422356,0.13043694080333654,0.17285044852460568,,,0.0016456644210275737,0.988,0.008,0.0,0.1524710150553902,0.020551449029251045,0.01321848714872281,5.04035712731221e-05,-1.0236868285635166e-05,-3.0992008020759916e-05,-2.650530085385799e-05,4.978876853580259e-06
teacher_linear,709,0,0.0,0.0,0.015625,500,500,0,473,0.946,0.9224025315050628,0.9641157402780663,True,0.13276497377404683,0.12136841971111426,0.2185450161299945,0.2598581255390967,0.41423336927963267,,,0.0023412731343751677,0.994,0.0,0.0,,,,-4.649703801549605e-05,3.403033757477458e-05,6.711779522288125e-05,2.8523023457380377e-05,1.1493306799898088e-05
one_step_plugin,709,0,0.0,0.0,0.015625,500,500,0,473,0.946,0.9224025315050628,0.9641157402780663,True,0.13274787240075672,0.12143654113079994,0.21865163952697494,0.2600331687905751,0.4148050186818048,,,0.0022987793187101585,0.994,0.0,0.0,,0.037640305374942756,0.024146147779022527,-4.6084735173361764e-05,3.374992655705324e-05,6.523890248972357e-05,2.8348932799102432e-05,1.1505712593759988e-05
teacher_linear,709,0,0.0,0.0,0.03125,500,500,0,478,0.956,0.9341389996764051,0.9722232327144282,True,0.2636749887757193,0.23768953824683026,0.438099428280925,0.4905101248911691,0.6591938927470834,,,0.01961493443271875,0.988,0.0,0.0,,,,-0.0002728933833851335,-0.00027422591392857796,0.0004146179861115762,0.0005422157341209824,4.051811797776559e-06
one_step_plugin,709,0,0.0,0.0,0.03125,500,500,0,478,0.956,0.9341389996764051,0.9722232327144282,True,0.26382108602768506,0.23787429228102727,0.4379553182398313,0.48799798384721366,0.6631801666598071,,,0.019503713738961474,0.988,0.0,0.0,,0.07417887098652666,0.0477318938788779,-0.00027312820641978305,-0.0002758763138042871,0.00040694729194071277,0.0005406484642550787,4.259272072004502e-06
teacher_linear,709,0,0.0,0.0,0.0625,500,500,0,477,0.954,0.9317745721187621,0.9706198246075972,True,0.5227613371162131,0.48057334891700443,0.8535367571865202,0.9565707946411263,1.884317412993938,,,0.01622654783306219,0.992,0.0,0.0,,,,0.0004880214244924949,-0.0002099253869352354,0.00035640442928745926,-7.6161739329708225e-06,0.00010938768285853541
one_step_plugin,709,0,0.0,0.0,0.0625,500,500,0,474,0.948,0.9247336289693778,0.9657543019172321,True,0.5225941094667232,0.4885221366130992,0.8626451999661363,0.9552481903845966,1.8821976123770556,,,0.016271302850089757,0.992,0.0,0.0,,0.14456910713023624,0.09232707046032726,0.0004959594468484822,-0.00023330067159714783,0.00033209414117939577,-1.7997170226317346e-05,0.00011221889892159116
teacher_linear,709,0,0.0,0.0,1.0,500,500,0,478,0.956,0.9341389996764051,0.9722232327144282,True,8.542113380359435,7.927612444394707,13.543624436649392,15.720149217556136,22.91080198847875,,,0.07343696826656135,0.99,0.0,0.0,,,,-0.001708999861140958,-0.0015832385541177795,0.0016534886645489313,0.00046450806519654963,0.0005016611825177234
one_step_plugin,709,0,0.0,0.0,1.0,500,500,0,478,0.956,0.9341389996764051,0.9722232327144282,True,7.845928030447811,7.518526690580163,12.450990557679887,14.557011369254473,28.31163543454237,,,0.13044821351489583,0.99,0.0,0.0,,2.3101760261739295,1.479511807734,-0.0012582316731552907,-0.0024925402462356,-0.004082167043039149,-0.0014640307546717917,0.0007895572268235691
