base_seed,trial,amplitude_multiplier,q_true_norm,projected_linear_norm,projected_actual_delta_norm,projected_nonlinear_remainder_norm,projected_nonlinear_remainder_relative_l2,affine_forward_mismatch_relative_l2
709,0,0.0,0.0,0.0,1.3606676779304787e-15,1.3606676779304787e-15,,1.9959744052609025e-16
709,0,0.125,0.005,2.95502548140436e-05,2.955041909375837e-05,6.023846043658736e-09,0.0002038509001552141,9.226526842043261e-09
709,0,0.25,0.01,5.91005096280872e-05,5.910436578876494e-05,3.6322730554821477e-08,0.0006145925100036581,3.7551309076002565e-08
709,0,0.5,0.02,0.0001182010192561744,0.00011822985649158232,2.2572858882169473e-07,0.0019097008658823683,2.126231182265055e-07
709,0,1.0,0.04,0.0002364020385123488,0.00023647716034840412,6.092467840819368e-07,0.0025771638346092853,5.800504952156953e-07
709,0,2.0,0.08,0.0004728040770246976,0.0004729566025130884,1.401776226739157e-06,0.0029648141690325,1.4089428549064008e-06
709,1,0.0,0.0,0.0,1.3606676779304787e-15,1.3606676779304787e-15,,1.9959744052609025e-16
709,1,0.125,0.005,2.0295827539915847e-05,2.029644181296616e-05,7.924718508265168e-09,0.00039046047729168016,1.5395972346313552e-08
709,1,0.25,0.01,4.059165507983169e-05,4.059367821203329e-05,1.9008995609894205e-08,0.0004682981162632855,3.685520092304346e-08
709,1,0.5,0.02,8.118331015966339e-05,8.119026784838629e-05,1.0719343718663313e-07,0.0013203876138557983,1.3360278266460917e-07
709,1,1.0,0.04,0.00016236662031932677,0.00016239486056803798,4.1504453779061244e-07,0.0025562183715738093,5.284707790929022e-07
709,1,2.0,0.08,0.00032473324063865354,0.0003248984801438173,1.8659650797027475e-06,0.005746147440997879,2.898775845979161e-06
709,2,0.0,0.0,0.0,1.3606676779304787e-15,1.3606676779304787e-15,,1.9959744052609025e-16
709,2,0.125,0.005,5.544256164913894e-05,5.544268959033505e-05,6.89986007936723e-09,0.00012445060029931697,9.524348359378543e-09
709,2,0.25,0.01,0.00011088512329827788,0.00011088456722515285,1.691173948751266e-08,0.00015251585590990915,2.1454808580213464e-08
709,2,0.5,0.02,0.00022177024659655577,0.0002217658889339702,5.118517662565022e-08,0.00023080272223697458,5.925167201313198e-08
709,2,1.0,0.04,0.00044354049319311154,0.00044351906844698313,1.835492148155016e-07,0.00041382741290226855,2.038874565346373e-07
709,2,2.0,0.08,0.0008870809863862231,0.0008869977858339847,7.044367685827036e-07,0.0007941064901553434,7.9310316311776e-07
811,0,0.0,0.0,0.0,2.1414756973173876e-15,2.1414756973173876e-15,,2.072362844816031e-16
811,0,0.125,0.005,0.00010875741121074989,0.00010875514921601255,5.598938737122489e-08,0.0005148098575344789,2.9269284135197563e-08
811,0,0.25,0.01,0.00021751482242149978,0.00021750302415360446,3.0370885150119715e-07,0.001396267381322045,1.6093018473140004e-07
811,0,0.5,0.02,0.00043502964484299955,0.0004349978419183229,8.164528999626209e-07,0.0018767753178229394,4.306916065066191e-07
811,0,1.0,0.04,0.0008700592896859991,0.0008699832528377569,1.8576841841896092e-06,0.0021351236705489805,9.858150209506268e-07
811,0,2.0,0.08,0.0017401185793719982,0.0017399424080137465,7.09717074362743e-06,0.004078555810942936,4.419731525786976e-06
811,1,0.0,0.0,0.0,2.1414756973173876e-15,2.1414756973173876e-15,,2.072362844816031e-16
811,1,0.125,0.005,5.900091759520988e-05,5.901072290345476e-05,1.1295416981820894e-07,0.0019144476801726787,5.998141389772604e-08
