base_seed,trial,amplitude_multiplier,q_true_norm,projected_linear_norm,projected_actual_delta_norm,projected_nonlinear_remainder_norm,projected_nonlinear_remainder_relative_l2,affine_forward_mismatch_relative_l2
811,1,0.25,0.01,0.00011800183519041976,0.00011797588984227215,1.3979229213963183e-07,0.0011846620174512435,5.64884502493447e-08
811,1,0.5,0.02,0.00023600367038083953,0.00023589913052584192,3.8551861678302524e-07,0.0016335280555633445,1.5944381157066654e-07
811,1,1.0,0.04,0.00047200734076167906,0.0004717228302457232,9.60142427723167e-07,0.002034168422410091,4.368905693572865e-07
811,1,2.0,0.08,0.0009440146815233581,0.0009436250702678673,1.8413459890370244e-06,0.001950548042394469,1.2069340782622454e-06
811,2,0.0,0.0,0.0,2.1414756973173876e-15,2.1414756973173876e-15,,2.072362844816031e-16
811,2,0.125,0.005,8.901431528405109e-05,8.90337248015105e-05,1.8838928334162586e-07,0.0021163931075632286,9.991129002862727e-08
811,2,0.25,0.01,0.00017802863056810218,0.00017806889923653292,3.774843781402168e-07,0.0021203577027786875,2.0013244550679213e-07
811,2,0.5,0.02,0.00035605726113620436,0.00035614360041650477,7.583591798405551e-07,0.0021298798328689503,4.02616889818002e-07
811,2,1.0,0.04,0.0007121145222724087,0.0007123104359081007,1.5347418956779422e-06,0.0021551897169298983,8.233230120636231e-07
811,2,2.0,0.08,0.0014242290445448174,0.001425361173282431,7.706826836326317e-06,0.00541122712378711,9.944200100299162e-06
907,0,0.0,0.0,0.0,1.1479262090731492e-15,1.1479262090731492e-15,,2.1111446981603453e-16
907,0,0.125,0.005,4.04031908232564e-05,4.040303311362028e-05,8.85448104871127e-09,0.00021915301411329523,1.1949679346324364e-08
907,0,0.25,0.01,8.08063816465128e-05,8.080551412383809e-05,2.0720479695815686e-08,0.00025642132803888366,2.6823771366199053e-08
907,0,0.5,0.02,0.0001616127632930256,0.00016158192713573195,4.054738682685623e-07,0.0025089223153333742,8.286159715308914e-07
907,0,1.0,0.04,0.0003232255265860512,0.0003230623644491388,2.2522181418429454e-06,0.006967946392202243,4.633887910550948e-06
907,0,2.0,0.08,0.0006464510531721024,0.0006460024283326285,6.045598736638242e-06,0.009351982191030237,1.23479307518648e-05
907,1,0.0,0.0,0.0,1.1479262090731492e-15,1.1479262090731492e-15,,2.1111446981603453e-16
907,1,0.125,0.005,3.00077259843439e-05,3.0007935954021798e-05,2.1066509956032524e-09,7.020362011777792e-05,4.506810125539263e-09
907,1,0.25,0.01,6.00154519686878e-05,6.0016231571022174e-05,8.285460898204776e-09,0.00013805546115902944,1.794824410230567e-08
907,1,0.5,0.02,0.0001200309039373756,0.00012003390547515405,3.288201174361466e-08,0.00027394621439134025,7.16613389178404e-08
907,1,1.0,0.04,0.0002400618078747512,0.00024006915376974795,4.1431557359043067e-07,0.0017258704216982065,5.111722943434963e-07
907,1,2.0,0.08,0.0004801236157495024,0.0004797367253721159,3.679992235342749e-06,0.007664676584587608,4.443686788997489e-06
907,2,0.0,0.0,0.0,1.1479262090731492e-15,1.1479262090731492e-15,,2.1111446981603453e-16
907,2,0.125,0.005,1.7963844813030035e-05,1.7964873213832855e-05,9.415972512836006e-09,0.0005241624279678786,1.4144273207050924e-08
907,2,0.25,0.01,3.592768962606007e-05,3.595167536217468e-05,2.881243815805888e-07,0.008019563311179308,6.012095459463192e-07
907,2,0.5,0.02,7.185537925212014e-05,7.204184187967449e-05,1.987904223808085e-06,0.02766535010319955,4.146021947443729e-06
907,2,1.0,0.04,0.00014371075850424028,0.0001442354077393228,5.375446282931715e-06,0.03740461979938064,1.1213277023755026e-05
907,2,2.0,0.08,0.00028742151700848057,0.00028776523527730127,1.609603732338722e-05,0.05600150430947831,2.6461991320173576e-05
