base_seed,trial,amplitude_multiplier,noise_multiplier,replicate,q_true_norm,affine_forward_mismatch_relative_l2,numerical_success,numerical_error,one_step_raw_q_norm,one_step_boundary_hit,one_step_q_relative_l2,iterative_q_relative_l2,one_step_qref_error,iterative_qref_error,one_step_field_relative_l2,iterative_field_relative_l2,one_step_sequence_relative_l2,iterative_sequence_relative_l2,one_step_objective,iterative_objective,iterative_objective_monotone,iterative_iterations,iterative_accepted_steps,iterative_rejected_steps,iterative_armijo_accepts,iterative_trust_hit_count,iterative_local_boundary_hit_count,iterative_stop_reason,one_step_profile_evaluations,iterative_profile_evaluations,iterative_factorizations,iterative_normal_assemblies,iterative_jacobian_solves,one_step_wall_seconds,iterative_wall_seconds
709,0,0.5,0.0078125,0,0.02,2.126231182265055e-07,True,,0.018121686708106065,False,0.1562529738076051,0.1519618360605322,0.07812648690380256,0.0759809180302661,0.024108198887835764,0.02413573493332501,0.015394747243718674,0.015403592721805906,4.0287827035131444e-08,4.028769470166929e-08,True,3,2,0,0,0,0,step_tolerance,1,3,3,3,3,0.007235042052343488,0.027756750001572073
709,0,0.5,0.0078125,1,0.02,2.126231182265055e-07,True,,0.020227986122042782,False,0.05262587381506677,0.04983098180340429,0.026312936907533384,0.024915490901702145,0.027506255288777332,0.026523128347932013,0.017888322571925002,0.017292177588525758,4.041703149680825e-08,4.041332931668407e-08,True,4,3,0,0,1,0,step_tolerance,1,4,4,4,4,0.007306833053007722,0.0379709160188213
709,0,0.5,0.0078125,2,0.02,2.126231182265055e-07,True,,0.019663852200633106,False,0.08776036918695808,0.07726183358185235,0.04388018459347904,0.03863091679092617,0.02168267251854173,0.021124911707884216,0.014090127599147614,0.013707668395093733,4.067508236047336e-08,4.0673731303902777e-08,True,3,2,0,0,0,0,step_tolerance,1,3,3,3,3,0.00717862497549504,0.028618999989703298
709,0,0.5,0.0078125,3,0.02,2.126231182265055e-07,True,,0.02171760773835251,False,0.15984149632205585,0.1695658825619652,0.07992074816102793,0.0847829412809826,0.02535067886638765,0.02515348321116018,0.01642797133871106,0.016278327350240273,4.0529760738861105e-08,4.0529037129445276e-08,True,4,3,0,0,1,0,step_tolerance,1,4,4,4,4,0.007150083081796765,0.03669179102871567
709,0,0.5,0.0078125,4,0.02,2.126231182265055e-07,True,,0.02073504275072272,False,0.043288737988156245,0.05003579205341625,0.021644368994078123,0.025017896026708127,0.019334836663152166,0.01924912198864732,0.012308044302391932,0.0122341108505709,4.0322615978804906e-08,4.032224533674665e-08,True,4,3,0,0,1,0,step_tolerance,1,4,4,4,4,0.0073865000158548355,0.03649362502619624
709,0,0.5,0.0078125,5,0.02,2.126231182265055e-07,True,,0.024284588717591878,False,0.2721515761482422,0.27249557977622196,0.1360757880741211,0.13624778988811098,0.02159599508548843,0.021445109619286452,0.01388146272550235,0.013784296764978823,4.067017657956515e-08,4.06697157680747e-08,True,4,3,0,0,1,0,step_tolerance,1,4,4,4,4,0.007421665941365063,0.03689124993979931
709,0,0.5,0.0078125,6,0.02,2.126231182265055e-07,True,,0.022658602083923222,False,0.16435675850897752,0.1644990842125091,0.08217837925448876,0.08224954210625456,0.01789186181060196,0.017927658818622638,0.01119446278215618,0.011221639764657693,4.00207356382145e-08,4.0020638283602865e-08,True,4,3,0,0,1,0,step_tolerance,1,4,4,4,4,0.007156624924391508,0.03703679202590138
709,0,0.5,0.0078125,7,0.02,2.126231182265055e-07,True,,0.019591742542873877,False,0.24122075148277503,0.2292658175900767,0.12061037574138751,0.11463290879503835,0.01855681334249282,0.018215763928765238,0.01188415619690635,0.011696748918518149,4.0560480525466916e-08,4.055973442579841e-08,True,3,2,0,0,0,0,step_tolerance,1,3,3,3,3,0.007170415949076414,0.02750600001309067
709,0,0.5,0.0078125,8,0.02,2.126231182265055e-07,True,,0.018973240898879456,False,0.11076057079515322,0.10723408083720673,0.05538028539757661,0.053617040418603365,0.015534836784068598,0.015350259678503194,0.010291294126220568,0.010197568082236536,4.0824231337075127e-08,4.082362338118345e-08,True,3,2,0,0,0,0,step_tolerance,1,3,3,3,3,0.00680966698564589,0.027584207942709327
709,0,0.5,0.0078125,9,0.02,2.126231182265055e-07,True,,0.018828380453028034,False,0.16153530552302095,0.1561665296521207,0.08076765276151048,0.07808326482606034,0.018342029978811503,0.018068283688360606,0.011656014360718187,0.01150227150786411,4.035704206685702e-08,4.035629296499619e-08,True,3,2,0,0,0,0,step_tolerance,1,3,3,3,3,0.007392292027361691,0.027547666104510427
