rig_id,method,relative_aperture_residual_error,relative_operator_error,mean_probe_forward_relative_error,mean_probe_gradient_cosine,worst_probe_gradient_cosine
dco-rig-030,thin_ray_high_fidelity,1.0,0.08395919586492753,0.04043510308422451,0.9993442989515411,0.9991511769924591
dco-rig-031,thin_ray_high_fidelity,1.0,0.09491177674197554,0.05085302599277089,0.9990013335503698,0.9987860957425728
dco-rig-032,thin_ray_high_fidelity,1.0,0.09497694056325154,0.03845224928773599,0.9986291729673924,0.9979141301279846
dco-rig-033,thin_ray_high_fidelity,1.0,0.1267039373327072,0.06820826267277708,0.9989889653048084,0.9981568227537724
dco-rig-034,thin_ray_high_fidelity,1.0,0.053523273946032165,0.018490686572536993,0.9997251799194261,0.9995233241738755
dco-rig-035,thin_ray_high_fidelity,1.0,0.08880999131404424,0.03818784580397226,0.9993227792830456,0.9982277453172888
dco-rig-036,thin_ray_high_fidelity,1.0,0.1382546080486491,0.08070655878935445,0.998354291697368,0.9955469333975956
dco-rig-037,thin_ray_high_fidelity,1.0,0.07372654973779959,0.03084898937995092,0.9995507198204563,0.9992600391712669
dco-rig-038,thin_ray_high_fidelity,1.0,0.09239228824943936,0.054502972397032126,0.9990293043995297,0.998450831154246
dco-rig-039,thin_ray_high_fidelity,1.0,0.1349907353079817,0.07647346197637576,0.998690638729739,0.9975535884660968
dco-rig-040,thin_ray_high_fidelity,1.0,0.07705053952114936,0.04114012808760354,0.9991316886864267,0.9989939053902412
dco-rig-041,thin_ray_high_fidelity,1.0,0.15824072111647047,0.09151877939843207,0.9980389994332349,0.9967069133083512
dco-rig-030,full_matrix_geometry_ridge,0.700838376660946,0.058841826535734214,0.012308044996850136,0.999601167663847,0.9993600695825046
dco-rig-031,full_matrix_geometry_ridge,0.8281299570997013,0.07859928560158862,0.01592668255505555,0.9993910336050238,0.9988045985930208
dco-rig-032,full_matrix_geometry_ridge,0.8341991495790267,0.0792296830474822,0.017155488332424543,0.9991592844702448,0.9986853429440276
dco-rig-033,full_matrix_geometry_ridge,0.58727652290179,0.07441024775471859,0.016349505965697158,0.999501997859157,0.9983611085695766
dco-rig-034,full_matrix_geometry_ridge,1.418147888415064,0.07590391792762653,0.03249584872649883,0.9993703446630907,0.9987792349931888
dco-rig-035,full_matrix_geometry_ridge,1.0199927346571103,0.0905855459052862,0.018482641901623274,0.999074589766554,0.9976799121854103
dco-rig-036,full_matrix_geometry_ridge,0.49177958670964367,0.06799079400686844,0.022007022187640984,0.9995639480597581,0.9989843824102891
dco-rig-037,full_matrix_geometry_ridge,0.8706031257682334,0.06418656465383545,0.026631464473240767,0.9995032551984023,0.9993260872511023
dco-rig-038,full_matrix_geometry_ridge,0.6789193349294079,0.06272691089091552,0.012010131003546967,0.9995863533912025,0.9993015296770267
dco-rig-039,full_matrix_geometry_ridge,0.6024739301211899,0.081328398830949,0.029045362777719384,0.9995151032170269,0.9990630721287586
dco-rig-040,full_matrix_geometry_ridge,1.1379196323552154,0.08767732160467727,0.03473038108354341,0.9993186779975807,0.9978282748488222
dco-rig-041,full_matrix_geometry_ridge,0.6016246542686454,0.0952015191329177,0.03871337643987123,0.9992719806869876,0.9987090923638454
dco-rig-030,ray_conditioned_voxel_kernel,0.8254501861451966,0.06930413385530546,0.024676520219844313,0.9995495335914194,0.9994300996890082
dco-rig-031,ray_conditioned_voxel_kernel,0.8193382596504264,0.07776484997610005,0.03150972323706141,0.999331782563149,0.9990597555883927
dco-rig-032,ray_conditioned_voxel_kernel,0.8434491803100478,0.08010822266643064,0.02765780129521787,0.9989933127061819,0.9987361135754897
dco-rig-033,ray_conditioned_voxel_kernel,0.6889403419316573,0.08729145391008258,0.035472743273089156,0.99937730710095,0.9985984336088957
dco-rig-034,ray_conditioned_voxel_kernel,1.0855842472751824,0.058104023058406715,0.026871566989914004,0.9996998390378279,0.9993738612669547
dco-rig-035,ray_conditioned_voxel_kernel,0.9193942435306104,0.08165139478213577,0.025479922373688402,0.9993843216385103,0.9988754878526982
dco-rig-036,ray_conditioned_voxel_kernel,0.6702060940686958,0.0926590808472836,0.03851835223680106,0.9991154396864551,0.9978065910275957
dco-rig-037,ray_conditioned_voxel_kernel,0.943064405335265,0.0695288847858988,0.029174035933135264,0.9995535543419398,0.9992646024164139
dco-rig-038,ray_conditioned_voxel_kernel,0.753024920727178,0.06957369553483665,0.03019826790521847,0.9994029181772353,0.9988458309897221
dco-rig-039,ray_conditioned_voxel_kernel,0.7119436809592616,0.09610580099056186,0.037982456544384466,0.9991408134046851,0.9984052423046293
dco-rig-040,ray_conditioned_voxel_kernel,0.8954524742971484,0.06899509626014341,0.03060785661749447,0.9993382400330904,0.9989343141395222
dco-rig-041,ray_conditioned_voxel_kernel,0.6365003934202318,0.10072028124573465,0.046096561314906574,0.9988302552520023,0.9979520196566503
dco-rig-030,oracle_rowwise_voxel_kernel,0.3991669965687384,0.033513740047729564,0.021702316485963383,0.9998391225186276,0.9996661479654307
dco-rig-031,oracle_rowwise_voxel_kernel,0.3713499976409528,0.03524548806923125,0.02155955568661144,0.9997595772326358,0.9997106483290148
dco-rig-032,oracle_rowwise_voxel_kernel,0.3596031151347684,0.034154003692515,0.02126801579293449,0.999789294894496,0.9997083659698361
dco-rig-033,oracle_rowwise_voxel_kernel,0.29927416654970795,0.037919215243812386,0.022371425435389312,0.9997929711263323,0.9996900411537535
dco-rig-034,oracle_rowwise_voxel_kernel,0.40546462156657326,0.021701794015531965,0.01240876335066734,0.9999403814811184,0.9998996921923057
dco-rig-035,oracle_rowwise_voxel_kernel,0.3830733701485045,0.03402074267553034,0.021421957209727987,0.9998326505893547,0.9995554547425959
dco-rig-036,oracle_rowwise_voxel_kernel,0.33906953781942956,0.04687792605246185,0.02410108055161367,0.999686033971749,0.9993293784531263
dco-rig-037,oracle_rowwise_voxel_kernel,0.37979951705280546,0.028001307984385923,0.01764427704045193,0.9998703418789192,0.9997936905223364
dco-rig-038,oracle_rowwise_voxel_kernel,0.33341861652931404,0.03080530892610567,0.02094103229816497,0.9998070946248588,0.999764645563441
dco-rig-039,oracle_rowwise_voxel_kernel,0.32999427238274875,0.04454616947636965,0.02589673411468911,0.9996669379461208,0.9995132682069211
dco-rig-040,oracle_rowwise_voxel_kernel,0.4084345464605324,0.03147010216385996,0.018590645982661805,0.999815073064105,0.9997557570416095
dco-rig-041,oracle_rowwise_voxel_kernel,0.2961830415949352,0.046868218084452115,0.027520279722826092,0.9996842160640372,0.9994503167965376
