row_kernel_fit_ridge,ray_predictor_ridge,development_mean_relative_aperture_error,development_worst_relative_aperture_error,oracle_mean_relative_aperture_error,oracle_worst_relative_aperture_error
1e-08,1e-06,1.1539824908480592,1.8161382357106732,0.35873598328741757,0.4084345464605324
1e-08,0.0001,1.153619815557987,1.8143658145204102,0.35873598328741757,0.4084345464605324
1e-08,0.01,1.1359957414723352,1.7467130562060973,0.35873598328741757,0.4084345464605324
1e-08,0.1,1.0705753560014617,1.5793244946576628,0.35873598328741757,0.4084345464605324
1e-08,1.0,0.9161326293988782,1.208681226044148,0.35873598328741757,0.4084345464605324
0.0001,1e-06,1.044905242681777,1.5969602891382082,0.3591000717519099,0.4088803609726712
0.0001,0.0001,1.0446365922350869,1.5956044699251954,0.3591000717519099,0.4088803609726712
0.0001,0.01,1.0312226847387138,1.5399670957939764,0.3591000717519099,0.4088803609726712
0.0001,0.1,0.9827958607826096,1.399846416393027,0.3591000717519099,0.4088803609726712
0.0001,1.0,0.8803840774597244,1.1472924160766096,0.3591000717519099,0.4088803609726712
0.01,1e-06,0.8299321936360573,1.1492115533291363,0.3767570579315327,0.4282785672084726
0.01,0.0001,0.8298843936214505,1.1490682691413796,0.3767570579315327,0.4282785672084726
0.01,0.01,0.8268898549091682,1.1393600282225311,0.3767570579315327,0.4282785672084726
0.01,0.1,0.816029035637575,1.0855842472751824,0.3767570579315327,0.4282785672084726
0.01,1.0,0.8171233908028032,1.0395084622240414,0.3767570579315327,0.4282785672084726
