feature_index,kernel_index,depth_offset,y_offset,x_offset,coefficient
3,4,-1,0,0,-1.3960496471109495e-05
3,5,-1,0,1,-6.848520034744715e-05
3,6,-1,1,-1,-0.0006831200591699537
3,7,-1,1,0,0.00017717988509185348
3,8,-1,1,1,0.0007513765241304025
3,9,0,-1,-1,-0.0010916077680344725
3,10,0,-1,0,1.7781120538864803e-05
3,11,0,-1,1,0.00035704876203656346
3,12,0,0,-1,0.003793979261606954
3,13,0,0,0,-0.005342311523089631
3,14,0,0,1,-0.0011627200308577921
3,15,0,1,-1,-0.0018828331432449877
3,16,0,1,0,0.001847429536551353
3,17,0,1,1,-0.00017094429091134901
3,18,1,-1,-1,0.0005815832965403763
3,19,1,-1,0,-0.0001958130824355724
3,20,1,-1,1,-0.000693310179882193
3,21,1,0,-1,0.0003087267666252626
3,22,1,0,0,0.00019665019547752895
3,23,1,0,1,1.4480184950744261e-05
3,24,1,1,-1,-0.0004472582191074817
3,25,1,1,0,0.0001060186676147097
3,26,1,1,1,0.0008079242415219617
4,0,-1,-1,-1,-0.0007485671805333526
4,1,-1,-1,0,-0.0007818676805139043
4,2,-1,-1,1,-0.000542629504482173
4,3,-1,0,-1,-0.0010280035208879903
4,4,-1,0,0,-0.00011486971654383559
4,5,-1,0,1,-0.0008989261178561492
4,6,-1,1,-1,0.0004736665106556571
4,7,-1,1,0,-0.0007853787511740785
4,8,-1,1,1,0.0008169959389708308
4,9,0,-1,-1,0.00021039781194757823
4,10,0,-1,0,0.00044014464684389513
4,11,0,-1,1,8.259799712906785e-05
4,12,0,0,-1,0.000350555061016336
4,13,0,0,0,-0.0010592772768867414
4,14,0,0,1,0.00026445532569727614
4,15,0,1,-1,-1.5716016771013292e-05
4,16,0,1,0,3.275657270692703e-05
4,17,0,1,1,-5.156580411698477e-05
4,18,1,-1,-1,0.0004721627705910381
4,19,1,-1,0,-0.00015354291575006383
4,20,1,-1,1,0.00046709905760219543
4,21,1,0,-1,-0.0005147236357065357
4,22,1,0,0,-0.0018297952945012445
4,23,1,0,1,-4.250863174812819e-05
4,24,1,1,-1,-0.0004507672137754075
4,25,1,1,0,-0.00014464672478995094
4,26,1,1,1,-0.0008488260136269908
5,0,-1,-1,-1,-0.00016973879744720954
5,1,-1,-1,0,-0.0004311804612862648
5,2,-1,-1,1,0.0003229627061903198
5,3,-1,0,-1,0.0002853275913893478
5,4,-1,0,0,0.0027517130858763046
5,5,-1,0,1,3.4661366035728514e-05
5,6,-1,1,-1,-0.00012106096350091998
5,7,-1,1,0,0.001001169343711577
5,8,-1,1,1,0.000369182761818396
5,9,0,-1,-1,-0.0005337687892296067
5,10,0,-1,0,0.006842321431915999
5,11,0,-1,1,-0.00023057223413194304
5,12,0,0,-1,0.0047075236351840286
