rig_id,family,row_count,candidate_target_standardized_rmse,baseline_target_standardized_rmse,candidate_gain_vs_pbb9
fresh-budget-rig-a,pulsed_toroidal_plume,40,1.7607210938408613,1.7927422760433003,0.017861564727034707
fresh-budget-rig-a,tilted_flame_brush,40,7.491869970712938,7.752651924380328,0.03363777404313617
fresh-budget-rig-a,triple_jet_merger,40,2.330380267307997,2.2223487890481683,-0.04861139655134794
fresh-budget-rig-b,pulsed_toroidal_plume,40,1.4353084967934318,1.4198770212765237,-0.010868177515144684
fresh-budget-rig-b,tilted_flame_brush,40,4.049988128821038,4.172814292934327,0.02943485031703086
fresh-budget-rig-b,triple_jet_merger,40,1.255029386524368,1.2249749404910013,-0.0245347435608112
fresh-budget-rig-c,pulsed_toroidal_plume,40,1.575084553021939,1.5963065307319884,0.013294425163015489
fresh-budget-rig-c,tilted_flame_brush,40,8.251578895051182,9.563952409883635,0.13722083283018138
fresh-budget-rig-c,triple_jet_merger,40,1.9840138843042552,1.955057618422798,-0.014810952684257472
fresh-budget-rig-d,pulsed_toroidal_plume,40,1.4821064488081657,1.4481010093454485,-0.023482781410454123
fresh-budget-rig-d,tilted_flame_brush,40,4.068340490939525,4.097965357319895,0.007229164670085275
fresh-budget-rig-d,triple_jet_merger,40,1.390953909249038,1.3759411035719613,-0.010910936258901716
fresh-budget-rig-e,pulsed_toroidal_plume,40,1.9443200130101979,1.937298777824152,-0.003624239723070355
fresh-budget-rig-e,tilted_flame_brush,40,5.439997311650968,5.484868923220631,0.00818098156907554
fresh-budget-rig-e,triple_jet_merger,40,1.8581783693103167,1.8135520113970969,-0.024607156360980875
fresh-budget-rig-f,pulsed_toroidal_plume,40,1.5857851028357486,1.5459248351619772,-0.02578409167583806
fresh-budget-rig-f,tilted_flame_brush,40,3.3573454767871915,3.383452652076189,0.0077161343673533
fresh-budget-rig-f,triple_jet_merger,40,1.9372923780544944,1.8166072726098932,-0.06643434013737859
