case_id,split,family,base_seed,geometry_cluster_id,unconstrained_field_relative_l2,tail_safe_kselect_field_relative_l2,unconstrained_gain_upper_bound_over_kselect,solver_status,solver_relative_primal_dual_gap,solver_primal_residual,solver_dual_residual,objective_consistency_absolute_error
06dd164ebf7afaab36bb,ood,two_interface,307,95cd8ad079f1acb20db6b9aebf0bae3f14e7e8d92d648c8e338233cef257b2a9,0.7720935267294328,0.7750439361888996,0.003806764135172447,Solved,4.4345083161090315e-12,9.580868648313764e-16,8.6605111463331e-14,5.551115123125783e-17
0f995fa303b15aa0a03b,ood,single_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.7345837107871439,0.7775068166182924,0.05520608297408802,Solved,4.805783548889053e-11,6.357105383118711e-14,8.092565439979733e-14,1.1102230246251565e-16
1b6f07d0df0e52b58abb,ood,smooth_no_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.7356225355188417,0.7366151373621419,0.0013475175745841783,Solved,7.3096528829808e-12,4.1841201500064594e-16,3.769136527314904e-14,1.6653345369377348e-16
2f49c86e3eb06a461f57,development,single_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.7396092422697145,0.790457749725287,0.06432792577875834,Solved,1.937594529266562e-11,6.443002852514891e-15,8.497862654185789e-15,1.6653345369377348e-16
45c52befc568a4b31721,development,smooth_no_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,0.7334837716958222,0.7401013952726481,0.008941509391950153,Solved,2.4830026923439164e-11,7.654304374442665e-16,5.719796851584954e-14,2.220446049250313e-16
4f9030a93c5588825996,ood,single_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.7256199565129904,0.7741103917518924,0.06264020707584506,Solved,2.8763325055081168e-11,1.7612302720923575e-14,2.3657149627116872e-14,2.7755575615628914e-16
58f717923bc6b9fb3623,ood,single_interface,307,95cd8ad079f1acb20db6b9aebf0bae3f14e7e8d92d648c8e338233cef257b2a9,0.7358187977587821,0.7707768643967698,0.04535432789014349,Solved,2.8403390750497692e-12,4.730170791359734e-16,3.560473738879702e-15,2.220446049250313e-16
6b8c47bc7dac1f5a10ac,development,single_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,0.7275886615412778,0.7781511013944512,0.06497766277341932,Solved,4.505196216086915e-11,2.4278870135170773e-14,3.1674555114700394e-14,3.885780586188048e-16
6c1be592795051f71c55,development,smooth_no_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,0.7258745584767194,0.7316775133739781,0.007931028070685908,Solved,2.6774138461860275e-12,1.0079223995950413e-16,2.501594615762503e-15,1.1102230246251565e-16
706d1a070ba7cd1a80d5,ood,smooth_no_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.7517313323751534,0.7521825671731998,0.0005999006328238909,Solved,7.250644529221972e-11,4.754646113048927e-15,1.0628505499132995e-13,1.6653345369377348e-16
84f5cff833ac4146c0eb,ood,smooth_no_interface,307,95cd8ad079f1acb20db6b9aebf0bae3f14e7e8d92d648c8e338233cef257b2a9,0.7625410220661863,0.7631021646559273,0.0007353439889584701,Solved,3.4234282075829015e-12,2.77297335270354e-16,6.3922570161310246e-15,2.220446049250313e-16
a0219b1a232a46da5695,development,two_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.7861013685387608,0.7871348608261215,0.0013129799463792446,Solved,1.050270981295398e-12,7.724176477516344e-15,8.412883680602545e-15,1.6653345369377348e-16
b8ea97acd56019fc17c6,ood,two_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.7782056550788115,0.780890065894138,0.003437629613398663,Solved,2.308875313161707e-12,3.752307370270203e-15,5.622526377863557e-15,1.1102230246251565e-16
c598c609055fd1cb12e3,ood,two_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.7676344788276324,0.7704955307183636,0.0037132621497022456,Solved,8.429035247559113e-12,7.446991516133536e-14,9.980130025371489e-14,0.0
d8e2b6e94e3eef6067ed,development,smooth_no_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.7331767051003534,0.7340911272585482,0.0012456521053587633,Solved,7.511324895403959e-12,2.1208938642185303e-16,1.0175178162877327e-14,1.1102230246251565e-16
ef0a1521f135ecd1e246,development,two_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,0.7937559012612732,0.7971939273510852,0.004312659657651818,Solved,5.115724510673658e-11,1.4315439709473423e-13,1.667732792560269e-13,5.551115123125783e-17
f25f8547df25472026e4,development,single_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,0.7162221343648476,0.7594816919692112,0.05695931588844316,Solved,1.556732520668902e-11,6.7036851822466734e-15,8.904687808819154e-15,1.6653345369377348e-16
f448cb914cd5e33e69d8,development,two_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,0.7599702300783574,0.7599702300674741,-1.4320766794639894e-11,Solved,9.203804385293779e-12,1.103793582248423e-14,1.3015881632409794e-14,1.6653345369377348e-16
