split,baseline,candidate_mean_relative_l2,baseline_mean_relative_l2,mean_gain_percent,p10_gain_percent,harm_rate_over_1_percent,coverage,certificate_violation_rate,candidate_mean_gradient_relative_l2,baseline_mean_gradient_relative_l2,candidate_mean_front_f1,baseline_mean_front_f1
independent_select,projected_bb,0.4461926221847534,0.4461926221847534,0.0,0.0,0.0,0.0,0.0,0.5656898021697998,0.5656898021697998,0.7647002935409546,0.7647002935409546
independent_lock,projected_bb,0.5018178224563599,0.5018178224563599,0.0,0.0,0.0,0.0,0.0,0.6504058837890625,0.6504058837890625,0.6310365796089172,0.6310365796089172
