split,sample_index,geometry_id,active_views,selected_baseline,accepted,uncertainty_score,ensemble_correction_ratio,ensemble_alpha,member_acceptance_rate,member_raw_ratio_mean,certificate_violation,candidate_relative_l2,candidate_gradient_relative_l2,candidate_front_f1,candidate_whitened_residual_rms,raw_ensemble_relative_l2,raw_ensemble_gradient_relative_l2,raw_ensemble_front_f1,raw_ensemble_whitened_residual_rms,pbb_fallback_relative_l2,pbb_fallback_gradient_relative_l2,pbb_fallback_front_f1,pbb_fallback_whitened_residual_rms,fixed_pg_relative_l2,fixed_pg_gradient_relative_l2,fixed_pg_front_f1,fixed_pg_whitened_residual_rms,projected_bb_relative_l2,projected_bb_gradient_relative_l2,projected_bb_front_f1,projected_bb_whitened_residual_rms,fista_relative_l2,fista_gradient_relative_l2,fista_front_f1,fista_whitened_residual_rms,gain_vs_fixed_pg_percent,gain_vs_projected_bb_percent,gain_vs_fista_percent
independent_select,0,independent_select_2af78ca5d6_1100001,3,projected_bb,False,0.04629135504364967,0.36752310395240784,0.8134312629699707,1.0,0.4085012376308441,False,0.6711826920509338,0.8146843314170837,0.550000011920929,3.694432258605957,0.6642339825630188,0.8092007637023926,0.550000011920929,4.3687872886657715,0.6711826920509338,0.8146843314170837,0.550000011920929,3.694432258605957,0.7067151665687561,0.8345323204994202,0.550000011920929,6.908360958099365,0.6711826920509338,0.8146843314170837,0.550000011920929,3.694432258605957,0.687082052230835,0.8244438171386719,0.550000011920929,5.402118682861328,5.027835369110107,0.0,2.3140408992767334
independent_select,1,independent_select_2af78ca5d6_1100110,4,projected_bb,False,0.03819568455219269,0.3341057598590851,0.8351555466651917,1.0,0.43285101652145386,False,0.6005494594573975,0.6967875957489014,0.699999988079071,3.226577043533325,0.601232647895813,0.6967679858207703,0.699999988079071,3.4523961544036865,0.6005494594573975,0.6967875957489014,0.699999988079071,3.226577043533325,0.6679274439811707,0.7533880472183228,0.6499999761581421,4.438551425933838,0.6005494594573975,0.6967875957489014,0.699999988079071,3.226577043533325,0.6377561688423157,0.7293756008148193,0.699999988079071,3.855785608291626,10.087620735168457,0.0,5.834002494812012
independent_select,2,independent_select_2af78ca5d6_1101101,5,projected_bb,False,0.07072334736585617,0.352582186460495,0.9448813199996948,1.0,0.7612226009368896,False,0.3764968812465668,0.5637652277946472,0.6499999761581421,1.366310477256775,0.36970674991607666,0.5552335381507874,0.6499999761581421,1.3962472677230835,0.3764968812465668,0.5637652277946472,0.6499999761581421,1.366310477256775,0.429450660943985,0.6117650866508484,0.6499999761581421,1.9045027494430542,0.3764968812465668,0.5637652277946472,0.6499999761581421,1.366310477256775,0.4024416208267212,0.5907833576202393,0.6499999761581421,1.5895230770111084,12.330584526062012,0.0,6.446832656860352
independent_select,3,independent_select_2af78ca5d6_0110001,3,projected_bb,False,0.04033602774143219,0.2941955029964447,0.9614472985267639,1.0,0.6103911995887756,False,0.5330199003219604,0.6198330521583557,0.8500000238418579,4.722522735595703,0.534193217754364,0.6204143166542053,0.8500000238418579,4.913999557495117,0.5330199003219604,0.6198330521583557,0.8500000238418579,4.722522735595703,0.6193482875823975,0.6986567974090576,0.75,6.909761428833008,0.5330199003219604,0.6198330521583557,0.8500000238418579,4.722522735595703,0.5816646218299866,0.6656611561775208,0.8000000715255737,5.950462341308594,13.93858528137207,0.0,8.363018989562988
independent_select,4,independent_select_2af78ca5d6_1000111,4,projected_bb,False,0.03727197274565697,0.1988842934370041,0.9697731733322144,1.0,0.8427630662918091,False,0.6520587801933289,0.739093542098999,0.6499999761581421,2.8393006324768066,0.6547564268112183,0.7432088255882263,0.6499999761581421,2.875349521636963,0.6520587801933289,0.739093542098999,0.6499999761581421,2.8393006324768066,0.696594774723053,0.7821034789085388,0.6499999761581421,3.539093017578125,0.6520587801933289,0.739093542098999,0.6499999761581421,2.8393006324768066,0.678058922290802,0.7645673751831055,0.6499999761581421,3.1709482669830322,6.393386363983154,0.0,3.834496021270752
independent_select,5,independent_select_2af78ca5d6_0111011,5,projected_bb,False,0.0448174774646759,0.1954313963651657,1.0,1.0,0.6432903409004211,False,0.42237773537635803,0.5056877136230469,0.949999988079071,1.82364821434021,0.4146308898925781,0.4951510727405548,0.949999988079071,1.832082986831665,0.42237773537635803,0.5056877136230469,0.949999988079071,1.82364821434021,0.5173936486244202,0.6011243462562561,0.8999999761581421,2.492232084274292,0.42237773537635803,0.5056877136230469,0.949999988079071,1.82364821434021,0.47596314549446106,0.561408281326294,0.949999988079071,2.1550450325012207,18.364337921142578,0.0,11.258310317993164
independent_select,6,independent_select_2af78ca5d6_1000011,3,projected_bb,False,0.0447438508272171,0.38562458753585815,0.8178499937057495,1.0,0.43851470947265625,False,0.3489791750907898,0.46898558735847473,0.75,3.4265427589416504,0.34413599967956543,0.45735788345336914,0.75,3.964141607284546,0.3489791750907898,0.46898558735847473,0.75,3.4265427589416504,0.43477198481559753,0.5515140295028687,0.75,6.231485843658447,0.3489791750907898,0.46898558735847473,0.75,3.4265427589416504,0.3891455829143524,0.5084048509597778,0.75,4.875527858734131,19.73282814025879,0.0,10.321691513061523
independent_select,7,independent_select_2af78ca5d6_1010110,4,projected_bb,False,0.04329968988895416,0.5225668549537659,0.6053335666656494,1.0,0.5563139319419861,False,0.2703096866607666,0.3500634431838989,0.8999999761581421,1.9522273540496826,0.2924979329109192,0.37114107608795166,0.8999999761581421,2.4413633346557617,0.2703096866607666,0.3500634431838989,0.8999999761581421,1.9522273540496826,0.3676609396934509,0.43533095717430115,0.8999999761581421,3.422981023788452,0.2703096866607666,0.3500634431838989,0.8999999761581421,1.9522273540496826,0.3175142705440521,0.39306169748306274,0.8999999761581421,2.662491798400879,26.47854232788086,0.0,14.866917610168457
independent_select,8,independent_select_2af78ca5d6_0111101,5,projected_bb,False,0.05176536738872528,0.2931007742881775,0.9467395544052124,1.0,0.5712779760360718,False,0.35288888216018677,0.5230528712272644,0.8500000238418579,1.3432624340057373,0.35478079319000244,0.5234420299530029,0.8500000238418579,1.3706568479537964,0.35288888216018677,0.5230528712272644,0.8500000238418579,1.3432624340057373,0.43575868010520935,0.5956830382347107,0.75,1.8804123401641846,0.35288888216018677,0.5230528712272644,0.8500000238418579,1.3432624340057373,0.3943731188774109,0.5614325404167175,0.8000000715255737,1.5952409505844116,19.01736068725586,0.0,10.51903247833252
independent_select,9,independent_select_2af78ca5d6_1011000,3,projected_bb,False,0.052306611090898514,0.30158570408821106,0.9284148216247559,1.0,0.5519407391548157,False,0.3775918781757355,0.4502273201942444,0.8500000238418579,4.271965503692627,0.37327754497528076,0.441318541765213,0.8500000238418579,4.422504425048828,0.3775918781757355,0.4502273201942444,0.8500000238418579,4.271965503692627,0.49847152829170227,0.5666035413742065,0.8500000238418579,6.850668907165527,0.3775918781757355,0.4502273201942444,0.8500000238418579,4.271965503692627,0.44250982999801636,0.5146180987358093,0.8500000238418579,5.610286712646484,24.25006103515625,0.0,14.670397758483887
independent_select,10,independent_select_2af78ca5d6_1010101,4,projected_bb,False,0.043040163815021515,0.29357990622520447,0.9430777430534363,1.0,0.5075905919075012,False,0.4413463771343231,0.5793823003768921,0.75,2.5561606884002686,0.435566246509552,0.5744509696960449,0.75,2.621635913848877,0.4413463771343231,0.5793823003768921,0.75,2.5561606884002686,0.5318688154220581,0.658677339553833,0.75,3.7211389541625977,0.4413463771343231,0.5793823003768921,0.75,2.5561606884002686,0.4904089868068695,0.6249669790267944,0.75,3.163938045501709,17.01969337463379,0.0,10.004426956176758
independent_select,11,independent_select_2af78ca5d6_1011011,5,projected_bb,False,0.04858596995472908,0.29574209451675415,0.9442289471626282,1.0,0.6379728317260742,False,0.4660237431526184,0.5920330882072449,0.8000000715255737,2.0032732486724854,0.4704977571964264,0.5954083204269409,0.8000000715255737,2.0634400844573975,0.4660237431526184,0.5920330882072449,0.8000000715255737,2.0032732486724854,0.5602713227272034,0.6750341057777405,0.8000000715255737,2.8905768394470215,0.4660237431526184,0.5920330882072449,0.8000000715255737,2.0032732486724854,0.5173178911209106,0.6395063400268555,0.8000000715255737,2.4549031257629395,16.821775436401367,0.0,9.915401458740234
independent_select,12,independent_select_2af78ca5d6_0010011,3,projected_bb,False,0.04506401717662811,0.3300456702709198,0.8495025634765625,1.0,0.5823502540588379,False,0.3855968415737152,0.4600962698459625,0.949999988079071,3.7604928016662598,0.38410013914108276,0.4569816291332245,1.0,4.080164909362793,0.3855968415737152,0.4600962698459625,0.949999988079071,3.7604928016662598,0.4826580286026001,0.5521133542060852,0.8999999761581421,6.099689960479736,0.3855968415737152,0.4600962698459625,0.949999988079071,3.7604928016662598,0.43444937467575073,0.5071051716804504,0.949999988079071,4.984718322753906,20.109722137451172,0.0,11.244701385498047
independent_select,13,independent_select_2af78ca5d6_1011010,4,projected_bb,False,0.05840924754738808,0.4069083631038666,0.8572870492935181,1.0,0.5051056742668152,False,0.24287018179893494,0.3196801245212555,0.8500000238418579,2.0441689491271973,0.2633725106716156,0.3418905735015869,0.8000000715255737,2.3580875396728516,0.24287018179893494,0.3196801245212555,0.8500000238418579,2.0441689491271973,0.37582477927207947,0.45124754309654236,0.8000000715255737,3.7129788398742676,0.24287018179893494,0.3196801245212555,0.8500000238418579,2.0441689491271973,0.3149721920490265,0.3942805230617523,0.8000000715255737,2.9280760288238525,35.37675094604492,0.0,22.89154815673828
independent_select,14,independent_select_2af78ca5d6_1110011,5,projected_bb,False,0.040773939341306686,0.3306039571762085,0.8301129341125488,1.0,0.44617295265197754,False,0.381666362285614,0.5401192307472229,0.6499999761581421,1.6121219396591187,0.3785153031349182,0.5353770852088928,0.6499999761581421,1.7023112773895264,0.381666362285614,0.5401192307472229,0.6499999761581421,1.6121219396591187,0.4494404196739197,0.6145266890525818,0.6499999761581421,2.2207443714141846,0.381666362285614,0.5401192307472229,0.6499999761581421,1.6121219396591187,0.41606324911117554,0.5802080631256104,0.6499999761581421,1.8975476026535034,15.0796537399292,0.0,8.26722526550293
