case_id,stress_multiplier,reference_relative_l2,trajectory_to_total_variance_ratio,active_safe_count,strict_mask_safe_count,expected_high_fraction,risk_residual_rank_correlation,proxy_to_uniform_variance_ratio,oracle_to_uniform_variance_ratio,sparse_replay_relative_l2,numerical_contract_met,mechanism_headroom_met,proxy_router_screen_met
smooth_narrow_aperture,1.0,0.00349270851622768,0.04809433398199339,64,1,0.25,-0.566620879120879,1.0971150908830076,0.834373110934506,0.0,True,True,False
smooth_narrow_aperture,3.0,0.003472424508121901,0.30822790085085644,64,0,0.25,-0.5651556776556775,1.100761984796788,0.8344700492924794,0.0,True,False,False
smooth_narrow_aperture,10.0,0.0033987652631461817,0.8199144308590088,0,0,1.0,-0.5628663003663003,1.0,1.0,0.0,True,False,False
wrinkled_wide_aperture,1.0,0.0028021808673029617,0.00678503379820099,64,0,0.25,0.5088827838827839,0.973373186811633,0.9067576153870561,0.0,True,True,False
wrinkled_wide_aperture,3.0,0.0028039747007723363,0.05900098077890273,64,0,0.25,0.5105311355311355,0.965496715155593,0.9070020442219832,0.0,True,True,False
wrinkled_wide_aperture,10.0,0.0028028417319960757,0.4238922156139499,0,0,1.0,0.5054487179487178,1.0,1.0,0.0,True,False,False
smooth_wide_aperture,1.0,0.0033323980237605325,0.09173005632264221,64,10,0.25,0.14038461538461536,0.9943210034705948,0.6681671575536653,0.0,True,True,False
smooth_wide_aperture,3.0,0.0033201331231919656,0.468144445356734,64,3,0.25,0.14271978021978018,0.9965567338821589,0.6680039997422427,0.0,True,False,False
smooth_wide_aperture,10.0,0.003275479817477183,0.8963653539848272,0,0,1.0,0.14967948717948715,1.0,1.0,0.0,True,False,False
