case_id,dimensionless_stress_multiplier,method_id,sample_count,p10_seconds,p50_seconds,p90_seconds,candidate_p90_to_high128_p10_wall_time_ratio,timing_gate_met
smooth_narrow_aperture,1.0,continuous_affine_n1,20,0.0403764664,0.041234291500000006,0.044062550600000014,0.09557508928224155,
smooth_narrow_aperture,1.0,operator_consistent_homotopy,20,0.0647038337,0.06654633300000001,0.06759493750000001,0.14661866139428698,True
smooth_narrow_aperture,1.0,picard_1,20,0.0101178006,0.010885937500000002,0.011582433300000002,0.02512319604015632,
smooth_narrow_aperture,1.0,picard_2,20,0.015395833600000002,0.0161516455,0.017083696100000004,0.037055861673794745,
smooth_narrow_aperture,1.0,high128,20,0.46102547150000006,0.46348018750000003,0.46571276660000005,1.010167106569512,
wrinkled_wide_aperture,1.0,continuous_affine_n1,20,0.040368379200000006,0.041091416500000005,0.0417700711,0.09056547592329832,
wrinkled_wide_aperture,1.0,operator_consistent_homotopy,20,0.0652741413,0.0671224795,0.0695463453,0.15078973281471242,True
wrinkled_wide_aperture,1.0,picard_1,20,0.0103048872,0.010710333500000002,0.0117228003,0.025417265529224447,
wrinkled_wide_aperture,1.0,picard_2,20,0.015684491400000004,0.016158729,0.017137079200000002,0.037156454198213146,
wrinkled_wide_aperture,1.0,high128,20,0.46121406280000005,0.462977375,0.46897739130000005,1.0168323759533031,
smooth_wide_aperture,1.0,continuous_affine_n1,20,0.0401321961,0.0408437705,0.042466995800000004,0.09228549740190603,
smooth_wide_aperture,1.0,operator_consistent_homotopy,20,0.06571373750000001,0.06680691650000001,0.0677898003,0.14731476342061797,True
smooth_wide_aperture,1.0,picard_1,20,0.0103357419,0.0106774585,0.011216662200000001,0.02437505245699903,
smooth_wide_aperture,1.0,picard_2,20,0.015473407800000002,0.016281021,0.016804420900000002,0.0365178725759425,
smooth_wide_aperture,1.0,high128,20,0.46016976660000003,0.46250897950000003,0.46579169550000005,1.012217075757797,
