source_split,method,source_seed,field_relative_l2,forward_calls,adjoint_calls
iid,unweighted_pg4,20462023,0.8802781701087952,4,4
iid,unweighted_pg4,20462024,0.8819751143455505,4,4
iid,unweighted_pg4,20462025,0.8393498659133911,4,4
iid,unweighted_pg4,20462026,0.8646292090415955,4,4
iid,unweighted_pg4,20462027,0.9138829112052917,4,4
iid,unweighted_pg4,20462028,0.8940373659133911,4,4
iid,unweighted_pg4,20462029,0.8601827025413513,4,4
iid,unweighted_pg4,20462030,0.8611953854560852,4,4
iid,unweighted_pg4,20462031,0.8763858079910278,4,4
iid,unweighted_pg4,20462032,0.8897782564163208,4,4
iid,prewhitened_pg4,20462001,0.8244842290878296,4,4
iid,prewhitened_pg4,20462002,0.7290868759155273,4,4
iid,prewhitened_pg4,20462003,0.7967250347137451,4,4
iid,prewhitened_pg4,20462004,0.7866198420524597,4,4
iid,prewhitened_pg4,20462005,0.7634856104850769,4,4
iid,prewhitened_pg4,20462006,0.7651163339614868,4,4
iid,prewhitened_pg4,20462007,0.7513152956962585,4,4
iid,prewhitened_pg4,20462008,0.8367086052894592,4,4
iid,prewhitened_pg4,20462009,0.8145775198936462,4,4
iid,prewhitened_pg4,20462010,0.7517889142036438,4,4
iid,prewhitened_pg4,20462011,0.7691735625267029,4,4
iid,prewhitened_pg4,20462012,0.8816852569580078,4,4
iid,prewhitened_pg4,20462013,0.8039751052856445,4,4
iid,prewhitened_pg4,20462014,0.7916359305381775,4,4
iid,prewhitened_pg4,20462015,0.8402734994888306,4,4
iid,prewhitened_pg4,20462016,0.7975771427154541,4,4
iid,prewhitened_pg4,20462017,0.8120226263999939,4,4
iid,prewhitened_pg4,20462018,0.7285298705101013,4,4
iid,prewhitened_pg4,20462019,0.857312023639679,4,4
iid,prewhitened_pg4,20462020,0.764087975025177,4,4
iid,prewhitened_pg4,20462021,0.7227145433425903,4,4
iid,prewhitened_pg4,20462022,0.8046675324440002,4,4
iid,prewhitened_pg4,20462023,0.7748236656188965,4,4
iid,prewhitened_pg4,20462024,0.8250312209129333,4,4
iid,prewhitened_pg4,20462025,0.7339959740638733,4,4
iid,prewhitened_pg4,20462026,0.7389211654663086,4,4
iid,prewhitened_pg4,20462027,0.8159171938896179,4,4
iid,prewhitened_pg4,20462028,0.8268818855285645,4,4
iid,prewhitened_pg4,20462029,0.7689709663391113,4,4
iid,prewhitened_pg4,20462030,0.7352113723754883,4,4
iid,prewhitened_pg4,20462031,0.7878293395042419,4,4
iid,prewhitened_pg4,20462032,0.7975780963897705,4,4
iid,cg_unrolled4,20462001,0.1923920214176178,4,4
iid,cg_unrolled4,20462002,0.25072231888771057,4,4
iid,cg_unrolled4,20462003,0.1440710872411728,4,4
iid,cg_unrolled4,20462004,0.27052435278892517,4,4
iid,cg_unrolled4,20462005,0.17264819145202637,4,4
iid,cg_unrolled4,20462006,0.15519565343856812,4,4
iid,cg_unrolled4,20462007,0.1359984129667282,4,4
iid,cg_unrolled4,20462008,0.230216845870018,4,4
iid,cg_unrolled4,20462009,0.17510072886943817,4,4
iid,cg_unrolled4,20462010,0.23542000353336334,4,4
iid,cg_unrolled4,20462011,0.12779490649700165,4,4
iid,cg_unrolled4,20462012,0.4661823809146881,4,4
iid,cg_unrolled4,20462013,0.20914241671562195,4,4
iid,cg_unrolled4,20462014,0.1857176274061203,4,4
iid,cg_unrolled4,20462015,0.20793510973453522,4,4
iid,cg_unrolled4,20462016,0.2850656509399414,4,4
iid,cg_unrolled4,20462017,0.18015611171722412,4,4
iid,cg_unrolled4,20462018,0.21491199731826782,4,4
iid,cg_unrolled4,20462019,0.24943161010742188,4,4
iid,cg_unrolled4,20462020,0.27377745509147644,4,4
iid,cg_unrolled4,20462021,0.15184281766414642,4,4
iid,cg_unrolled4,20462022,0.35007885098457336,4,4
iid,cg_unrolled4,20462023,0.15504959225654602,4,4
iid,cg_unrolled4,20462024,0.32735463976860046,4,4
iid,cg_unrolled4,20462025,0.11174844950437546,4,4
iid,cg_unrolled4,20462026,0.2098935842514038,4,4
iid,cg_unrolled4,20462027,0.36348894238471985,4,4
iid,cg_unrolled4,20462028,0.23072487115859985,4,4
iid,cg_unrolled4,20462029,0.20334210991859436,4,4
iid,cg_unrolled4,20462030,0.23217728734016418,4,4
iid,cg_unrolled4,20462031,0.16101261973381042,4,4
iid,cg_unrolled4,20462032,0.21646778285503387,4,4
noise_ood,unweighted_pg4,20562001,0.8747586011886597,4,4
noise_ood,unweighted_pg4,20562002,0.9104827642440796,4,4
noise_ood,unweighted_pg4,20562003,0.8400807976722717,4,4
noise_ood,unweighted_pg4,20562004,0.931176483631134,4,4
noise_ood,unweighted_pg4,20562005,0.8963097333908081,4,4
noise_ood,unweighted_pg4,20562006,0.9218577742576599,4,4
noise_ood,unweighted_pg4,20562007,0.8396676182746887,4,4
noise_ood,unweighted_pg4,20562008,0.8951270580291748,4,4
noise_ood,unweighted_pg4,20562009,0.8899711966514587,4,4
noise_ood,unweighted_pg4,20562010,0.8647961616516113,4,4
noise_ood,unweighted_pg4,20562011,0.868316650390625,4,4
noise_ood,unweighted_pg4,20562012,0.8949316143989563,4,4
noise_ood,unweighted_pg4,20562013,0.8683952689170837,4,4
noise_ood,unweighted_pg4,20562014,0.8954399228096008,4,4
noise_ood,unweighted_pg4,20562015,0.8740326166152954,4,4
noise_ood,unweighted_pg4,20562016,0.9455010294914246,4,4
noise_ood,unweighted_pg4,20562017,0.9164193272590637,4,4
noise_ood,unweighted_pg4,20562018,0.9347174763679504,4,4
noise_ood,unweighted_pg4,20562019,0.855573296546936,4,4
noise_ood,unweighted_pg4,20562020,0.8519824147224426,4,4
noise_ood,unweighted_pg4,20562021,0.884674608707428,4,4
noise_ood,unweighted_pg4,20562022,0.9311224222183228,4,4
noise_ood,unweighted_pg4,20562023,0.8746247887611389,4,4
noise_ood,unweighted_pg4,20562024,0.8743271231651306,4,4
noise_ood,unweighted_pg4,20562025,0.8710882663726807,4,4
noise_ood,unweighted_pg4,20562026,0.8938944935798645,4,4
noise_ood,unweighted_pg4,20562027,0.9065984487533569,4,4
noise_ood,unweighted_pg4,20562028,0.8872257471084595,4,4
noise_ood,unweighted_pg4,20562029,0.8571378588676453,4,4
noise_ood,unweighted_pg4,20562030,0.9101464152336121,4,4
noise_ood,unweighted_pg4,20562031,0.8592081665992737,4,4
noise_ood,unweighted_pg4,20562032,0.9018889665603638,4,4
noise_ood,prewhitened_pg4,20562001,0.7307136058807373,4,4
noise_ood,prewhitened_pg4,20562002,0.6313802599906921,4,4
noise_ood,prewhitened_pg4,20562003,0.4547414779663086,4,4
noise_ood,prewhitened_pg4,20562004,0.8141076564788818,4,4
noise_ood,prewhitened_pg4,20562005,0.7219040393829346,4,4
noise_ood,prewhitened_pg4,20562006,0.7167908549308777,4,4
noise_ood,prewhitened_pg4,20562007,0.6830156445503235,4,4
noise_ood,prewhitened_pg4,20562008,0.5854820013046265,4,4
noise_ood,prewhitened_pg4,20562009,0.7431983947753906,4,4
noise_ood,prewhitened_pg4,20562010,0.5492381453514099,4,4
noise_ood,prewhitened_pg4,20562011,0.792214035987854,4,4
noise_ood,prewhitened_pg4,20562012,0.7253438234329224,4,4
noise_ood,prewhitened_pg4,20562013,0.5341476798057556,4,4
noise_ood,prewhitened_pg4,20562014,0.6902576684951782,4,4
noise_ood,prewhitened_pg4,20562015,0.7103200554847717,4,4
noise_ood,prewhitened_pg4,20562016,0.8771216869354248,4,4
noise_ood,prewhitened_pg4,20562017,0.7902706861495972,4,4
noise_ood,prewhitened_pg4,20562018,0.8191697001457214,4,4
noise_ood,prewhitened_pg4,20562019,0.6840149164199829,4,4
noise_ood,prewhitened_pg4,20562020,0.5944980978965759,4,4
noise_ood,prewhitened_pg4,20562021,0.7257124185562134,4,4
noise_ood,prewhitened_pg4,20562022,0.7736307978630066,4,4
noise_ood,prewhitened_pg4,20562023,0.6230571866035461,4,4
noise_ood,prewhitened_pg4,20562024,0.7116468548774719,4,4
noise_ood,prewhitened_pg4,20562025,0.549701452255249,4,4
noise_ood,prewhitened_pg4,20562026,0.7146286368370056,4,4
noise_ood,prewhitened_pg4,20562027,0.6286658644676208,4,4
noise_ood,prewhitened_pg4,20562028,0.7252353429794312,4,4
noise_ood,prewhitened_pg4,20562029,0.6294884085655212,4,4
noise_ood,prewhitened_pg4,20562030,0.7301230430603027,4,4
noise_ood,prewhitened_pg4,20562031,0.7387650012969971,4,4
noise_ood,prewhitened_pg4,20562032,0.6884665489196777,4,4
noise_ood,cg_unrolled4,20562001,0.19186751544475555,4,4
noise_ood,cg_unrolled4,20562002,0.27766653895378113,4,4
noise_ood,cg_unrolled4,20562003,3.1046319007873535,4,4
noise_ood,cg_unrolled4,20562004,0.45181015133857727,4,4
noise_ood,cg_unrolled4,20562005,0.2256646603345871,4,4
noise_ood,cg_unrolled4,20562006,3.8933892250061035,4,4
noise_ood,cg_unrolled4,20562007,1.1748602390289307,4,4
noise_ood,cg_unrolled4,20562008,1.2894479036331177,4,4
noise_ood,cg_unrolled4,20562009,0.30949968099594116,4,4
noise_ood,cg_unrolled4,20562010,2.036187171936035,4,4
noise_ood,cg_unrolled4,20562011,0.24177473783493042,4,4
noise_ood,cg_unrolled4,20562012,0.3054114878177643,4,4
noise_ood,cg_unrolled4,20562013,1.3363125324249268,4,4
noise_ood,cg_unrolled4,20562014,0.2727762758731842,4,4
noise_ood,cg_unrolled4,20562015,0.31511056423187256,4,4
noise_ood,cg_unrolled4,20562016,1.0097349882125854,4,4
noise_ood,cg_unrolled4,20562017,1.2937158346176147,4,4
noise_ood,cg_unrolled4,20562018,0.7839464545249939,4,4
noise_ood,cg_unrolled4,20562019,0.6165574193000793,4,4
noise_ood,cg_unrolled4,20562020,3.3841350078582764,4,4
noise_ood,cg_unrolled4,20562021,0.18649078905582428,4,4
noise_ood,cg_unrolled4,20562022,0.4111078083515167,4,4
noise_ood,cg_unrolled4,20562023,1.9616436958312988,4,4
noise_ood,cg_unrolled4,20562024,1.2787812948226929,4,4
noise_ood,cg_unrolled4,20562025,3.0636723041534424,4,4
noise_ood,cg_unrolled4,20562026,0.5168025493621826,4,4
noise_ood,cg_unrolled4,20562027,1.8410389423370361,4,4
noise_ood,cg_unrolled4,20562028,0.2397538423538208,4,4
noise_ood,cg_unrolled4,20562029,0.3267829120159149,4,4
noise_ood,cg_unrolled4,20562030,0.19373951852321625,4,4
noise_ood,cg_unrolled4,20562031,0.9524433612823486,4,4
noise_ood,cg_unrolled4,20562032,1.0748202800750732,4,4
family_ood,unweighted_pg4,20662001,0.9531633853912354,4,4
family_ood,unweighted_pg4,20662002,0.9192603230476379,4,4
family_ood,unweighted_pg4,20662003,0.8946768045425415,4,4
family_ood,unweighted_pg4,20662004,0.9257910847663879,4,4
family_ood,unweighted_pg4,20662005,0.8950273990631104,4,4
family_ood,unweighted_pg4,20662006,0.9110154509544373,4,4
family_ood,unweighted_pg4,20662007,0.9622504711151123,4,4
family_ood,unweighted_pg4,20662008,0.92630934715271,4,4
family_ood,unweighted_pg4,20662009,0.905914306640625,4,4
family_ood,unweighted_pg4,20662010,0.927418053150177,4,4
family_ood,unweighted_pg4,20662011,0.9193706512451172,4,4
family_ood,unweighted_pg4,20662012,0.9270831942558289,4,4
family_ood,unweighted_pg4,20662013,0.9091013669967651,4,4
family_ood,unweighted_pg4,20662014,0.9437801837921143,4,4
family_ood,unweighted_pg4,20662015,0.9272956848144531,4,4
family_ood,unweighted_pg4,20662016,0.9267802238464355,4,4
family_ood,unweighted_pg4,20662017,0.9388850331306458,4,4
family_ood,unweighted_pg4,20662018,0.8990093469619751,4,4
family_ood,unweighted_pg4,20662019,0.9227465987205505,4,4
family_ood,unweighted_pg4,20662020,0.888634443283081,4,4
family_ood,unweighted_pg4,20662021,0.9353853464126587,4,4
family_ood,unweighted_pg4,20662022,0.9237985610961914,4,4
family_ood,unweighted_pg4,20662023,0.929749071598053,4,4
family_ood,unweighted_pg4,20662024,0.9260485768318176,4,4
family_ood,unweighted_pg4,20662025,0.9118138551712036,4,4
family_ood,unweighted_pg4,20662026,0.9270341992378235,4,4
family_ood,unweighted_pg4,20662027,0.9372844696044922,4,4
family_ood,unweighted_pg4,20662028,0.912706196308136,4,4
family_ood,unweighted_pg4,20662029,0.931266188621521,4,4
family_ood,unweighted_pg4,20662030,0.9180523157119751,4,4
family_ood,unweighted_pg4,20662031,0.933538556098938,4,4
family_ood,unweighted_pg4,20662032,0.9093095064163208,4,4
family_ood,prewhitened_pg4,20662001,0.9056094288825989,4,4
family_ood,prewhitened_pg4,20662002,0.8512645959854126,4,4
family_ood,prewhitened_pg4,20662003,0.7958279252052307,4,4
family_ood,prewhitened_pg4,20662004,0.886451244354248,4,4
family_ood,prewhitened_pg4,20662005,0.8581750392913818,4,4
family_ood,prewhitened_pg4,20662006,0.864422082901001,4,4
family_ood,prewhitened_pg4,20662007,0.9478601813316345,4,4
family_ood,prewhitened_pg4,20662008,0.8930903673171997,4,4
family_ood,prewhitened_pg4,20662009,0.8199863433837891,4,4
family_ood,prewhitened_pg4,20662010,0.8738582134246826,4,4
family_ood,prewhitened_pg4,20662011,0.8663864731788635,4,4
family_ood,prewhitened_pg4,20662012,0.8510118126869202,4,4
family_ood,prewhitened_pg4,20662013,0.8527082800865173,4,4
family_ood,prewhitened_pg4,20662014,0.9122242331504822,4,4
family_ood,prewhitened_pg4,20662015,0.818328857421875,4,4
family_ood,prewhitened_pg4,20662016,0.8763092756271362,4,4
family_ood,prewhitened_pg4,20662017,0.9008502960205078,4,4
family_ood,prewhitened_pg4,20662018,0.8383659720420837,4,4
family_ood,prewhitened_pg4,20662019,0.8844954967498779,4,4
