method,rel_l2,cc,ssim_proxy,psnr
5-view stack baseline,0.25713330093704967,0.9259079075984572,0.9249757267353718,25.413947664654174
5-view 3D coord-regularized stack,0.23440510873099715,0.9388377571961499,0.9384329337696401,26.21777271331579
