views,baseline_l2,coord_l2
3,0.38544572038668523,0.37612002424805685
5,0.25713330093704967,0.23440510873099715
7,0.20076504195424708,0.20530301480580615
9,0.18955118247306685,0.2053911034263394
13,0.17687662879071744,0.20415610999590056
