candidate_id,method,covariance_mode,penalty,stages,perturbation_inner_steps,perturbation_initial_step,perturbation_decay,forward_calls,adjoint_calls,total_operator_calls,graph_same_stage_id,graph_budget_floor_id,graph_budget_ceiling_id,replicate_count,field_count,mean_field_gain_vs_component_percent,mean_field_gain_vs_graph_same_stage_percent,field_gain_vs_graph_same_stage_p10_percent,mean_field_gain_vs_graph_budget_floor_percent,field_gain_vs_graph_budget_floor_p10_percent,field_harm_vs_graph_budget_floor_over_one_percent_rate,worst_field_gain_vs_graph_budget_floor_percent,mean_field_gain_vs_graph_budget_ceiling_percent,mean_gradient_gain_vs_graph_budget_floor_percent,mean_front_gain_vs_graph_budget_floor,mean_solver_elapsed_seconds,mean_perturbation_norm
sup_huber_k6_n4_g2p56_a0p7,superiorized_pcgls,full_graph,huber,6,4,2.56,0.7,11,6,17,graph_s3_k6,graph_s3_k8,graph_s3_k9,2,16,8.724810094480635,-3.08859610143151,-7.8574616223602,-9.379205327090137,-24.413230640546196,0.75,-28.510393736959976,-12.393558433076494,-5.93973588759988,-0.022865863516926765,0.11754987499443814,1.5562867522239685
sup_tv_k5_n1_g0p32_a0p7,superiorized_pcgls,full_graph,tv,5,1,0.32,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,4.976371152167936,-2.185368384686535,-7.254200397329672,-12.243927685908666,-29.22180407996287,0.75,-36.08083196230316,-12.243927685908666,-8.864934949594799,-0.04253048822283745,0.07178318701335229,0.20263998955488205
sup_tv_k5_n1_g0p64_a0p7,superiorized_pcgls,full_graph,tv,5,1,0.64,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,4.21292535669579,-3.075849338082072,-8.789634332925974,-13.301170230104557,-32.79809761584657,0.8125,-39.335281351108264,-13.301170230104557,-9.634493894594634,-0.04695122316479683,0.06663531297817826,0.4052799344062805
sup_tv_k5_n1_g1p28_a0p7,superiorized_pcgls,full_graph,tv,5,1,1.28,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,4.243686435350197,-3.0671293492530047,-8.912204874331705,-13.322079261374284,-33.47852086520856,0.75,-39.363124634322496,-13.322079261374284,-9.456645008922916,-0.04481707699596882,0.06655087499530055,0.8105599284172058
sup_tv_k5_n1_g2p56_a0p7,superiorized_pcgls,full_graph,tv,5,1,2.56,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,5.133967207202269,-2.104221573821742,-7.380112563542521,-12.261254061834048,-32.07919365392754,0.75,-36.13741151408166,-12.261254061834048,-8.293378399301083,-0.039481716230511665,0.06635787448612973,1.6211198568344116
sup_tv_k5_n2_g0p32_a0p7,superiorized_pcgls,full_graph,tv,5,2,0.32,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,4.183519375360476,-3.09483257828443,-8.721658048718007,-13.303603712730542,-32.4449846258854,0.75,-38.81626933581178,-13.303603712730542,-9.75735064020324,-0.04740854166448116,0.07569783349754289,0.2506646513938904
sup_tv_k5_n2_g0p64_a0p7,superiorized_pcgls,full_graph,tv,5,2,0.64,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,3.7581125896996355,-3.59359751864398,-9.674841054850148,-13.9029235313684,-34.205017757957734,0.8125,-40.65373850102765,-13.9029235313684,-10.135877990854322,-0.048628050833940506,0.07647941648610868,0.4994889497756958
sup_tv_k5_n2_g1p28_a0p7,superiorized_pcgls,full_graph,tv,5,2,1.28,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,4.038432996787522,-3.297838206246204,-9.133345216134586,-13.58816970052028,-33.90344176723679,0.75,-39.39770102707603,-13.58816970052028,-9.685155804349066,-0.04603658802807331,0.07601127098314464,0.9871466159820557
sup_tv_k5_n2_g2p56_a0p7,superiorized_pcgls,full_graph,tv,5,2,2.56,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,4.97473779961091,-2.2825616381825737,-7.752976755670225,-12.465657490129962,-32.176795357435324,0.75,-35.40240420231762,-12.465657490129962,-8.4885992235927,-0.03963415510952473,0.07592114547151141,1.9102271795272827
sup_tv_k5_n4_g0p32_a0p7,superiorized_pcgls,full_graph,tv,5,4,0.32,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,3.7102014654361177,-3.6328910816506266,-9.499978882884161,-13.926847588549121,-33.95423717889696,0.8125,-40.24965370028126,-13.926847588549121,-10.302495397512548,-0.05030488781630993,0.09425822901539505,0.2645712047815323
sup_tv_k5_n4_g0p64_a0p7,superiorized_pcgls,full_graph,tv,5,4,0.64,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,3.436170357400175,-3.955033877246272,-10.185560461997738,-14.317803443081782,-34.9821805445327,0.8125,-41.37792283034921,-14.317803443081782,-10.526283688482543,-0.050609761849045753,0.09387522903853096,0.5253924131393433
sup_tv_k5_n4_g1p28_a0p7,superiorized_pcgls,full_graph,tv,5,4,1.28,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,3.6135072704054574,-3.768346797765248,-9.581511036947555,-14.125933831287737,-34.6432119354555,0.75,-39.95295931773062,-14.125933831287737,-10.189869564813796,-0.04893293045461178,0.09394856300787069,1.0272369384765625
