metric,split,cell_count,selection_accuracy,weight_advantage_pearson,router_weight_mean
rel_l2,test_iid,60,0.43333333333333335,-0.09432752985818439,0.5033829033374786
rel_l2,test_view_ood,48,0.625,0.30075099793940535,0.5017305053770542
rel_l2,test_noise_ood,48,0.2708333333333333,-0.6544198499346161,0.5000526644289494
rel_l2,test_joint_ood,48,0.6041666666666666,-0.19900758647807865,0.49861461607118446
rel_l2,test_family_ood,60,0.15,-0.5244767536340534,0.5024607107043266
rel_l2,all,264,0.4053030303030303,-0.2280156171078507,0.5014004188053536
heldout_reprojection_rel_l2,test_iid,60,0.45,-0.006237672020768227,0.5033829033374786
heldout_reprojection_rel_l2,test_view_ood,48,0.625,0.29174177511832844,0.5017305053770542
heldout_reprojection_rel_l2,test_noise_ood,48,0.4375,-0.23574774861893943,0.5000526644289494
heldout_reprojection_rel_l2,test_joint_ood,48,0.5833333333333334,0.10775730103314736,0.49861461607118446
heldout_reprojection_rel_l2,test_family_ood,60,0.3,-0.45379294610283905,0.5024607107043266
heldout_reprojection_rel_l2,all,264,0.4696969696969697,-0.0479234736670285,0.5014004188053536
