variant_id,method,fold_path_count,target_bracketed_count,target_bracketed_fraction,mean_nearest_grid_gap,maximum_nearest_grid_gap
equal_df_0p40,equal_df,24,24,1.0,0.021044360828767622,0.03598617121899106
equal_df_0p50,equal_df,24,24,1.0,0.023040988634064136,0.0395275571560576
equal_df_0p60,equal_df,24,24,1.0,0.019145410693024643,0.03156182609432512
equal_df_0p70,equal_df,24,24,1.0,0.010292442450481326,0.02329365748916168
morozov_0p50,morozov,24,24,1.0,0.029653748141593477,0.07321900100057854
morozov_0p75,morozov,24,24,1.0,0.07425273312611609,0.16302518644258934
morozov_1p00,morozov,24,24,1.0,0.26430003551015924,0.34232227167319806
morozov_1p25,morozov,24,24,1.0,0.13320875845878066,0.45283220542474
