variant_id,method,rig_id,block_id,validation_camera_index,selected_radius,target_metric,path_min,path_max,target,target_bracketed,nearest_grid_gap
morozov_0p50,morozov,development_rig_a,development_rig_a:radius=0.05500,0,0.08,mean_whitened_discrepancy,0.2527821462495245,20.546984678182618,0.5,True,0.02335435381918871
morozov_0p50,morozov,development_rig_a,development_rig_a:radius=0.05500,1,0.08,mean_whitened_discrepancy,0.23337714087715214,20.959191105388843,0.5,True,0.023174018960348763
morozov_0p50,morozov,development_rig_a,development_rig_a:radius=0.05500,2,0.08,mean_whitened_discrepancy,0.27062704906584933,24.983944948907048,0.5,True,0.015138196857066966
morozov_0p50,morozov,development_rig_a,development_rig_a:radius=0.05500,3,0.08,mean_whitened_discrepancy,0.2739503403534571,23.03609554759287,0.5,True,0.0063775732021083
morozov_0p75,morozov,development_rig_a,development_rig_a:radius=0.05500,0,0.08,mean_whitened_discrepancy,0.2527821462495245,20.546984678182618,0.75,True,0.09232227167319806
morozov_0p75,morozov,development_rig_a,development_rig_a:radius=0.05500,1,0.08,mean_whitened_discrepancy,0.23337714087715214,20.959191105388843,0.75,True,0.09917132590672817
morozov_0p75,morozov,development_rig_a,development_rig_a:radius=0.05500,2,0.08,mean_whitened_discrepancy,0.27062704906584933,24.983944948907048,0.75,True,0.04760980405633286
morozov_0p75,morozov,development_rig_a,development_rig_a:radius=0.05500,3,0.08,mean_whitened_discrepancy,0.2739503403534571,23.03609554759287,0.75,True,0.024700705348081886
morozov_1p00,morozov,development_rig_a,development_rig_a:radius=0.05500,0,0.08,mean_whitened_discrepancy,0.2527821462495245,20.546984678182618,1.0,True,0.34232227167319806
morozov_1p00,morozov,development_rig_a,development_rig_a:radius=0.05500,1,0.08,mean_whitened_discrepancy,0.23337714087715214,20.959191105388843,1.0,True,0.2616681089884543
morozov_1p00,morozov,development_rig_a,development_rig_a:radius=0.05500,2,0.08,mean_whitened_discrepancy,0.27062704906584933,24.983944948907048,1.0,True,0.29760980405633286
morozov_1p00,morozov,development_rig_a,development_rig_a:radius=0.05500,3,0.08,mean_whitened_discrepancy,0.2739503403534571,23.03609554759287,1.0,True,0.2747007053480819
morozov_1p25,morozov,development_rig_a,development_rig_a:radius=0.05500,0,0.16,mean_whitened_discrepancy,0.2738028037016136,20.266956227860057,1.25,True,0.31855122240031963
morozov_1p25,morozov,development_rig_a,development_rig_a:radius=0.05500,1,0.16,mean_whitened_discrepancy,0.25771571431608387,23.33884267717207,1.25,True,0.1372527511844912
morozov_1p25,morozov,development_rig_a,development_rig_a:radius=0.05500,2,0.16,mean_whitened_discrepancy,0.31112004379649094,27.361607725732757,1.25,True,0.001684599204655246
morozov_1p25,morozov,development_rig_a,development_rig_a:radius=0.05500,3,0.16,mean_whitened_discrepancy,0.31591343905676295,25.11678348774506,1.25,True,0.20439499688770146
equal_df_0p40,equal_df,development_rig_a,development_rig_a:radius=0.05500,0,0.12,mean_effective_df_fraction,0.26960568985493044,0.9220934348745526,0.4,True,0.01707272398496351
equal_df_0p40,equal_df,development_rig_a,development_rig_a:radius=0.05500,1,0.12,mean_effective_df_fraction,0.2681085308270448,0.9274172276863801,0.4,True,0.024620400479681503
equal_df_0p40,equal_df,development_rig_a,development_rig_a:radius=0.05500,2,0.12,mean_effective_df_fraction,0.2658629402610291,0.9298425101886219,0.4,True,0.025714983359638177
