mode,score,cell_count,high_risk_threshold_pct,high_risk_prevalence,spearman_score_vs_regret,high_risk_auc
no_holdout,prediction_std_percentile,1728,1.0,0.061921296296296294,0.059870793705185804,0.6969045299140372
no_holdout,vote_entropy_percentile,1728,1.0,0.061921296296296294,0.015884954505107896,0.473738375411509
no_holdout,inverse_margin_percentile,1728,1.0,0.061921296296296294,0.043361816388274584,0.5796727530600125
no_holdout,predicted_risk_percentile,1728,1.0,0.061921296296296294,-0.09663816101132595,0.2390413209798959
no_holdout,combined_uncertainty,1728,1.0,0.061921296296296294,0.015261809474848379,0.5319405928035653
with_holdout,prediction_std_percentile,1728,1.0,0.06597222222222222,0.06441991075441914,0.7075180982195265
with_holdout,vote_entropy_percentile,1728,1.0,0.06597222222222222,0.04650062127566163,0.48908128437574727
with_holdout,inverse_margin_percentile,1728,1.0,0.06597222222222222,0.053263584435650116,0.5808033870301529
with_holdout,predicted_risk_percentile,1728,1.0,0.06597222222222222,-0.0945415207412917,0.26613078545185764
with_holdout,combined_uncertainty,1728,1.0,0.06597222222222222,0.02570691697715017,0.5375279897389074
