selector,geometry,cell_count,mean_regret_pct,p95_regret_pct,within_one_pct_oracle_rate,mean_field_improvement_vs_rank3_pct
fixed_rank3,uniform,288,1.9824584542648118,6.090702022354783,0.3819444444444444,0.0
fixed_rank3,rotated_uniform,288,2.252890697769511,6.5053740866491285,0.3368055555555556,0.0
fixed_rank3,limited_arc,288,1.6997959821973057,4.230709511052247,0.3611111111111111,0.0
fixed_rank3,dual_cluster,288,1.328378686097838,3.0359692458936016,0.4652777777777778,0.0
fixed_rank3,jittered,288,2.0435255038423423,5.989919735475468,0.3715277777777778,0.0
fixed_rank3,calibration_offset_2deg,288,2.203548878826423,6.420369940616853,0.3368055555555556,0.0
train_fixed_rank,uniform,288,0.94342732238167,6.863727897430432,0.7777777777777778,0.9741004753868334
train_fixed_rank,rotated_uniform,288,0.7239902950386832,5.316049117284686,0.7951388888888888,1.4494659952939928
train_fixed_rank,limited_arc,288,0.46211572349774305,1.5753069345295252,0.8611111111111112,1.2057284847718144
train_fixed_rank,dual_cluster,288,0.3724151080589739,1.275293002385748,0.9305555555555556,0.9368079010253982
train_fixed_rank,jittered,288,0.5475626730353436,3.9140406802170564,0.8993055555555556,1.4285983422203603
train_fixed_rank,calibration_offset_2deg,288,0.7380612418484976,5.458097184869133,0.7916666666666666,1.3891193990497779
energy95,uniform,288,2.164989961204797,14.773456606160448,0.5486111111111112,-0.24005014980957956
energy95,rotated_uniform,288,1.783905995986189,12.632486317012248,0.5625,0.39635689273315733
energy95,limited_arc,288,0.47837399207262177,1.4893412355984947,0.8784722222222222,1.1809625836945397
energy95,dual_cluster,288,0.3332995622521336,1.1538672328186306,0.9201388888888888,0.9704523727185383
energy95,jittered,288,1.3579575375252524,9.321050847904175,0.6805555555555556,0.6234611620131363
energy95,calibration_offset_2deg,288,1.7917422971720522,12.502242742111486,0.5833333333333334,0.3419272576848308
support_min,uniform,288,1.1602185399787561,4.2312166088565215,0.6770833333333334,0.7696224194590513
support_min,rotated_uniform,288,1.6956758078734215,6.176744915487524,0.6111111111111112,0.49203796992505716
support_min,limited_arc,288,0.7268699391438006,2.3935042125272195,0.6944444444444444,0.9340041996161843
support_min,dual_cluster,288,0.4651360634836876,1.6665216708878112,0.84375,0.8392186820315927
support_min,jittered,288,1.5148821649588138,8.882727593674753,0.6215277777777778,0.47181172613847466
support_min,calibration_offset_2deg,288,1.729901286498175,6.207171351187787,0.6111111111111112,0.41181788290648125
heldout_min,uniform,288,2.669555886194771,9.690228166639104,0.5729166666666666,-0.7151752209961884
heldout_min,rotated_uniform,288,2.5911477075314826,9.893015438595667,0.6111111111111112,-0.38026968860378213
heldout_min,limited_arc,288,4.714778453861833,7.487429999063405,0.0,-2.9683636701321086
heldout_min,dual_cluster,288,4.3331372482109405,9.355383086362007,0.2361111111111111,-2.9575485364036496
heldout_min,jittered,288,5.745056285888379,13.209542685633112,0.20833333333333334,-3.6512893424573765
heldout_min,calibration_offset_2deg,288,1.648103278293806,7.073250646489471,0.6215277777777778,0.49771571141878457
logo_ensemble_no_holdout,uniform,288,0.4775031497629166,2.1927483089453994,0.9027777777777778,1.4380109801132348
logo_ensemble_no_holdout,rotated_uniform,288,0.3170029412490167,1.3497150241343283,0.9201388888888888,1.85478539893971
logo_ensemble_no_holdout,limited_arc,288,0.09465831653094166,0.4390487422823243,0.9895833333333334,1.56191404364719
logo_ensemble_no_holdout,dual_cluster,288,0.16963693656715556,0.7670995138063181,0.9652777777777778,1.1349270580013002
logo_ensemble_no_holdout,jittered,288,0.24408016579018316,1.0773553414778405,0.9409722222222222,1.7306451192964585
logo_ensemble_no_holdout,calibration_offset_2deg,288,0.3370784034352562,1.562924591041447,0.9097222222222222,1.787903986677848
logo_ensemble_with_holdout,uniform,288,0.4731886752369045,2.040391684746238,0.9027777777777778,1.4423491809752393
logo_ensemble_with_holdout,rotated_uniform,288,0.3166926143807336,1.3497150241343283,0.9201388888888888,1.855102503574331
logo_ensemble_with_holdout,limited_arc,288,0.09211109632930091,0.4390487422823243,0.9895833333333334,1.5644545948195239
logo_ensemble_with_holdout,dual_cluster,288,0.20177433357967328,1.09193028480025,0.9444444444444444,1.1037338828057033
logo_ensemble_with_holdout,jittered,288,0.24636320341133658,1.0773553414778405,0.9409722222222222,1.7283911162558718
logo_ensemble_with_holdout,calibration_offset_2deg,288,0.3432194343812314,1.6325446654739522,0.90625,1.7817410207511897
