mode,score,target_coverage,actual_coverage,accepted_cells,rejected_cells,selective_mean_regret_pct,selective_p95_regret_pct,full_fallback_system_mean_regret_pct,rejected_mean_selector_regret_pct,rejected_mean_full_rank_regret_pct
no_holdout,prediction_std_percentile,1.0,1.0,1728,0,0.27332665222257824,1.195745254200756,0.27332665222257824,0.0,0.0
no_holdout,prediction_std_percentile,0.9,0.9004629629629629,1556,172,0.2527939744232467,0.9215583122947323,0.8021680455151694,0.4590757606862987,5.772086967718843
no_holdout,prediction_std_percentile,0.8,0.8003472222222222,1383,345,0.2327657055481933,0.9134577197933691,1.0557573500998747,0.43592314280424316,4.354880377389659
no_holdout,prediction_std_percentile,0.7,0.7002314814814815,1210,518,0.17473416581242715,0.6885481694833945,1.2324151030527124,0.5036295644933946,3.7030597634016407
no_holdout,prediction_std_percentile,0.6,0.6001157407407407,1037,691,0.16852021048892787,0.6049904344111602,1.3602100326661168,0.4306121516115731,3.1486070595803644
no_holdout,prediction_std_percentile,0.5,0.5,864,864,0.16458009954865618,0.7058425710453684,1.4636718156616868,0.3820732048965003,2.7627635317747177
no_holdout,prediction_std_percentile,0.4,0.40046296296296297,692,1036,0.1536214325976856,0.7134520865202856,1.5228018995176342,0.3532841927442247,2.4373510144873296
no_holdout,vote_entropy_percentile,1.0,1.0,1728,0,0.27332665222257824,1.195745254200756,0.27332665222257824,0.0,0.0
no_holdout,vote_entropy_percentile,0.9,0.9004629629629629,1556,172,0.25785240749105814,1.1147291664053496,0.4374981793983529,0.4133145871193537,2.062665743862019
no_holdout,vote_entropy_percentile,0.8,0.8003472222222222,1383,345,0.255529137989344,1.0706978397551032,0.5947716583420112,0.34467147014884786,1.954691674712269
no_holdout,vote_entropy_percentile,0.7,0.7002314814814815,1210,518,0.26375134026986496,1.0923632621270354,0.6097546570054208,0.2956936936565226,1.4179863428162751
no_holdout,vote_entropy_percentile,0.6,0.6001157407407407,1037,691,0.29498869516070425,1.4301013548342731,0.6662749024939648,0.24081791339937042,1.2234728721098707
no_holdout,vote_entropy_percentile,0.5,0.5,864,864,0.33520046464998593,1.5701613160601635,0.7416885020077323,0.21145283979517057,1.1481765393654788
no_holdout,vote_entropy_percentile,0.4,0.40046296296296297,692,1036,0.37517082233362226,1.7076368554208574,0.9888469721426342,0.20529946523720916,1.3987542073432486
no_holdout,inverse_margin_percentile,1.0,1.0,1728,0,0.2733266522225783,1.195745254200756,0.2733266522225783,0.0,0.0
no_holdout,inverse_margin_percentile,0.9,0.9004629629629629,1556,172,0.26575198537105926,1.1196720193353022,0.42483778423185786,0.3418509639723665,1.8640093134609428
no_holdout,inverse_margin_percentile,0.8,0.8003472222222222,1383,345,0.2710156744333707,1.0923018065776293,0.5886150969236162,0.28259065883844503,1.861774520993209
no_holdout,inverse_margin_percentile,0.7,0.7002314814814815,1210,518,0.2698459883450815,1.0818444083882803,0.6982907357081464,0.28145716050785075,1.6990979641044945
no_holdout,inverse_margin_percentile,0.6,0.6001157407407407,1037,691,0.25783329350867823,1.0700389686083993,0.8223481903575023,0.29657790111738924,1.669529012401251
