cell_id,geometry,family,dynamics,noise_level,view_count,seed,selector,selected_rank,oracle_rank,selected_field_rel_l2,oracle_field_rel_l2,rank3_field_rel_l2,full_rank_field_rel_l2,regret_pct,field_improvement_vs_rank3_pct,field_improvement_vs_full_pct,exact_oracle_rank,within_one_pct_oracle,requires_heldout_view
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.00_s-20260733,calibration_offset_2deg,blobs_sheet,chirp,0.0,5,20260733,support_min,8,5,0.3394305314375476,0.3393647843931759,0.34075405626514516,0.33943310666385057,0.019373561251809786,0.3884105862451805,0.0007586844808051508,0,1,0
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.00_s-20260733,calibration_offset_2deg,blobs_sheet,chirp,0.0,5,20260733,train_fixed_rank,8,5,0.3394305314375476,0.3393647843931759,0.34075405626514516,0.33943310666385057,0.019373561251809786,0.3884105862451805,0.0007586844808051508,0,1,0
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.14_s-20260730,calibration_offset_2deg,blobs_sheet,chirp,0.14,5,20260730,energy95,8,3,0.349619663880237,0.34418087966334954,0.34418087966334954,0.3581052989830495,1.5802110280476558,-1.5802110280476558,2.369592163781535,0,0,0
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.14_s-20260730,calibration_offset_2deg,blobs_sheet,chirp,0.14,5,20260730,fixed_rank3,3,3,0.34418087966334954,0.34418087966334954,0.34418087966334954,0.3581052989830495,0.0,0.0,3.888358915437375,1,1,0
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.14_s-20260730,calibration_offset_2deg,blobs_sheet,chirp,0.14,5,20260730,heldout_min,5,3,0.34523870419874353,0.34418087966334954,0.34418087966334954,0.3581052989830495,0.3073455261156862,-0.3073455261156862,3.592964086487606,0,1,1
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.14_s-20260730,calibration_offset_2deg,blobs_sheet,chirp,0.14,5,20260730,logo_ensemble_no_holdout,5,3,0.34523870419874353,0.34418087966334954,0.34418087966334954,0.3581052989830495,0.3073455261156862,-0.3073455261156862,3.592964086487606,0,1,0
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.14_s-20260730,calibration_offset_2deg,blobs_sheet,chirp,0.14,5,20260730,logo_ensemble_with_holdout,5,3,0.34523870419874353,0.34418087966334954,0.34418087966334954,0.3581052989830495,0.3073455261156862,-0.3073455261156862,3.592964086487606,0,1,1
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.14_s-20260730,calibration_offset_2deg,blobs_sheet,chirp,0.14,5,20260730,support_min,5,3,0.34523870419874353,0.34418087966334954,0.34418087966334954,0.3581052989830495,0.3073455261156862,-0.3073455261156862,3.592964086487606,0,1,0
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.14_s-20260730,calibration_offset_2deg,blobs_sheet,chirp,0.14,5,20260730,train_fixed_rank,8,3,0.349619663880237,0.34418087966334954,0.34418087966334954,0.3581052989830495,1.5802110280476558,-1.5802110280476558,2.369592163781535,0,0,0
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.14_s-20260731,calibration_offset_2deg,blobs_sheet,chirp,0.14,5,20260731,energy95,8,3,0.35013885549532336,0.3454513958564043,0.3454513958564043,0.35825154920947416,1.3569085825474514,-1.3569085825474514,2.2645243913193966,0,0,0
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.14_s-20260731,calibration_offset_2deg,blobs_sheet,chirp,0.14,5,20260731,fixed_rank3,3,3,0.3454513958564043,0.3454513958564043,0.3454513958564043,0.35825154920947416,0.0,0.0,3.572951291147034,1,1,0
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.14_s-20260731,calibration_offset_2deg,blobs_sheet,chirp,0.14,5,20260731,heldout_min,5,3,0.3463438189171672,0.3454513958564043,0.3454513958564043,0.35825154920947416,0.2583353465826784,-0.2583353465826784,3.3238461406655704,0,1,1
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.14_s-20260731,calibration_offset_2deg,blobs_sheet,chirp,0.14,5,20260731,logo_ensemble_no_holdout,8,3,0.35013885549532336,0.3454513958564043,0.3454513958564043,0.35825154920947416,1.3569085825474514,-1.3569085825474514,2.2645243913193966,0,0,0
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.14_s-20260731,calibration_offset_2deg,blobs_sheet,chirp,0.14,5,20260731,logo_ensemble_with_holdout,8,3,0.35013885549532336,0.3454513958564043,0.3454513958564043,0.35825154920947416,1.3569085825474514,-1.3569085825474514,2.2645243913193966,0,0,1
