cell_id,geometry,family,dynamics,noise_level,view_count,seed,mode,selected_rank,oracle_rank,selected_regret_pct,full_rank_regret_pct,rank3_regret_pct,prediction_std,vote_entropy,rank_vote_count,rank_votes,prediction_margin,inverse_margin,predicted_risk,prediction_std_percentile,vote_entropy_percentile,inverse_margin_percentile,predicted_risk_percentile,combined_uncertainty
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.00_s-20260730,calibration_offset_2deg,blobs_sheet,chirp,0.0,5,20260730,no_holdout,12,5,0.02012445274204535,0.020132398473997774,0.40937420022803245,0.0026877852079272954,0.3109175070813285,2,"[12,12,12,5,12]",0.002533188782301611,-0.002533188782301611,-0.03203348522974807,0.5871080139372822,0.8048780487804879,0.42334494773519166,0.19337979094076654,0.502177700348432
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.00_s-20260730,calibration_offset_2deg,blobs_sheet,chirp,0.0,5,20260730,with_holdout,12,5,0.02012445274204535,0.020132398473997774,0.40937420022803245,0.002127002196906858,0.3109175070813285,2,"[12,12,12,5,12]",0.0029646919686141665,-0.0029646919686141665,-0.03921220852155173,0.48257839721254353,0.789198606271777,0.3362369337979094,0.13066202090592335,0.4346689895470383
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.00_s-20260731,calibration_offset_2deg,blobs_sheet,chirp,0.0,5,20260731,no_holdout,12,5,0.02012445274204535,0.020132398473997774,0.40937420022803245,0.0026877852079272954,0.3109175070813285,2,"[12,12,12,5,12]",0.002533188782301611,-0.002533188782301611,-0.03203348522974807,0.5871080139372822,0.8048780487804879,0.42334494773519166,0.19337979094076654,0.502177700348432
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.00_s-20260731,calibration_offset_2deg,blobs_sheet,chirp,0.0,5,20260731,with_holdout,12,5,0.02012445274204535,0.020132398473997774,0.40937420022803245,0.002127002196906858,0.3109175070813285,2,"[12,12,12,5,12]",0.0029646919686141665,-0.0029646919686141665,-0.03921220852155173,0.48257839721254353,0.789198606271777,0.3362369337979094,0.13066202090592335,0.4346689895470383
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.00_s-20260732,calibration_offset_2deg,blobs_sheet,chirp,0.0,5,20260732,no_holdout,12,5,0.02012445274204535,0.020132398473997774,0.40937420022803245,0.0026877852079272954,0.3109175070813285,2,"[12,12,12,5,12]",0.002533188782301611,-0.002533188782301611,-0.03203348522974807,0.5871080139372822,0.8048780487804879,0.42334494773519166,0.19337979094076654,0.502177700348432
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.00_s-20260732,calibration_offset_2deg,blobs_sheet,chirp,0.0,5,20260732,with_holdout,12,5,0.02012445274204535,0.020132398473997774,0.40937420022803245,0.002127002196906858,0.3109175070813285,2,"[12,12,12,5,12]",0.0029646919686141665,-0.0029646919686141665,-0.03921220852155173,0.48257839721254353,0.789198606271777,0.3362369337979094,0.13066202090592335,0.4346689895470383
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.00_s-20260733,calibration_offset_2deg,blobs_sheet,chirp,0.0,5,20260733,no_holdout,12,5,0.02012445274204535,0.020132398473997774,0.40937420022803245,0.0026877852079272954,0.3109175070813285,2,"[12,12,12,5,12]",0.002533188782301611,-0.002533188782301611,-0.03203348522974807,0.5871080139372822,0.8048780487804879,0.42334494773519166,0.19337979094076654,0.502177700348432
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.00_s-20260733,calibration_offset_2deg,blobs_sheet,chirp,0.0,5,20260733,with_holdout,12,5,0.02012445274204535,0.020132398473997774,0.40937420022803245,0.002127002196906858,0.3109175070813285,2,"[12,12,12,5,12]",0.0029646919686141665,-0.0029646919686141665,-0.03921220852155173,0.48257839721254353,0.789198606271777,0.3362369337979094,0.13066202090592335,0.4346689895470383
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.14_s-20260730,calibration_offset_2deg,blobs_sheet,chirp,0.14,5,20260730,no_holdout,5,3,0.3073455261156862,4.045669048576801,0.0,0.002206647946866062,0.418165660077809,2,"[12,12,5,5,12]",0.00026974072345286107,-0.00026974072345286107,-0.030402694387610903,0.44947735191637633,0.9442508710801394,0.9303135888501742,0.2508710801393728,0.6437282229965158
g-calibration_offset_2deg_f-blobs_sheet_d-chirp_v-5_n-0.14_s-20260730,calibration_offset_2deg,blobs_sheet,chirp,0.14,5,20260730,with_holdout,5,3,0.3073455261156862,4.045669048576801,0.0,0.0012668982748652098,0.418165660077809,2,"[12,12,5,5,12]",0.00046273904430989277,-0.00046273904430989277,-0.03685116946570089,0.0627177700348432,0.945993031358885,0.8850174216027874,0.14982578397212543,0.5108885017421603
