rig_id,block_id,sample_index_in_block,family,true_aperture_radius,metadata_aperture_radius,per_scene_estimated_radius,shared_estimated_radius,rigcal_estimated_radius,profile_information,profile_retained_fraction,profile_approximate_standard_error,block_median_profile_fraction,block_identifiable,outer_improvement_percent,accepted,raw_rigcal_gain_percent,selected_gain_percent,fallback_relative_l2,candidate_relative_l2,selected_relative_l2,fallback_outer_rms,candidate_outer_rms,fallback_audit_rms,candidate_audit_rms,selected_audit_rms,selected_audit_change_percent,pinhole_relative_l2,pinhole_outer_rms,pinhole_audit_rms,metadata_nearest_relative_l2,metadata_nearest_outer_rms,metadata_nearest_audit_rms,per_scene_profile_relative_l2,per_scene_profile_outer_rms,per_scene_profile_audit_rms,rig_shared_profile_relative_l2,rig_shared_profile_outer_rms,rig_shared_profile_audit_rms,rigcal_profile_relative_l2,rigcal_profile_outer_rms,rigcal_profile_audit_rms,oracle_nearest_bank_relative_l2,oracle_nearest_bank_outer_rms,oracle_nearest_bank_audit_rms,oracle_true_operator_relative_l2,oracle_true_operator_outer_rms,oracle_true_operator_audit_rms
development_rig_a,development_rig_a:radius=0.05500,0,expanding_kernel,0.055,0.073,0.0,0.0,0.0,7.167527526246307,8.788560873825923e-05,0.373521250817087,0.00037612388643194273,False,-4.849867064895618,False,0.251517273309819,0.0,0.6226815557636189,0.6211154040931591,0.6226815557636189,15.247651438742437,15.98714226404009,3.040858828563993,3.1725170730423,3.040858828563993,0.0,0.6211154040931591,15.98714226404009,3.1725170730423,0.6226815557636189,15.247651438742437,3.040858828563993,0.6211154040931591,15.98714226404009,3.1725170730423,0.6211154040931591,15.98714226404009,3.1725170730423,0.6211154040931591,15.98714226404009,3.1725170730423,0.6213448830920578,15.679100671754446,3.028599157840914,0.6340346360241454,16.2177043685854,3.3707480772098837
development_rig_a,development_rig_a:radius=0.05500,1,expanding_kernel,0.055,0.073,0.0,0.0,0.0,7.209231113561297,0.00032746271693399475,0.37243932066691404,0.00037612388643194273,False,0.5814592176305722,False,3.5641019090762645,0.0,0.7075203692319715,0.6823036222450714,0.7075203692319715,9.126882846269615,9.073813744677636,2.8112301664050814,2.745202094532443,2.8112301664050814,0.0,0.6823036222450714,9.073813744677636,2.745202094532443,0.7075203692319715,9.126882846269615,2.8112301664050814,0.6823036222450714,9.073813744677636,2.745202094532443,0.6823036222450714,9.073813744677636,2.745202094532443,0.6823036222450714,9.073813744677636,2.745202094532443,0.6919691775504779,9.0294724197295,2.8093684794220106,0.6973908799222722,9.237658396603306,2.847193067031925
development_rig_a,development_rig_a:radius=0.05500,2,interacting_fronts,0.055,0.073,0.0,0.0,0.0,14.949508838592761,0.0008436481951175129,0.2586345486295894,0.00037612388643194273,False,-1.9282298342462887,False,1.15756254692712,0.0,0.7508209026238319,0.7421296810605583,0.7508209026238319,7.573527011463141,7.719562018802875,2.4108042587686835,2.4291039140745783,2.4108042587686835,0.0,0.7421296810605583,7.719562018802875,2.4291039140745783,0.7508209026238319,7.573527011463141,2.4108042587686835,0.7421296810605583,7.719562018802875,2.4291039140745783,0.7421296810605583,7.719562018802875,2.4291039140745783,0.7421296810605583,7.719562018802875,2.4291039140745783,0.7444347191816474,7.56659930313724,2.445765347857902,0.756334176797295,7.889894608769385,2.836260744078417
development_rig_a,development_rig_a:radius=0.05500,3,interacting_fronts,0.055,0.073,0.0,0.0,0.0,21.27907668550636,0.00042478505592989077,0.21678219539593077,0.00037612388643194273,False,-6.146352473772259,False,0.19751857427205513,0.0,0.6380092476914551,0.636749060921691,0.6380092476914551,8.982488505697768,9.534583910174032,2.696319449494178,2.9506238785057874,2.696319449494178,0.0,0.636749060921691,9.534583910174032,2.9506238785057874,0.6380092476914551,8.982488505697768,2.696319449494178,0.636749060921691,9.534583910174032,2.9506238785057874,0.636749060921691,9.534583910174032,2.9506238785057874,0.636749060921691,9.534583910174032,2.9506238785057874,0.63559837710249,9.228659856980975,2.880876133654084,0.6375510371081279,9.322399509746065,2.931590245393189
development_rig_a,development_rig_a:radius=0.05500,4,helical_plume,0.055,0.073,0.0,0.0,0.0,2.943975413542643,3.23617316059777e-05,0.5828179388217853,0.00037612388643194273,False,1.2412582533729328,False,2.3969496656364906,0.0,0.6291725271287628,0.6140915783434733,0.6291725271287628,13.29292665003577,13.127927100877391,2.9199999714644513,2.987538126901529,2.9199999714644513,0.0,0.6140915783434733,13.127927100877391,2.987538126901529,0.6291725271287628,13.29292665003577,2.9199999714644513,0.6140915783434733,13.127927100877391,2.987538126901529,0.6140915783434733,13.127927100877391,2.987538126901529,0.6140915783434733,13.127927100877391,2.987538126901529,0.6202383563708312,13.211653323968404,2.9901971757390915,0.6254434358735776,13.278076239828287,2.749815998685552
development_rig_a,development_rig_a:radius=0.05500,5,helical_plume,0.055,0.073,0.0,0.0,0.0,4.762538147962854,0.00015953642836227455,0.45822709587021654,0.00037612388643194273,False,0.18868905622938972,False,1.008454983029683,0.0,0.6489188755673162,0.6423748208308374,0.6489188755673162,7.524260291860722,7.5100628361277675,1.9582955214602358,2.0112172848367242,1.9582955214602358,0.0,0.6423748208308374,7.5100628361277675,2.0112172848367242,0.6489188755673162,7.524260291860722,1.9582955214602358,0.6423748208308374,7.5100628361277675,2.0112172848367242,0.6423748208308374,7.5100628361277675,2.0112172848367242,0.6423748208308374,7.5100628361277675,2.0112172848367242,0.6439453938130818,7.3822838571742695,1.9887281297987218,0.6594349001595389,7.384284620442271,2.1010000580623682
development_rig_a,development_rig_a:radius=0.05500,6,stratified_ignition,0.055,0.073,0.0,0.0,0.0,42.218897278014964,0.0025774250447223256,0.1539028127536466,0.00037612388643194273,False,-7.861566761148335,False,0.2630175539596947,0.0,0.7480750255384686,0.746107456904514,0.7480750255384686,6.037221110666355,6.5118412787995315,2.6192261264348913,3.1263598136947937,2.6192261264348913,0.0,0.746107456904514,6.5118412787995315,3.1263598136947937,0.7480750255384686,6.037221110666355,2.6192261264348913,0.746107456904514,6.5118412787995315,3.1263598136947937,0.746107456904514,6.5118412787995315,3.1263598136947937,0.746107456904514,6.5118412787995315,3.1263598136947937,0.7457981447276063,6.3290888038594195,2.885295068457499,0.7470275282020192,7.03969854989449,2.794906364738196
development_rig_a,development_rig_a:radius=0.05500,7,stratified_ignition,0.055,0.073,0.0,0.0,0.0,27.7314106417458,0.0009173337302117733,0.1898952139530433,0.00037612388643194273,False,-4.511014680206902,False,0.12264112693550479,0.0,0.6212647615414664,0.6205028354366587,0.6212647615414664,7.575677138635594,7.917417046484524,2.300543138636995,2.9457370092733877,2.300543138636995,0.0,0.6205028354366587,7.917417046484524,2.9457370092733877,0.6212647615414664,7.575677138635594,2.300543138636995,0.6205028354366587,7.917417046484524,2.9457370092733877,0.6205028354366587,7.917417046484524,2.9457370092733877,0.6205028354366587,7.917417046484524,2.9457370092733877,0.6212981467609536,7.748886905140991,2.7429419070518306,0.6162336086740857,8.124623442297805,2.519687877487543
development_rig_a,development_rig_a:radius=0.09500,0,expanding_kernel,0.095,0.113,0.0,0.0,0.0,6.5562707497044,8.194222323091971e-05,0.3905454297755528,0.0003428289218877611,False,-7.495736603005852,False,-0.30028241703278125,0.0,0.6241526051980845,0.6260268257269463,0.6241526051980845,15.1266353898352,16.260488135554315,3.0090694526405946,3.1770965193935643,3.0090694526405946,0.0,0.6260268257269463,16.260488135554315,3.1770965193935643,0.6241526051980845,15.1266353898352,3.0090694526405946,0.6260268257269463,16.260488135554315,3.1770965193935643,0.6260268257269463,16.260488135554315,3.1770965193935643,0.6260268257269463,16.260488135554315,3.1770965193935643,0.6201367040900433,15.561359563470823,3.0334593856372667,0.6343756824591037,16.040069038598638,3.3965137518370794
development_rig_a,development_rig_a:radius=0.09500,1,expanding_kernel,0.095,0.113,0.0,0.0,0.0,6.134316375934853,0.00029133364331567434,0.40375407125422985,0.0003428289218877611,False,2.3086747041473927,False,5.939543371953757,0.0,0.7241935412295639,0.6811797517513462,0.7241935412295639,9.478040301767875,9.259223182872065,2.8760273592088,2.9423933291237763,2.8760273592088,0.0,0.6811797517513462,9.259223182872065,2.9423933291237763,0.7241935412295639,9.478040301767875,2.8760273592088,0.6811797517513462,9.259223182872065,2.9423933291237763,0.6811797517513462,9.259223182872065,2.9423933291237763,0.6811797517513462,9.259223182872065,2.9423933291237763,0.6958867595464096,9.23349463906115,2.9381960391958475,0.7069638724459307,9.510960227629921,2.969263083243342
