rig_id,block_id,true_aperture_radius,inner_view_count,mask_index,inner_camera_indices,ridge_lambda,median_normal_matrix_diagonal,ridge_over_normal_scale,shared_estimated_radius,shared_aperture_absolute_error,shared_nearest_bank_match,shared_boundary_hit,per_scene_boundary_hit_rate,per_scene_nearest_bank_match_rate,median_profile_information,median_profile_retained_fraction,relative_profile_score_gap
development_rig_a,development_rig_a:radius=0.05500,0.055,3,0,"1,3,5",0.01,859.1195768354362,1.163982322092457e-05,0.0,0.055,False,True,1.0,0.0,0.0956280646520501,3.0097396753952554e-06,0.04360912493288511
development_rig_a,development_rig_a:radius=0.05500,0.055,3,0,"1,3,5",1.0,859.1195768354362,0.001163982322092457,0.0,0.055,False,True,1.0,0.0,9.214167235733623,0.0002954457890335972,0.04201786537676668
development_rig_a,development_rig_a:radius=0.05500,0.055,3,0,"1,3,5",100.0,859.1195768354362,0.1163982322092457,0.0,0.055,False,True,1.0,0.0,665.0752246262559,0.021672650753123517,0.038411313180352465
development_rig_a,development_rig_a:radius=0.05500,0.055,3,0,"1,3,5",10000.0,859.1195768354362,11.63982322092457,0.0,0.055,False,True,1.0,0.0,2939.429624728566,0.5284911111703156,0.022487165658345767
development_rig_a,development_rig_a:radius=0.05500,0.055,3,0,"1,3,5",1000000.0,859.1195768354362,1163.982322092457,0.0,0.055,False,True,1.0,0.0,2.732857962646737,0.9896519560911459,0.0009077680357379019
development_rig_a,development_rig_a:radius=0.05500,0.055,3,1,"0,2,4",0.01,1421.7692057390136,7.033490358093777e-06,0.0,0.055,False,True,1.0,0.0,0.1451761446397592,3.1009149572473177e-06,0.03715091523826026
development_rig_a,development_rig_a:radius=0.05500,0.055,3,1,"0,2,4",1.0,1421.7692057390136,0.0007033490358093777,0.0,0.055,False,True,1.0,0.0,14.48445980638865,0.00030896760811369715,0.03712590654397789
development_rig_a,development_rig_a:radius=0.05500,0.055,3,1,"0,2,4",100.0,1421.7692057390136,0.07033490358093777,0.0,0.055,False,True,1.0,0.0,1197.2160487893193,0.025900874654435857,0.03717446437671052
development_rig_a,development_rig_a:radius=0.05500,0.055,3,1,"0,2,4",10000.0,1421.7692057390136,7.033490358093777,0.0,0.055,False,True,1.0,0.0,6566.203098542117,0.5658521924319806,0.025343824626774827
development_rig_a,development_rig_a:radius=0.05500,0.055,3,1,"0,2,4",1000000.0,1421.7692057390136,703.3490358093777,0.0,0.055,False,True,1.0,0.0,9.164937033715743,0.9894178449508149,0.001457515862640711
