training_arm,model_seed,pair_index,source_index,geometry_id,shuffled_pairing_rule,ray_input_swap_relative_pct,attention_swap_mean_l1,correction_swap_relative_pct,correct_ray_set_field_rel_l2,wrong_ray_set_field_rel_l2,correct_ray_set_field_gain_pct
m4_counterfactual,20261401,0,180,g_011010111,cyclic angle reassignment within unchanged active ray set,0.0,0.0009469448123127222,13.411530494689941,0.38440534472465515,0.384488046169281,0.021509496495127678
m4_counterfactual,20261401,1,180,g_101011110,cyclic angle reassignment within unchanged active ray set,0.0,0.0008495745132677257,14.481080055236816,0.3109869956970215,0.30943813920021057,-0.5005383491516113
m4_counterfactual,20261401,2,180,g_111001110,cyclic angle reassignment within unchanged active ray set,0.0,0.000826923584099859,14.32166862487793,0.5334481596946716,0.5327382683753967,-0.1332533061504364
m4_counterfactual,20261401,3,180,g_111010110,cyclic angle reassignment within unchanged active ray set,0.0,0.0008841227390803397,15.726764678955078,0.38731905817985535,0.3861848711967468,-0.29369017481803894
m4_counterfactual,20261401,4,171,g_011010111,cyclic angle reassignment within unchanged active ray set,0.0,0.000955970142967999,20.687353134155273,0.37612536549568176,0.37536123394966125,-0.2035723179578781
m4_counterfactual,20261401,5,171,g_101011110,cyclic angle reassignment within unchanged active ray set,0.0,0.0009005104075185955,24.220468521118164,0.19478310644626617,0.19516725838184357,0.19683216512203217
m4_counterfactual,20261401,6,171,g_111001110,cyclic angle reassignment within unchanged active ray set,0.0,0.0008951245690695941,23.116771697998047,0.29687735438346863,0.2982509732246399,0.4605580270290375
m4_counterfactual,20261401,7,171,g_111010110,cyclic angle reassignment within unchanged active ray set,0.0,0.0009011344518512487,28.66284942626953,0.3803165853023529,0.3782329261302948,-0.5508931279182434
m4_counterfactual,20261401,8,160,g_011010111,cyclic angle reassignment within unchanged active ray set,0.0,0.0010231470223516226,5.665700912475586,0.16451036930084229,0.16429376602172852,-0.13183900713920593
m4_counterfactual,20261401,9,160,g_101011110,cyclic angle reassignment within unchanged active ray set,0.0,0.000852725759614259,8.24324893951416,0.1508672535419464,0.15044096112251282,-0.28336194157600403
